Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
EURUSD,1.18362,0.00109,0.09%,0.89%,1.68%,14.27%,6.07%,10:30
GBPUSD,1.36501,0.00207,0.15%,0.56%,1.22%,9.03%,2.77%,10:30
AUDUSD,0.66596,0.00078,0.12%,-0.11%,3.17%,7.57%,-2.22%,10:30
NZDUSD,0.59049,0.00289,-0.49%,-1.21%,0.13%,5.57%,-5.32%,10:30
USDJPY,147.263,0.388,0.26%,0.02%,-0.32%,-6.41%,3.07%,10:30
USDCNY,7.10223,0.00184,0.03%,-0.16%,-1.19%,-3.21%,0.43%,10:30
USDCHF,0.78817,0.00019,-0.02%,-0.98%,-2.43%,-13.14%,-7.03%,10:30
USDCAD,1.37675,0.00034,-0.02%,-0.48%,-0.71%,-4.23%,1.52%,10:30
USDMXN,18.2510,0.0565,-0.31%,-1.16%,-3.03%,-12.46%,-5.35%,10:30
USDINR,88.1550,0.2449,0.28%,-0.12%,1.26%,3.03%,5.45%,10:30
USDBRL,5.31070,0.00590,0.11%,-1.47%,-3.54%,-14.13%,-2.12%,Sep/18
USDRUB,82.9600,1.04,-1.24%,-1.85%,2.68%,-26.92%,-10.02%,10:30
USDKRW,1385.90,5.2,0.38%,-0.28%,-0.54%,-6.25%,4.41%,10:30
DXY,96.908,0.035,0.04%,-0.64%,-1.38%,-10.67%,-3.74%,10:30
USDTRY,41.3186,0.0697,0.17%,0.00%,1.10%,16.93%,21.22%,10:30
USDSEK,9.27110,0.01179,-0.13%,-0.40%,-3.45%,-16.20%,-8.76%,10:30
USDPLN,3.59434,0.00287,-0.08%,-0.86%,-1.39%,-12.99%,-6.14%,10:30
USDNOK,9.77981,0.03124,-0.32%,-0.73%,-4.88%,-14.08%,-6.85%,10:30
USDZAR,17.3305,0.0498,-0.29%,-0.14%,-1.88%,-8.05%,-1.04%,10:30
USDDKK,6.30639,0.00586,-0.09%,-0.87%,-1.65%,-12.41%,-5.66%,10:30
USDSGD,1.27885,0.00127,0.10%,-0.22%,-0.51%,-6.36%,-1.06%,10:30
USDILS,3.34380,0.00667,0.20%,0.60%,-1.42%,-8.07%,-10.74%,10:30
USDHKD,7.77721,0.00000,0.00%,-0.15%,-0.28%,0.14%,-0.21%,Sep/18
USDCLP,952.630,0.490,0.05%,0.06%,-1.14%,-4.20%,2.32%,Sep/18
USDPKR,284.043,2.543,0.90%,0.87%,0.43%,2.04%,2.14%,Sep/18
USDCZK,20.5365,0.0236,-0.11%,-1.05%,-2.21%,-15.58%,-8.65%,10:30
USDHUF,328.269,1.47,-0.45%,-1.60%,-2.90%,-17.35%,-7.03%,10:30
