Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
CRB Index Index Points,376.39,4.52,-1.19%,0.66%,2.91%,5.49%,13.31%,Sep/17
LME Index Index Points,4302.90,54.30,-1.25%,0.65%,3.10%,10.17%,5.23%,Sep/17
GSCI Index Points,551.80,1.22,-0.22%,1.09%,3.62%,0.39%,3.34%,Sep/18
SSE Consume Commodity Index Index Points,8892.42,62.00,-0.69%,-0.93%,5.50%,12.89%,32.97%,Sep/18
Containerized Freight Index Points,1398.11,0.00,0.00%,-3.21%,-4.25%,-43.17%,-44.32%,Sep/18
Nuclear Energy Index USD,45.23,0.43,0.96%,5.31%,22.38%,68.96%,73.49%,Sep/18
Solar Energy Index USD,43.38,0.38,0.88%,3.66%,5.27%,28.76%,5.44%,Sep/18
EU Carbon Permits EUR,76.98,0.53,-0.68%,-0.16%,7.18%,5.45%,20.85%,Sep/17
Wind Energy Index USD,18.74,0.11,0.59%,-0.69%,-1.52%,26.62%,6.24%,Sep/17
