Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
EURUSD,1.18183,0.00531,-0.45%,0.98%,1.28%,14.09%,6.33%
GBPUSD,1.36271,0.00253,-0.19%,0.69%,0.89%,8.85%,3.21%
AUDUSD,0.66558,0.00326,-0.49%,0.55%,2.48%,7.53%,-1.63%
NZDUSD,0.59622,0.00261,-0.44%,0.33%,0.67%,6.60%,-3.98%
USDJPY,146.860,0.44,0.30%,-0.31%,-0.70%,-6.65%,2.94%
USDCNY,7.09909,0.00353,-0.05%,-0.26%,-1.23%,-3.25%,0.04%
USDCHF,0.78852,0.00263,0.33%,-1.27%,-2.33%,-13.09%,-6.93%
USDCAD,1.37711,0.00316,0.23%,-0.65%,-0.23%,-4.22%,1.19%
USDMXN,18.3121,0.0243,0.13%,-1.52%,-2.48%,-12.17%,-4.77%
USDINR,87.8760,0.0074,-0.01%,-0.20%,0.65%,2.69%,5.00%
USDBRL,5.31070,0.01380,0.26%,-1.82%,-2.33%,-14.13%,-2.75%
USDRUB,83.7334,0.5334,0.64%,-0.91%,4.33%,-26.22%,-10.57%
USDKRW,1379.69,0.89,0.06%,-0.69%,-0.66%,-6.67%,4.44%
DXY,96.988,0.355,0.37%,-0.81%,-1.20%,-10.60%,-3.97%
USDTRY,41.3070,0.0880,0.21%,0.13%,1.08%,16.90%,21.25%
USDSEK,9.29100,0.069,0.75%,-0.53%,-2.79%,-16.02%,-8.96%
USDPLN,3.59731,0.01806,0.50%,-1.18%,-1.17%,-12.90%,-6.35%
USDNOK,9.80317,0.04792,0.49%,-1.09%,-3.81%,-13.78%,-7.30%
USDZAR,17.3923,0.052,0.30%,-0.45%,-1.28%,-7.74%,-0.86%
USDDKK,6.31556,0.02789,0.44%,-0.98%,-1.26%,-12.27%,-5.90%
USDSGD,1.27749,0.00194,0.15%,-0.36%,-0.55%,-6.46%,-1.43%
USDILS,3.33628,0.01940,0.58%,0.27%,-1.18%,-8.28%,-11.86%
USDHKD,7.77686,0.00380,-0.05%,-0.16%,-0.56%,0.13%,-0.22%
USDCLP,951.770,4.090,0.43%,-1.06%,-1.31%,-4.29%,2.37%
USDPKR,281.500,0.050,0.02%,-0.04%,-0.20%,1.12%,1.20%
USDCZK,20.5770,0.0942,0.46%,-1.26%,-1.82%,-15.41%,-8.77%
USDHUF,329.764,1.646,0.50%,-1.76%,-2.49%,-16.96%,-7.01%
USDRON,4.28950,0.02310,0.54%,-1.16%,-1.07%,-10.73%,-4.19%
USDUAH,41.2292,0.0208,-0.05%,-0.29%,-0.29%,-1.95%,-0.57%
USDBYR,3.38690,0.00070,-0.02%,0.05%,1.05%,3.70%,3.46%
USDRSD,99.146,0.421,0.43%,-1.02%,-1.28%,-12.26%,-5.87%
USDBAM,1.65490,0.00720,0.44%,-1.01%,-1.30%,-12.37%,-5.94%
USDISK,120.815,0.315,0.26%,-1.34%,-1.50%,-13.08%,-11.85%
USDALL,81.815,0.410,0.50%,-1.46%,-1.78%,-13.70%,-8.21%
USDMKD,52.3750,0.0200,-0.04%,-0.20%,-0.63%,-11.12%,-5.32%
USDMDL,16.3700,0.1000,-0.61%,-0.97%,-1.33%,-10.46%,-5.81%
USDBGN,1.65470,0.00620,0.38%,-1.01%,-1.30%,-12.42%,-5.93%
USDARS,1473.756,4.244,0.29%,3.48%,14.00%,42.95%,53.16%
USDCOP,3877.34,10.09,0.26%,-1.23%,-3.61%,-11.99%,-7.47%
USDPEN,3.47900,0.00050,0.01%,-0.07%,-1.80%,-7.32%,-7.85%
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDDOP,62.5000,0.1250,0.20%,-1.96%,1.46%,2.64%,4.15%
USDGTQ,7.65350,0.00650,-0.08%,-0.08%,-0.15%,-0.67%,-1.08%
USDURY,40.2024,0.0026,-0.01%,0.44%,0.34%,-7.92%,-1.92%
USDCRC,503.820,0.130,-0.03%,-0.04%,-0.30%,-0.56%,-2.69%
USDPAB,1.00060,0.00060,0.06%,0.06%,0.06%,0.06%,0.03%
USDBOB,6.90940,0.01060,-0.15%,-0.23%,-0.37%,-0.37%,-0.04%
USDPYG,7134.35,1.65,-0.02%,-0.40%,-1.27%,-8.68%,-8.53%
USDSVC,8.74860,0.00590,-0.07%,-0.07%,-0.07%,-0.01%,-0.05%
USDTTD,6.78300,0.00120,-0.02%,-0.13%,0.08%,0.25%,-0.17%
USDHNL,26.2075,0.0134,-0.05%,0.05%,0.07%,3.52%,5.00%
USDJMD,160.426,0.034,-0.02%,-0.02%,0.20%,3.69%,2.08%
USDNIO,36.7952,0.0048,-0.01%,-0.01%,-0.01%,0.53%,0.10%
USDHTG,130.827,0.185,-0.14%,-0.09%,-0.08%,0.49%,-0.88%
