Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Crude Oil USD/Bbl,63.858,0.192,-0.30%,2.40%,3.40%,-10.95%,-10.24%,10:27
Brent USD/Bbl,67.775,0.175,-0.26%,2.14%,3.05%,-9.17%,-9.46%,10:27
Natural gas USD/MMBtu,3.0965,0.0035,-0.11%,5.47%,11.88%,-14.82%,31.79%,10:27
Gasoline USD/Gal,2.0129,0.0126,-0.62%,2.22%,-3.83%,0.04%,-2.11%,10:27
Heating Oil USD/Gal,2.3375,0.0173,-0.73%,2.46%,3.86%,0.90%,7.72%,10:27
Coal USD/T,102.90,1.15,1.13%,0.44%,-7.30%,-17.84%,-25.97%,Sep/17
TTF Gas EUR/MWh,32.71,0.25,0.77%,1.24%,4.79%,-35.14%,-1.01%,10:27
UK Gas GBp/thm,80.6298,1.1098,1.40%,1.69%,4.87%,-35.75%,2.53%,10:27
Ethanol USD/Gal,1.9850,0.0200,-1.00%,4.47%,12.78%,17.46%,19.58%,Sep/17
Naphtha USD/T,565.10,5.24,-0.92%,0.00%,1.81%,-7.59%,-9.93%,Sep/17
Uranium USD/Lbs,76.5500,0.2500,0.33%,0.20%,4.29%,4.86%,-3.71%,Sep/17
Propane USD/Gal,0.71,0.00,-0.69%,-0.27%,6.42%,-8.34%,8.68%,Sep/17
Methanol CNY/T,2248.00,41.00,-1.79%,1.58%,-1.62%,-18.76%,-7.45%,Sep/18
Coking Coal CNY/T,196.00,0.00,0.00%,4.26%,1.82%,-2.97%,5.95%,Sep/17
Germany Natural Gas THE EUR/MWh,33.87,0.11,-0.33%,-2.52%,3.31%,-32.09%,-4.75%,Sep/17
Urals Oil USD/Bbl,63.70,0.38,0.60%,0.58%,0.87%,-7.02%,-6.93%,Sep/17
