Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.0850,0.0500,0.03%,-0.26%,-0.49%,0.38%,Sep/17
United Kingdom,4.6290,0.0147,0.00%,-0.11%,0.06%,0.78%,Sep/17
Japan,1.5920,0.0122,0.02%,0.02%,0.50%,0.77%,Sep/17
Australia,4.2570,0.0320,-0.02%,-0.02%,-0.11%,0.40%,Sep/17
Germany,2.6877,0.0068,0.03%,-0.09%,0.33%,0.50%,Sep/17
Brazil,13.5900,0.0850,-0.33%,-0.23%,-1.59%,1.53%,Sep/17
Russia,14.0800,0.0600,0.34%,0.61%,-1.14%,-1.67%,Sep/17
India,6.4770,0.0180,-0.02%,0.02%,-0.32%,-0.30%,Sep/17
Canada,3.1910,0.0330,0.02%,-0.30%,-0.04%,0.26%,Sep/17
Italy,3.4866,0.0236,-0.01%,-0.10%,-0.03%,-0.09%,Sep/17
France,3.4869,0.0020,0.03%,0.03%,0.29%,0.57%,Sep/17
South Africa,9.1500,0.0850,-0.33%,-0.50%,0.12%,0.31%,Sep/17
Switzerland,0.2530,0.0360,0.00%,-0.09%,0.00%,-0.20%,Sep/17
Mexico,8.5640,0.0000,-0.16%,-0.39%,-1.85%,-0.68%,Sep/12
Netherlands,2.8503,0.0097,0.03%,-0.09%,0.26%,0.36%,Sep/17
New Zealand,4.2840,0.0113,-0.06%,-0.17%,-0.14%,0.14%,Sep/17
Portugal,3.0990,0.0010,0.02%,-0.07%,0.26%,0.31%,Sep/17
South Korea,2.7880,0.0040,-0.03%,-0.04%,-0.08%,-0.19%,Sep/17
Spain,3.2480,0.0020,0.02%,-0.08%,0.19%,0.25%,Sep/17
Greece,3.3700,0.0040,0.03%,-0.08%,0.17%,0.17%,Sep/17
Turkey,29.2400,0.1100,0.85%,2.14%,4.20%,4.32%,Sep/17
Finland,3.0600,0.0200,0.03%,-0.09%,0.30%,0.40%,Sep/17
Lithuania,3.5870,0.0020,0.00%,0.04%,0.36%,0.10%,Sep/17
Norway,3.9800,0.0300,0.05%,0.06%,0.13%,0.68%,Sep/17
Poland,5.5160,0.0780,0.09%,0.08%,-0.35%,0.17%,Sep/17
Romania,7.3800,0.0100,-0.27%,0.03%,0.04%,0.53%,Sep/17
Slovakia,3.4610,0.0150,0.00%,-0.09%,0.26%,0.18%,Sep/17
Slovenia,3.0080,0.0280,0.04%,-0.05%,0.02%,0.07%,Sep/17
Sweden,2.5010,0.0340,0.03%,0.08%,0.17%,0.57%,Sep/17
Hungary,6.9900,0.0300,-0.17%,-0.05%,0.45%,0.70%,Sep/17
Iceland,6.7780,0.0800,-0.13%,-0.24%,-0.12%,-0.20%,Sep/17
Ireland,2.9216,0.0186,0.03%,-0.09%,0.29%,0.36%,Sep/17
Austria,2.9882,0.0126,0.02%,-0.09%,0.22%,0.28%,Sep/17
Belgium,3.2222,0.0090,0.02%,-0.07%,0.24%,0.43%,Sep/17
Croatia,3.0680,0.0000,0.00%,-0.08%,0.11%,-0.18%,Sep/16
Czech Republic,4.3720,0.0230,0.04%,0.05%,0.23%,0.67%,Sep/17
Denmark,2.5110,0.0233,0.02%,-0.11%,0.42%,0.39%,Sep/17
Euro area,3.16,0.01,0.01%,-0.05%,0.20%,0.33%,Sep/16
Chile,5.5700,0.0300,-0.03%,-0.03%,-0.31%,0.28%,Sep/16
Colombia,11.1000,0.0850,-0.19%,-0.65%,-0.47%,1.53%,Sep/17
China,1.8500,0.0290,0.04%,0.08%,0.17%,-0.19%,Sep/17
Singapore,1.7550,0.0110,-0.06%,-0.13%,-1.11%,-0.67%,Sep/17
Taiwan,1.3800,0.0020,0.01%,-0.01%,-0.29%,-0.11%,Sep/17
Thailand,1.4400,0.0000,0.20%,0.11%,-0.83%,-1.08%,Sep/17
Vietnam,3.6890,0.0010,0.01%,0.13%,0.57%,0.89%,Sep/17
Hong Kong,3.0040,0.0360,-0.05%,-0.04%,-0.80%,0.28%,Sep/17
Indonesia,6.3390,0.0080,-0.10%,-0.05%,-0.66%,-0.21%,Sep/17
Israel,4.1490,0.0180,0.03%,0.00%,-0.32%,-0.83%,Sep/17
Malaysia,3.4070,0.0120,0.00%,0.03%,-0.41%,-0.34%,Sep/17
Pakistan,11.9950,0.0000,0.00%,0.01%,-0.17%,-1.13%,Sep/17
Philippines,5.9520,0.0020,-0.01%,-0.06%,-0.27%,-0.02%,Sep/17
Zambia,19.5000,0.0000,-0.01%,-0.02%,-2.66%,-6.89%,Sep/17
Kenya,13.4300,0.0000,0.00%,0.04%,-0.91%,-3.47%,Sep/17
Nigeria,16.6340,0.0010,0.01%,0.96%,-5.10%,-3.22%,Sep/16
