Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDNGN,1495.400,0.86,-0.06%,-0.62%,-2.51%,-3.12%,-8.80%,10:30
USDZAR,17.3305,0.0498,-0.29%,-0.14%,-1.88%,-8.05%,-1.04%,10:30
USDZMW,23.4500,0.2820,-1.19%,-1.37%,0.47%,-16.27%,-10.02%,Sep/18
USDEGP,48.1900,0.05,0.10%,-0.05%,-0.53%,-5.11%,-0.59%,10:30
USDDZD,129.284,0.136,0.11%,-0.41%,-0.55%,-4.54%,-2.32%,10:30
USDAOA,918.655,0.000,0.00%,0.18%,0.00%,-0.43%,-1.88%,Sep/18
USDMAD,8.98450,0.0151,0.17%,-0.17%,-0.39%,-11.18%,-7.31%,10:30
USDSDG,601.500,1.329,0.22%,0.19%,0.19%,0.45%,0.45%,Sep/18
USDKES,129.150,0.050,-0.04%,-0.04%,-0.04%,0.23%,-0.03%,Sep/18
USDETB,145.0356,0.2577,0.18%,1.01%,2.90%,13.67%,23.43%,Sep/18
USDTZS,2475.00,5.00,0.20%,0.61%,-1.12%,2.06%,-9.17%,Sep/18
USDTND,2.89730,0.01930,0.67%,-0.11%,0.45%,-9.14%,-4.19%,Sep/18
USDLYD,5.38400,0.00430,0.08%,-0.29%,-0.70%,9.80%,13.47%,Sep/18
USDGHS,12.26090,0.00590,0.05%,0.46%,12.49%,-16.59%,-21.81%,Sep/18
USDCDF,2780.00,95.00,-3.30%,-4.39%,-4.55%,-2.68%,-2.11%,Sep/17
USDUGX,3503.49,3.89,0.11%,-0.15%,-1.74%,-4.61%,-5.79%,Sep/18
USDMZN,63.8900,0.0200,-0.03%,-0.03%,-0.03%,-0.02%,-0.02%,Sep/18
USDBWP,13.2854,0.9199,-6.48%,-0.21%,-7.35%,-4.82%,1.03%,10:30
USDXAF,554.690,9.910,-1.76%,-2.77%,-2.79%,-13.36%,-5.68%,Sep/18
USDNAD,17.3334,0.0576,-0.33%,-0.13%,-1.98%,-7.95%,-0.95%,10:30
USDSSP,4553.055,1.000,0.02%,0.24%,0.45%,17.25%,44.80%,Sep/17
USDMUR,45.2700,0.2100,0.47%,-0.64%,-0.90%,-3.27%,-1.31%,Sep/18
USDMGA,4397.24,61.61,-1.38%,-0.77%,-1.19%,-6.29%,-3.46%,Sep/18
USDRWF,1450.83,0.31,0.02%,0.40%,0.17%,5.95%,8.11%,Sep/18
USDGNF,8674.50,1.50,0.02%,0.02%,0.04%,0.84%,0.25%,Sep/18
USDMRO,39.9300,0.0700,-0.18%,-0.03%,-0.32%,0.40%,0.96%,Sep/18
USDSLL,23342.3,0.0,0.00%,-0.16%,0.93%,2.04%,3.44%,Sep/18
USDXOF,554.685,3.665,-0.66%,-0.86%,-1.26%,-11.50%,-5.59%,Sep/18
USDMWK,1734.010,0.340,0.02%,0.02%,0.02%,0.02%,-0.11%,Sep/18
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/18
USDSZL,17.3985,0.0172,0.10%,0.09%,-1.62%,-7.55%,-0.58%,Sep/18
USDBIF,2984.58,0.00,0.00%,0.01%,0.07%,0.92%,3.13%,Sep/18
USDLSL,17.3334,0.0483,-0.28%,-0.10%,-1.98%,-7.95%,-0.95%,10:30
USDLRD,177.000,0.000,0.00%,-3.54%,-11.72%,-4.07%,-11.50%,Sep/17
USDCVE,93.4566,0.0967,-0.10%,-1.09%,-1.66%,-12.39%,-5.84%,Sep/18
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,-0.13%,Sep/18
USDSCR,14.6108,0.3321,-2.22%,2.90%,-1.38%,2.52%,6.04%,Sep/18
USDSOS,571.040,0.460,-0.08%,-0.08%,-0.08%,0.54%,0.54%,Sep/18
USDGMD,73.4000,0.0250,0.03%,0.10%,0.72%,1.73%,4.48%,Sep/18
USDKMF,415.000,1.490,-0.36%,-1.07%,-1.74%,-12.44%,-5.97%,Sep/18
USDSTD,20.9093,0.0201,-0.10%,-0.84%,-1.57%,-12.50%,-6.62%,10:30
USDZIG,26.555,0.122,-0.46%,-0.66%,-0.77%,2.93%,90.07%,Sep/18
