Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
GB100,9221,13,0.14%,-0.83%,0.34%,12.81%,10.70%,10:28
DE40,23643,284,1.22%,-0.26%,-3.20%,18.74%,24.41%,10:28
FR40,7872,85,1.09%,0.58%,-1.38%,6.62%,3.33%,10:28
IT40,42156,201,0.48%,-0.66%,-2.02%,23.30%,23.81%,10:28
ES35,15159,31,0.21%,-1.00%,-0.89%,30.81%,28.78%,10:28
MOEX,2801,13,-0.45%,-3.71%,-5.58%,-2.87%,1.50%,10:27
NL25,928,13,1.42%,2.44%,2.87%,5.60%,2.14%,Sep/18
BIST 100,11284,118,1.06%,8.67%,2.93%,14.77%,13.10%,10:28
CH20,12047,48,0.40%,-1.99%,-1.34%,3.86%,-0.08%,10:28
Stockholm,2636,20,0.78%,0.02%,-0.88%,6.17%,1.68%,Sep/18
WIG,105972,355,0.34%,-1.09%,-4.78%,33.10%,27.29%,10:28
BE20,4705,5,-0.11%,-1.93%,-1.89%,10.34%,10.63%,Sep/18
Oslo,1904,8,0.40%,0.42%,1.22%,15.79%,17.44%,10:27
ATX,4578,0,0.01%,-1.10%,-4.21%,24.99%,27.00%,Sep/17
Copenhagen,1632,42,2.64%,5.93%,3.65%,-22.37%,-40.21%,10:28
Helsinki,11063,12,0.11%,-0.29%,1.58%,16.79%,9.94%,10:28
Helsinki 25,5035,6,0.12%,-0.52%,1.65%,16.67%,9.40%,10:28
ISEQ,11208,68,-0.60%,-2.07%,-5.58%,14.86%,12.44%,10:28
Athens General,2030,11,0.53%,-0.51%,-3.15%,38.12%,42.12%,Sep/18
PSI Geral,5094,15,0.29%,-0.12%,-2.25%,22.85%,10.14%,10:28
PSI,7748,18,0.23%,-0.10%,-2.71%,21.48%,15.28%,10:28
PX,2284,9,0.39%,-0.43%,-1.45%,29.76%,44.19%,Sep/18
BET,20869,174,0.84%,1.16%,0.63%,24.81%,19.39%,Sep/17
BUX,99348,530,-0.53%,-2.15%,-5.85%,25.24%,36.53%,Sep/17
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/17
SAX,269,0,-0.16%,-0.05%,-2.51%,-8.94%,-7.84%,Sep/17
LuxX,1646,12,0.71%,1.98%,1.63%,26.22%,17.36%,Sep/18
CROBEX,3845,17,0.44%,0.57%,3.76%,20.50%,30.05%,Sep/18
SOFIX,1065,6,-0.53%,-1.40%,0.97%,19.34%,24.73%,Sep/17
SBITOP,2473,14,-0.57%,-1.90%,0.69%,48.13%,53.34%,Sep/18
Vilnius,1231,3,0.26%,0.17%,1.02%,15.53%,22.66%,Sep/18
BELEX 15,1220,0,0.00%,-0.49%,0.28%,6.36%,9.11%,Sep/18
EU600,554.78,4.15,0.75%,-0.10%,-0.54%,9.29%,6.35%,10:28
EU100,1631,16,1.02%,1.09%,0.54%,12.19%,9.30%,Sep/18
EU50,5438,66,1.23%,0.95%,-0.82%,11.07%,10.01%,10:28
EU350,2231.67,0.36,-0.02%,-0.32%,-0.43%,8.24%,6.91%,Sep/17
SASX-10,1474,2,-0.16%,-0.07%,1.15%,19.72%,29.64%,Sep/18
CSE General,290,1,0.28%,-0.38%,-0.71%,34.86%,58.96%,Sep/17
Tallinn,1961,1,-0.03%,-1.40%,-3.26%,13.14%,15.66%,Sep/18
Riga,911,0,-0.03%,-0.70%,-0.66%,4.74%,3.76%,Sep/18
ICEX,2106,1,0.04%,-0.84%,0.25%,-11.84%,4.31%,Sep/18
MBI 10,10461,3,-0.03%,-0.02%,-0.20%,2.55%,19.84%,Sep/18
MSE,3781,0,0.00%,-0.25%,-2.82%,0.37%,-0.33%,Sep/16
Monex,18124.13,0.00,0.00%,-1.28%,3.44%,10.29%,17.21%,Sep/18
DE Mid,30422.97,205.59,0.68%,0.92%,-1.81%,18.89%,15.83%,Sep/18
DE Small,16975.31,273.30,1.64%,2.66%,-1.02%,23.81%,21.86%,Sep/18
Euro Stoxx Banks,230.25,1.46,0.64%,-0.98%,-2.46%,57.66%,57.54%,Sep/18
