Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold USD/t.oz,3667.49,7.49,0.20%,1.02%,10.60%,39.80%,41.81%,10:27
Silver USD/t.oz,41.870,0.19,0.46%,0.85%,11.99%,45.00%,36.07%,10:27
Copper USD/Lbs,4.5492,0.0175,-0.38%,-1.31%,2.97%,14.31%,6.15%,10:27
Steel CNY/T,3071.00,24.00,-0.78%,1.62%,-1.38%,-7.22%,-2.14%,Sep/18
Lithium CNY/T,73450,300,0.41%,0.82%,-13.17%,-2.13%,1.31%,Sep/18
Iron Ore CNY CNY/T,800.00,7.00,-0.87%,0.31%,4.85%,2.70%,15.44%,Sep/18
Platinum USD/t.oz,1388.80,17.10,1.25%,0.51%,6.48%,55.35%,41.01%,Sep/18
HRC Steel USD/T,803.07,9.93,-1.22%,-0.86%,-3.48%,13.27%,8.52%,Sep/18
Iron Ore USD/T,105.30,0.12,-0.11%,-0.47%,3.62%,1.63%,14.99%,Sep/17
Silicon CNY/T,8890.00,55.00,-0.61%,1.89%,4.53%,-21.33%,-29.83%,Sep/18
Scrap Steel USD/T,338.50,0.50,0.15%,-0.73%,-2.45%,%,-5.84%,Sep/17
Titanium CNY/KG,49.00,0.00,0.00%,0.00%,0.00%,10.11%,11.36%,Sep/18
