Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.0560,0.0290,0.03%,-0.25%,-0.52%,0.34%,Sep/18
Brazil,13.5900,0.0850,-0.29%,-0.19%,-1.56%,1.57%,Sep/17
Canada,3.1700,0.021,0.00%,-0.29%,-0.07%,0.24%,10:26
Mexico,8.6240,0.0600,-0.10%,-0.33%,-1.79%,-0.62%,Sep/17
Chile,5.5400,0.0300,-0.07%,-0.02%,-0.30%,0.14%,Sep/16
Colombia,11.1000,0.0850,-0.19%,-0.65%,-0.47%,1.53%,Sep/17
