Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Ether,4576.19,16.31,-0.36%,2.55%,12.33%,37.38%,85.35%,10:31
ETHBTC,0.0386428,0.0000936,0.24%,1.33%,4.18%,8.26%,0.36%,Sep/17
ETHEUR,3885.75,2.13,0.05%,4.61%,5.13%,20.85%,83.15%,Sep/18
ETHGBP,3370.23,0.67,0.02%,4.93%,5.56%,26.68%,88.72%,Sep/18
ETHAUD,6924.43,20.29,0.29%,5.44%,4.28%,28.68%,98.69%,Sep/18
ETHCAD,6333.96,9.68,0.15%,5.13%,6.41%,32.27%,97.40%,Sep/18
ETHCNY,32654.7,46.1,0.14%,5.54%,5.35%,33.62%,95.16%,Sep/18
ETHJPY,677495,"2,971",0.44%,5.78%,6.20%,29.27%,101.35%,Sep/18
ETHNZD,7798.27,58.71,0.76%,6.61%,7.10%,30.95%,105.36%,Sep/18
ETHCHF,3626.33,5.79,0.16%,4.45%,4.14%,19.99%,81.51%,Sep/18
ETHMXN,84017.5,59.7,-0.07%,3.94%,3.75%,20.99%,85.29%,Sep/18
ETHINR,405159,"1,432",0.35%,5.85%,7.60%,42.15%,105.31%,Sep/18
ETHBRL,23828.0,28.7,-0.12%,1.35%,1.62%,15.68%,85.05%,Sep/17
ETHRUB,380857,"4,913",-1.27%,3.69%,10.03%,0.75%,72.52%,Sep/18
ETHKRW,6370784,"29,922",0.47%,5.49%,6.36%,29.39%,104.52%,Sep/18
ETHIDR,76046437,"495,253",0.66%,6.37%,8.73%,40.36%,110.51%,Sep/18
ETHTRY,189991.3,555.8,0.29%,5.95%,7.80%,61.44%,136.53%,Sep/18
ETHSAR,17242.1,12.7,0.07%,5.73%,6.55%,37.81%,94.85%,Sep/18
ETHSEK,42627.3,4.3,-0.01%,4.99%,3.41%,15.68%,77.14%,Sep/18
ETHNGN,6875158,"3,587",0.05%,5.14%,3.85%,33.69%,77.86%,Sep/18
ETHPLN,16537.0,16.8,0.10%,4.50%,5.34%,20.20%,82.58%,Sep/18
ETHARS,6774687,"6,550",0.10%,9.44%,21.52%,97.29%,198.59%,Sep/18
ETHNOK,45032.8,24.4,-0.05%,4.40%,2.33%,18.77%,80.39%,Sep/18
ETHTWD,138257.1,11.4,0.01%,5.00%,6.70%,26.54%,84.43%,Sep/18
ETHIRR,189670489,"696,169",-0.37%,4.70%,0.99%,35.59%,93.32%,Sep/16
