Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6658.51,58.16,0.88%,1.07%,3.85%,13.20%,16.53%,10:28
US30,46344,326,0.71%,0.49%,3.14%,8.91%,10.25%,10:28
US100,24469,245,1.01%,1.97%,4.63%,16.44%,23.32%,10:28
JP225,45695,905,2.02%,2.96%,4.91%,14.51%,22.95%,10:28
GB100,9221,13,0.14%,-0.83%,0.34%,12.81%,10.70%,10:28
DE40,23643,284,1.22%,-0.26%,-3.20%,18.74%,24.41%,10:28
FR40,7872,85,1.09%,0.58%,-1.38%,6.62%,3.33%,10:28
IT40,42156,201,0.48%,-0.66%,-2.02%,23.30%,23.81%,10:28
ES35,15159,31,0.21%,-1.00%,-0.89%,30.81%,28.78%,10:28
ASX200,8755,63,-0.72%,-0.57%,-1.58%,7.31%,6.88%,Sep/18
SHANGHAI,3832,45,-1.15%,-1.13%,2.80%,14.32%,40.04%,Sep/18
SENSEX,83014,320,0.39%,1.80%,1.68%,6.24%,-0.21%,Sep/18
TSX,29322,6,0.02%,0.49%,5.01%,18.58%,24.28%,Sep/17
MOEX,2801,13,-0.45%,-3.71%,-5.58%,-2.87%,1.50%,10:27
IBOVESPA,145594,"1,532",1.06%,2.28%,6.02%,21.04%,8.86%,Sep/17
IPC,61596,506,-0.81%,1.83%,5.62%,24.32%,17.14%,Sep/17
NL25,928,13,1.42%,2.44%,2.87%,5.60%,2.14%,Sep/18
CH20,12047,48,0.40%,-1.99%,-1.34%,3.86%,-0.08%,10:28
SAALL,105450,82,0.08%,1.46%,4.20%,25.39%,25.89%,Sep/18
STI,4313,11,-0.26%,-0.99%,2.29%,13.86%,18.70%,Sep/18
HK50,26656,252,-0.94%,2.16%,6.08%,32.85%,47.95%,10:28
NZX 50,13120,108,-0.82%,-0.82%,1.48%,0.07%,3.59%,Sep/18
EU50,5438,66,1.23%,0.95%,-0.82%,11.07%,10.01%,10:28
