Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.0560,0.0290,0.03%,-0.25%,-0.52%,0.34%,Sep/18
United Kingdom,4.6380,0.0090,0.03%,-0.11%,0.07%,0.74%,Sep/18
Japan,1.6000,0.0076,0.02%,0.00%,0.51%,0.75%,Sep/18
Australia,4.2000,0.0250,-0.04%,-0.13%,-0.17%,0.27%,Sep/18
Germany,2.6767,0.0004,0.03%,-0.08%,0.31%,0.48%,10:26
Brazil,13.5900,0.0850,-0.29%,-0.19%,-1.56%,1.57%,Sep/17
Russia,14.0800,0.0600,0.34%,0.61%,-1.14%,-1.67%,Sep/17
India,6.5070,0.0300,0.01%,0.05%,-0.29%,-0.27%,Sep/18
Canada,3.1700,0.021,0.00%,-0.29%,-0.07%,0.24%,10:26
Italy,3.4970,0.0012,0.02%,-0.09%,-0.02%,-0.06%,10:26
France,3.4860,0.0009,0.04%,0.05%,0.29%,0.56%,Sep/18
South Africa,9.1700,0.0200,-0.21%,-0.48%,0.14%,0.32%,Sep/18
Switzerland,0.1820,0.0710,-0.05%,-0.17%,-0.07%,-0.30%,Sep/18
Mexico,8.6240,0.0600,-0.10%,-0.33%,-1.79%,-0.62%,Sep/17
Netherlands,2.8480,0.0023,0.02%,-0.08%,0.25%,0.36%,10:26
New Zealand,4.2360,0.0480,-0.07%,-0.27%,-0.19%,0.04%,Sep/18
Portugal,3.0900,0.009,0.01%,-0.07%,0.25%,0.31%,10:26
South Korea,2.7650,0.0230,-0.06%,-0.08%,-0.11%,-0.21%,Sep/18
Spain,3.2330,0.0150,0.00%,-0.09%,0.17%,0.24%,Sep/18
Greece,3.3540,0.016,0.01%,-0.08%,0.16%,0.16%,Sep/18
Turkey,29.2400,0.1100,-1.30%,-0.01%,2.05%,2.17%,Sep/17
