Crypto,Price,Day,Weekly,Monthly,YTD,YoY,MarketCap,Date
Bitcoin,116328,507,-0.43%,2.01%,0.00%,24.60%,89.86%,"$2,312,178M"
Ether,4572.01,68.11,1.51%,5.20%,6.04%,37.30%,93.95%,"$696,740M"
Binance,975.0,22.6,2.37%,9.14%,15.15%,39.70%,75.42%,"$133,438M"
Cardano,0.90597,0.02566,2.91%,2.17%,-1.98%,7.38%,164.87%,"$31,926M"
Solana,244.2692,7.4274,3.14%,8.98%,33.35%,29.21%,83.50%,"$130,939M"
Ripple,3.07409,0.03651,1.20%,2.88%,0.23%,47.98%,424.28%,"$182,134M"
Polkadot,4.38,0.12,2.81%,3.91%,11.87%,-33.82%,5.47%,"$6,978M"
Avalanche,30.59,0.5,1.66%,3.79%,28.74%,-14.09%,24.91%,"$12,757M"
Polygon,0.25,0.00,-1.59%,-6.53%,-2.28%,-43.73%,-34.76%,$496M
Cosmos,4.60,0.06,1.24%,-1.55%,3.10%,-25.41%,5.72%,"$2,143M"
Dai,0.99990,0.00026,0.03%,0.03%,0.01%,-0.02%,0.00%,"$5,365M"
Litecoin,117.120,2.090,1.82%,-0.45%,-0.51%,14.03%,81.22%,"$8,810M"
Uniswap,9.52,0.19,2.06%,-2.21%,-9.21%,-27.93%,41.76%,"$5,944M"
Algorand,0.24,0.00,1.46%,0.82%,-5.35%,-29.09%,90.63%,"$2,116M"
Bitcoin Cash,616.48,17.64,2.95%,6.13%,8.24%,42.00%,93.56%,"$12,010M"
Stellar,0.39672,0.01278,3.33%,3.26%,-4.52%,19.41%,313.26%,"$12,509M"
Monero,303.480,16.22,-5.07%,13.04%,5.20%,57.56%,77.27%,"$5,382M"
Chainlink,24.0325,0.5444,2.32%,2.00%,-6.65%,20.65%,122.26%,"$16,074M"
Tether,1.00,0.00,0.01%,0.01%,-0.02%,0.23%,0.01%,"$171,000M"
USD Coin,1.00,0.00,0.00%,-0.01%,-0.01%,-0.02%,-0.01%,"$73,613M"
Sui,3.76,0.16,4.38%,3.81%,4.35%,-8.86%,185.34%,"$13,013M"
Toncoin,3.13,0.03,-0.98%,-1.46%,-6.07%,-43.23%,-44.57%,"$7,985M"
Tron,0.3429,0.0005,0.16%,1.30%,-2.14%,34.58%,129.24%,"$32,350M"
Ethena USDe,1.00,0.00,0.02%,0.00%,0.02%,0.25%,0.22%,"$12,118M"
Hedera,0.24,0.01,2.31%,3.99%,-0.58%,-9.39%,380.41%,"$10,158M"
BTCETH,25.9080,0.0329,-0.13%,-1.20%,-3.90%,-7.52%,-0.25%,Sep/17
BTCEUR,97730.3,686.9,-0.70%,0.34%,-1.92%,8.49%,77.36%,Sep/17
BTCGBP,84734.8,843.6,-0.99%,0.61%,-1.56%,13.68%,82.69%,Sep/17
BTCAUD,173535.5,"1,147.6",-0.66%,0.77%,-3.07%,15.11%,91.73%,Sep/17
BTCCAD,158987.7,"1,537.8",-0.96%,0.63%,-0.93%,18.51%,90.78%,Sep/17
BTCCNY,819600,"10,235",-1.23%,1.02%,-1.92%,19.71%,88.60%,Sep/17
BTCJPY,16961862,"145,119",-0.85%,0.99%,-1.37%,15.52%,94.10%,Sep/17
BTCNZD,193910.9,"1,194.5",-0.61%,1.10%,-1.22%,16.23%,96.62%,Sep/17
BTCCHF,91043.7,779.3,-0.85%,0.01%,-3.02%,7.53%,75.46%,Sep/17
BTCMXN,2107197,"29,463",-1.38%,-0.58%,-3.49%,8.31%,78.93%,Sep/17
BTCINR,10167312,"100,539",-0.98%,1.30%,0.16%,27.33%,98.38%,Sep/17
BTCBRL,612334,"6,530",-1.06%,-0.68%,-3.14%,6.11%,83.10%,Sep/17
BTCRUB,9678409,"42,263",-0.43%,0.49%,3.72%,-8.61%,68.80%,Sep/17
BTCKRW,159367455,"1,724,643",-1.07%,0.63%,-1.31%,15.54%,96.99%,Sep/17
BTCIDR,1896222322,"21,156,863",-1.10%,1.15%,0.56%,24.92%,102.10%,Sep/17
BTCTRY,4765705,"50,117",-1.04%,1.35%,0.30%,44.54%,128.44%,Sep/17
BTCSAR,433042,"5,200",-1.19%,1.26%,-0.74%,23.54%,88.42%,Sep/17
BTCSEK,1072389,"5,309",-0.49%,0.73%,-3.50%,3.88%,71.59%,Sep/17
BTCNGN,172470586,"2,505,015",-1.43%,0.58%,-3.37%,19.71%,71.79%,Sep/17
BTCPLN,415667,"2,514",-0.60%,0.17%,-1.78%,7.85%,76.70%,Sep/17
BTCARS,170129027,"1,561,471",-0.91%,4.80%,13.19%,76.85%,188.71%,Sep/17
BTCNOK,1132603,"7,151",-0.63%,0.13%,-4.53%,6.62%,74.68%,Sep/17
BTCTWD,3475236,"37,876",-1.08%,0.65%,-0.52%,13.54%,78.49%,Sep/17
BTCIRR,4920213938,"65,709,638",1.35%,4.91%,-0.27%,25.55%,94.56%,Sep/16
ETHBTC,0.0386428,0.0000936,0.24%,1.33%,4.18%,8.26%,0.36%,Sep/17
ETHEUR,3803.02,9.11,0.24%,2.39%,2.89%,18.28%,79.25%,Sep/17
ETHGBP,3297.32,1.66,-0.05%,2.66%,3.27%,23.94%,84.63%,Sep/17
ETHAUD,6752.85,18.95,0.28%,2.83%,1.69%,25.49%,93.77%,Sep/17
ETHCAD,6186.75,1.39,-0.02%,2.68%,3.93%,29.20%,92.81%,Sep/17
ETHCNY,31893.4,96.1,-0.30%,3.08%,2.89%,30.50%,90.61%,Sep/17
ETHJPY,659559,98,0.01%,2.98%,3.39%,25.85%,96.02%,Sep/17
ETHNZD,7540.19,19.02,0.25%,3.08%,3.56%,26.62%,98.57%,Sep/17
ETHCHF,3542.82,3.11,0.09%,2.05%,1.75%,17.23%,77.33%,Sep/17
ETHMXN,81937.9,428.7,-0.52%,1.37%,1.18%,17.99%,80.71%,Sep/17
ETHINR,394257,"1,561",-0.39%,3.00%,4.71%,38.32%,99.79%,Sep/17
ETHBRL,23828.0,28.7,-0.12%,1.35%,1.62%,15.68%,85.05%,Sep/17
ETHRUB,376326,"1,601",0.43%,2.46%,8.72%,-0.45%,70.47%,Sep/17
ETHKRW,6196971,"13,006",-0.21%,2.61%,3.46%,25.86%,98.94%,Sep/17
ETHIDR,73734223,"179,280",-0.24%,3.14%,5.42%,36.09%,104.11%,Sep/17
ETHTRY,185271.7,374.5,-0.20%,3.32%,5.13%,57.43%,130.65%,Sep/17
ETHSAR,16838.8,55.1,-0.33%,3.25%,4.06%,34.59%,90.29%,Sep/17
ETHSEK,41699.6,155.2,0.37%,2.71%,1.16%,13.16%,73.29%,Sep/17
ETHNGN,6706484,"38,692",-0.57%,2.56%,1.30%,30.41%,73.49%,Sep/17
ETHPLN,16163.1,42.6,0.26%,2.13%,2.96%,17.49%,78.45%,Sep/17
ETHARS,6618896,358,0.01%,6.92%,18.72%,92.76%,191.72%,Sep/17
ETHNOK,44041.0,104.4,0.24%,2.10%,0.08%,16.15%,76.41%,Sep/17
ETHTWD,135133.8,293.9,-0.22%,2.63%,4.29%,23.68%,80.26%,Sep/17
ETHIRR,189670489,"696,169",-0.37%,4.70%,0.99%,35.59%,93.32%,Sep/16
