Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6618.24,11.48,0.17%,1.32%,2.62%,12.52%,17.79%,22:31
US30,46094,336,0.74%,1.32%,2.63%,8.34%,11.06%,22:31
US100,24308,33,0.14%,1.92%,2.50%,15.68%,25.65%,22:31
JP225,44790,112,-0.25%,2.17%,2.46%,12.27%,23.12%,Sep/17
GB100,9208,13,0.14%,-0.18%,0.55%,12.67%,11.57%,Sep/17
DE40,23359,30,0.13%,-1.16%,-3.93%,17.33%,24.84%,Sep/17
FR40,7787,31,-0.40%,0.33%,-1.23%,5.50%,4.59%,Sep/17
IT40,41955,550,-1.29%,-0.25%,-1.61%,22.73%,24.66%,Sep/17
ES35,15127,36,-0.24%,-0.59%,-0.82%,30.46%,29.46%,Sep/17
ASX200,8819,59,-0.67%,-0.14%,-1.57%,8.08%,8.31%,Sep/17
SHANGHAI,3876,14,0.37%,1.68%,3.98%,15.65%,42.66%,Sep/17
SENSEX,82694,313,0.38%,1.56%,1.75%,5.83%,-0.31%,Sep/17
TSX,29322,6,0.02%,0.49%,5.01%,18.58%,24.28%,Sep/17
MOEX,2816,13,0.46%,-3.38%,-4.60%,-2.34%,2.32%,Sep/17
IBOVESPA,145594,"1,532",1.06%,2.28%,6.02%,21.04%,8.86%,Sep/17
IPC,61596,506,-0.81%,1.83%,5.62%,24.32%,17.14%,Sep/17
NL25,915,3,0.36%,1.47%,1.99%,4.12%,2.48%,Sep/17
CH20,11999,20,-0.16%,-1.79%,-0.60%,3.43%,0.14%,Sep/17
SAALL,105368,483,0.46%,1.72%,4.18%,25.30%,27.38%,Sep/17
STI,4324,14,-0.32%,-0.52%,3.26%,14.16%,20.36%,Sep/17
HK50,26908,470,1.78%,2.70%,6.88%,34.14%,49.38%,Sep/17
NZX 50,13198,37,-0.28%,-0.58%,1.76%,0.67%,4.86%,22:31
EU50,5372,0,0.00%,0.20%,-1.15%,9.73%,11.10%,Sep/17
BIST 100,11198,15,0.13%,5.77%,2.45%,13.91%,14.56%,Sep/17
Stockholm,2616,2,0.07%,-0.50%,-0.37%,5.35%,2.82%,Sep/17
WIG,105617,334,-0.31%,-0.06%,-3.91%,32.72%,27.70%,Sep/17
BE20,4711,3,0.07%,-1.57%,-2.03%,10.46%,11.49%,Sep/17
Oslo,1897,6,-0.33%,-0.03%,1.00%,15.32%,17.59%,Sep/17
ATX,4578,0,0.01%,-1.10%,-4.21%,24.99%,27.00%,Sep/17
Copenhagen,1589,19,1.23%,2.36%,1.76%,-24.40%,-41.05%,Sep/17
Helsinki,11051,0,0.00%,0.10%,2.47%,16.64%,11.10%,Sep/17
Helsinki 25,5029,1,-0.01%,0.08%,2.78%,16.53%,10.60%,Sep/17
ISEQ,11276,3,0.03%,-1.50%,-3.90%,15.56%,15.21%,Sep/17
Athens General,2019,14,-0.69%,-0.60%,-3.49%,37.40%,42.25%,Sep/17
PSI Geral,5079,4,-0.07%,-0.17%,-1.46%,22.50%,9.17%,Sep/17
PSI,7730,8,-0.10%,0.01%,-1.91%,21.21%,14.44%,Sep/17
PX,2271,7,-0.32%,-0.85%,-1.94%,29.03%,44.86%,Sep/17
BET,20695,97,-0.47%,0.60%,-0.21%,23.77%,18.21%,Sep/16
BUX,99348,530,-0.53%,-2.15%,-5.85%,25.24%,36.53%,Sep/17
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/17
SAX,269,0,-0.16%,-0.05%,-2.51%,-8.94%,-7.84%,Sep/17
LuxX,1627,8,-0.48%,0.72%,1.99%,24.75%,17.01%,Sep/17
CROBEX,3829,10,-0.26%,0.42%,2.93%,19.98%,29.84%,Sep/17
SOFIX,1065,6,-0.53%,-1.40%,0.97%,19.34%,24.73%,Sep/17
SBITOP,2488,15,-0.58%,-1.38%,1.51%,48.99%,54.53%,Sep/17
Vilnius,1226,8,-0.62%,-0.30%,0.70%,15.08%,22.33%,Sep/17
