Company,Price,Chg,%Chg,YoY
Hologic HOLX,68.24,4.91,7.75%,-16.50%
Workday WDAY,234.88,15.87,7.25%,-5.45%
Fox FOXA,59.30,1.83,3.18%,46.06%
Fox FOX,53.57,1.56,3.00%,42.63%
American Express AXP,336.00,8.96,2.74%,28.14%
Brown-Forman BFB,28.06,0.74,2.71%,-40.30%
Applied Materials AMAT,178.19,4.65,2.68%,-4.29%
