Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
Japan,1.6000,0.0076,0.02%,0.00%,0.51%,0.75%,Sep/18
India,6.5070,0.0300,0.01%,0.05%,-0.29%,-0.27%,Sep/18
China,1.8600,0.0100,0.05%,0.08%,0.18%,-0.18%,Sep/18
Singapore,1.7680,0.0130,-0.02%,-0.18%,-1.09%,-0.69%,Sep/18
South Korea,2.7650,0.0230,-0.06%,-0.08%,-0.11%,-0.21%,Sep/18
Taiwan,1.3800,0.0000,0.02%,0.00%,-0.28%,-0.09%,Sep/18
Thailand,1.4400,0.0000,0.20%,0.11%,-0.83%,-1.08%,Sep/17
Vietnam,3.6970,0.0080,0.01%,0.13%,0.58%,0.91%,Sep/18
Hong Kong,3.0280,0.0240,0.01%,-0.09%,-0.78%,0.30%,Sep/18
Indonesia,6.3330,0.0060,-0.08%,-0.06%,-0.66%,-0.15%,Sep/18
Israel,4.1490,0.0180,0.03%,0.00%,-0.32%,-0.83%,Sep/17
Malaysia,3.3930,0.0140,-0.01%,0.02%,-0.43%,-0.35%,Sep/18
Pakistan,11.9950,0.0000,0.00%,0.01%,-0.17%,-1.13%,Sep/18
Philippines,5.9310,0.0210,-0.01%,-0.09%,-0.29%,0.06%,Sep/18
