Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
JP225,45695,905,2.02%,2.96%,4.91%,14.51%,22.95%,10:28
SHANGHAI,3832,45,-1.15%,-1.13%,2.80%,14.32%,40.04%,Sep/18
CSI 300,4498,53,-1.16%,-1.10%,6.51%,14.31%,40.74%,Sep/18
SHANGHAI 50,2913,40,-1.35%,-2.36%,3.57%,8.49%,30.63%,Sep/18
CH50,14974.57,218.86,-1.44%,-1.18%,5.13%,10.82%,33.23%,Sep/18
SENSEX,83014,320,0.39%,1.80%,1.68%,6.24%,-0.21%,Sep/18
DSE Broad,5480,13,-0.23%,-0.80%,1.27%,5.05%,-4.46%,Sep/18
JCI,8002,23,-0.29%,3.28%,1.77%,13.02%,1.22%,Sep/18
TASI,10718,68,0.64%,2.54%,-1.50%,-10.95%,-11.28%,10:28
Taiwan Stock Market Index,25769,331,1.30%,2.20%,5.81%,11.87%,16.91%,Sep/18
ADX General,10039,0,0.00%,0.79%,-1.67%,6.58%,5.67%,Sep/18
SET 50,839,5,-0.62%,0.58%,4.38%,-7.45%,-8.61%,Sep/18
FKLCI,1599,13,-0.79%,1.02%,0.55%,-2.64%,-4.01%,Sep/18
STI,4313,11,-0.26%,-0.99%,2.29%,13.86%,18.70%,Sep/18
TA-125,3046,5,0.17%,-3.64%,-0.74%,25.56%,53.03%,10:28
HK50,26656,252,-0.94%,2.16%,6.08%,32.85%,47.95%,10:28
PSEi,6234,23,0.37%,1.74%,-0.70%,-4.52%,-13.45%,Sep/18
KSE 100,157846,1668,1.07%,1.08%,5.38%,37.09%,93.74%,10:28
KASE,7157,90,1.28%,0.34%,4.68%,28.30%,37.02%,Sep/18
QE,11253,27,0.24%,1.45%,-2.07%,6.45%,7.54%,Sep/18
HNX,276.92,0.71,-0.26%,1.00%,-3.33%,21.76%,18.46%,Sep/18
VN,1663,8,-0.45%,0.34%,0.56%,31.31%,30.85%,Sep/18
MSM 30,5121,2,0.05%,0.76%,4.12%,11.88%,8.37%,Sep/18
ASPI,20963,188,0.91%,1.56%,1.91%,31.48%,92.55%,Sep/18
Blom,1990,15,-0.75%,4.62%,0.87%,-20.93%,-1.49%,Sep/18
ASE,3078,7,-0.23%,2.47%,3.64%,23.68%,28.78%,Sep/18
LSX Composite,1474,27,1.83%,2.02%,0.22%,28.21%,46.90%,Sep/18
MSE 20,48880,51,0.10%,0.13%,0.05%,-4.71%,1.42%,Sep/18
DFM General,6025,34,0.57%,1.15%,-2.04%,16.80%,36.27%,Sep/18
Kuwait All Share,8816.70,5.94,-0.07%,1.02%,1.64%,19.75%,23.59%,Sep/17
JPVIX,24.11,0.06,-0.25%,-1.75%,-0.45%,10.65%,-6.30%,Sep/18
NIFTY 50,25424,93,0.37%,1.67%,1.77%,7.52%,0.03%,Sep/18
TEDPIX,2523000.00,0.00,0.00%,0.00%,-2.55%,-9.51%,20.82%,Sep/03
Estirad,1925.31,7.44,-0.39%,-0.88%,-0.43%,-3.05%,-5.05%,Sep/17
