Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDJPY,147.263,0.388,0.26%,0.02%,-0.32%,-6.41%,3.07%,10:30
USDCNY,7.10223,0.00184,0.03%,-0.16%,-1.19%,-3.21%,0.43%,10:30
USDINR,88.1550,0.2449,0.28%,-0.12%,1.26%,3.03%,5.45%,10:30
USDKRW,1385.90,5.2,0.38%,-0.28%,-0.54%,-6.25%,4.41%,10:30
USDIDR,16493.4,42.4,0.26%,0.88%,1.73%,1.84%,9.14%,10:30
USDSAR,3.75070,0.00100,-0.03%,-0.03%,-0.05%,-0.15%,-0.05%,Sep/18
USDTWD,30.0700,0.0325,-0.11%,-0.77%,-0.22%,-8.33%,-5.87%,Sep/18
USDIRR,42050.0,62.5,-0.15%,-0.18%,0.11%,0.12%,0.12%,Sep/17
USDAED,3.67250,0.00050,-0.01%,-0.01%,-0.01%,-0.02%,-0.01%,Sep/18
USDTHB,31.7900,0.01,-0.03%,0.19%,-2.42%,-7.40%,-4.07%,10:30
USDMYR,4.19600,0.00750,0.18%,-0.62%,-0.64%,-6.16%,-0.33%,Sep/18
USDSGD,1.27885,0.00127,0.10%,-0.22%,-0.51%,-6.36%,-1.06%,10:30
USDILS,3.34380,0.00667,0.20%,0.60%,-1.42%,-8.07%,-10.74%,10:30
USDHKD,7.77721,0.00000,0.00%,-0.15%,-0.28%,0.14%,-0.21%,Sep/18
USDPHP,57.0620,0.3020,0.53%,-0.12%,-0.19%,-1.76%,2.72%,Sep/18
USDPKR,284.043,2.543,0.90%,0.87%,0.43%,2.04%,2.14%,Sep/18
USDIQD,1311.25,1.25,0.10%,0.09%,0.11%,0.17%,-0.05%,Sep/18
USDKZT,541.075,0.105,0.02%,0.22%,0.42%,3.11%,12.97%,10:30
USDQAR,3.65050,0.00550,0.15%,0.15%,0.16%,0.16%,0.15%,Sep/18
USDVND,26385.0,10.0,0.04%,-0.07%,0.25%,3.55%,7.41%,Sep/18
USDBDT,121.7000,0.0500,-0.04%,0.00%,0.16%,2.27%,1.69%,Sep/18
USDOMR,0.38500,0.00023,0.06%,0.06%,0.06%,0.00%,0.01%,Sep/18
USDAZN,1.70000,0.00000,0.00%,0.00%,0.00%,0.30%,0.00%,Sep/18
USDLKR,302.105,0.365,0.12%,0.10%,0.08%,3.01%,-0.93%,10:30
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%,Sep/17
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/17
USDUZS,12296.5,42.2,0.34%,-1.35%,-1.82%,-4.68%,-3.44%,Sep/18
USDMOP,8.01450,0.00090,-0.01%,-0.16%,-0.28%,0.13%,-0.30%,Sep/18
USDTMT,3.51000,0.01050,0.30%,0.30%,0.30%,0.44%,0.29%,Sep/18
USDLBP,88791.01,758.99,-0.85%,-0.85%,-0.85%,-0.79%,-0.90%,Sep/18
USDYER,239.550,0.110,0.05%,-0.02%,-0.27%,-3.82%,-4.17%,Sep/18
USDBHD,0.37710,0.00007,0.02%,0.02%,0.03%,0.00%,0.08%,Sep/18
USDAFN,67.2583,0.0217,-0.03%,-1.32%,-2.07%,-4.39%,-2.48%,Sep/18
USDNPR,140.593,0.083,0.06%,-0.65%,1.05%,2.64%,4.90%,Sep/18
USDBND,1.27890,0.0013,0.10%,-0.20%,-0.47%,-6.31%,-1.09%,10:30
USDKHR,4010.54,3.54,0.09%,0.14%,0.06%,-0.16%,-1.00%,Sep/18
USDGEL,2.73900,0.01750,0.64%,1.50%,1.56%,-2.70%,0.33%,Sep/18
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/17
USDMNT,3597.00,0.00,0.00%,-0.17%,0.03%,5.18%,6.39%,Sep/18
USDLAK,21680.8,29.8,0.14%,0.03%,0.07%,-0.10%,-1.83%,Sep/18
USDAMD,382.310,0.630,-0.16%,-0.12%,-0.17%,-3.35%,-1.59%,Sep/18
USDTJS,9.4337,0.0087,0.09%,-0.80%,0.90%,-13.05%,-11.37%,Sep/18
USDKGS,87.4500,0.0000,0.00%,0.00%,0.00%,0.52%,3.77%,Sep/18
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%,Sep/18
USDKWD,0.30500,0.00010,-0.05%,-0.09%,-0.23%,-1.07%,0.03%,Sep/18
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.03%,Sep/18
