Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
NSE-All Share,142277,241,0.17%,1.15%,-0.24%,38.23%,45.11%,10:27
SAALL,105450,82,0.08%,1.46%,4.20%,25.39%,25.89%,Sep/18
SA40,98019,53,0.05%,1.54%,4.69%,30.03%,29.30%,Sep/18
EGX 30,35315,340,0.97%,1.07%,-2.19%,18.73%,14.14%,10:28
CFG 25,19586,60,-0.30%,-1.29%,-0.80%,32.58%,39.03%,Sep/17
Nairobi 20,2988,17,-0.58%,-1.58%,11.10%,48.61%,70.24%,Sep/17
Nairobi All Share,178,0,-0.26%,-0.66%,6.77%,43.83%,65.56%,Sep/17
DSEI,2492,0,0.00%,-1.92%,-5.33%,16.45%,18.40%,Sep/18
TUN,12355,10,0.08%,2.76%,4.61%,24.09%,26.48%,10:28
GGSECI,7623,6,-0.08%,5.91%,2.79%,55.92%,73.94%,Sep/18
SEMDEX,2479,0,0.00%,1.08%,0.91%,3.15%,8.12%,Sep/18
USE All Share,1440.22,1.01,-0.07%,0.51%,3.11%,20.54%,34.96%,Sep/17
NSX Overall,1904,2,0.11%,0.75%,5.36%,5.70%,3.53%,Sep/18
Gaborone,10612,0,0.00%,-0.03%,0.56%,5.60%,9.95%,Sep/17
ZSI Industrials,207.38,0.78,-0.37%,-0.71%,2.54%,-4.60%,-20.52%,Sep/17
