Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6658.51,58.16,0.88%,1.07%,3.85%,13.20%,16.53%,10:28
US30,46344,326,0.71%,0.49%,3.14%,8.91%,10.25%,10:28
US100,24469,245,1.01%,1.97%,4.63%,16.44%,23.32%,10:28
Ecuador General,1317,2,-0.15%,-0.45%,1.21%,11.71%,15.13%,Sep/15
TSX,29322,6,0.02%,0.49%,5.01%,18.58%,24.28%,Sep/17
IBOVESPA,145594,"1,532",1.06%,2.28%,6.02%,21.04%,8.86%,Sep/17
IPC,61596,506,-0.81%,1.83%,5.62%,24.32%,17.14%,Sep/17
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1783520,"4,749",-0.27%,-2.29%,-18.87%,-29.61%,-1.74%,Sep/17
IBC,972,16,-1.58%,-3.95%,43.69%,714.24%,903.44%,Sep/17
COLCAP,1834,4,-0.24%,-2.08%,-1.04%,32.96%,40.32%,Sep/17
IGPA,45323,256,-0.56%,0.51%,2.38%,34.55%,41.42%,Sep/17
BVPSI,528,1,0.12%,0.95%,4.47%,13.26%,19.61%,Sep/17
BSX,2757,0,0.00%,0.00%,-7.30%,10.36%,7.21%,Sep/12
JSE,319336,"1,987",0.63%,0.48%,2.20%,-4.90%,3.61%,Sep/17
US1000,3613.67,3.16,-0.09%,1.01%,2.47%,12.19%,17.78%,Sep/17
