Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitcoin,117170,727,0.62%,1.42%,3.88%,25.57%,85.99%,10:31
BTCETH,25.5051,0.1501,0.59%,-1.50%,-7.89%,-8.96%,-0.05%,Sep/18
BTCEUR,99124.7,655.4,0.67%,0.67%,2.31%,10.04%,75.58%,Sep/18
BTCGBP,85992.5,557.3,0.65%,1.03%,2.81%,15.37%,81.28%,Sep/18
BTCAUD,176641.2,"1,586.4",0.91%,1.91%,1.06%,17.17%,90.92%,Sep/18
BTCCAD,161624.2,"1,271.7",0.79%,1.12%,3.33%,20.47%,89.15%,Sep/18
BTCCNY,833474,"6,683",0.81%,1.42%,2.80%,21.73%,87.08%,Sep/18
BTCJPY,17283178,"180,613",1.06%,1.61%,3.72%,17.71%,92.02%,Sep/18
BTCNZD,198780.0,"2,543.2",1.30%,2.84%,3.92%,19.15%,96.77%,Sep/18
BTCCHF,92499.8,700.8,0.76%,0.59%,1.51%,9.25%,73.18%,Sep/18
BTCMXN,2143385,"11,605",0.54%,0.47%,0.96%,10.17%,76.44%,Sep/18
BTCINR,10341466,"104,945",1.03%,1.41%,5.30%,29.51%,96.32%,Sep/18
BTCBRL,623163,"5,456",0.88%,0.07%,0.35%,7.99%,82.32%,Sep/18
BTCRUB,9726504,"54,708",-0.56%,-0.37%,6.76%,-8.16%,67.50%,Sep/18
BTCKRW,162602954,"1,830,104",1.14%,1.28%,3.47%,17.88%,94.47%,Sep/18
BTCIDR,1935170622,"19,566,829",1.02%,2.00%,5.36%,27.49%,102.37%,Sep/18
BTCTRY,4849723,"46,577",0.97%,1.59%,5.21%,47.09%,125.85%,Sep/18
BTCSAR,439986,"3,133",0.72%,1.51%,3.95%,25.52%,86.12%,Sep/18
BTCSEK,1087781,"6,854",0.63%,1.15%,0.43%,5.37%,69.92%,Sep/18
BTCNGN,175549843,"1,320,840",0.76%,0.94%,1.42%,21.84%,69.88%,Sep/18
BTCPLN,421779,"2,909",0.69%,0.70%,2.60%,9.43%,74.83%,Sep/18
BTCARS,172929832,"1,323,398",0.77%,4.44%,18.71%,79.76%,185.11%,Sep/18
BTCNOK,1149827,"7,399",0.65%,1.00%,-0.87%,8.24%,73.80%,Sep/18
BTCTWD,3528654,"23,429",0.67%,0.79%,3.81%,15.28%,75.34%,Sep/18
BTCIRR,4896428150,"23,785,788",-0.48%,1.98%,0.26%,24.94%,90.37%,Sep/17
