Commodity,Price,Day,Weekly,Monthly,YTD,YoY,Date
Crude Oil USD/Bbl,64.046,0.474,-0.74%,0.56%,2.11%,-10.73%,-8.38%
Brent USD/Bbl,68.023,0.447,-0.65%,0.76%,2.11%,-8.89%,-7.66%
Natural gas USD/MMBtu,3.0804,0.0226,-0.73%,1.56%,6.45%,-15.32%,34.69%
Gasoline USD/Gal,2.0267,0.0189,-0.92%,0.93%,-3.46%,0.70%,1.44%
Heating Oil USD/Gal,2.3518,0.0417,-1.74%,0.77%,4.97%,1.49%,10.22%
Coal USD/T,101.75,0.25,0.25%,-2.02%,-8.33%,-18.76%,-27.14%
TTF Gas EUR/MWh,32.46,0.06,0.19%,-2.66%,3.81%,-35.65%,-8.78%
UK Gas GBp/thm,79.7000,0.4000,0.50%,-1.71%,3.55%,-36.44%,-6.14%
Ethanol USD/Gal,1.9900,0.0150,-0.75%,4.74%,13.07%,17.75%,19.88%
Naphtha USD/T,570.34,4.08,0.72%,1.97%,2.76%,-6.73%,-8.90%
Uranium USD/Lbs,76.5500,0.2500,0.33%,0.20%,4.29%,4.86%,-3.71%
Propane USD/Gal,0.71,0.00,-0.69%,-0.27%,6.42%,-8.34%,8.68%
Methanol CNY/T,2289.00,5.00,0.22%,1.06%,-0.17%,-17.28%,-4.70%
Coking Coal CNY/T,196.00,0.00,0.00%,4.26%,1.82%,-2.97%,5.95%
Germany Natural Gas THE EUR/MWh,33.87,0.11,-0.33%,-2.52%,3.31%,-32.09%,-4.75%
Urals Oil USD/Bbl,63.32,1.06,1.70%,4.11%,0.27%,-7.58%,-7.52%
Gold USD/t.oz,3663.17,28.62,-0.78%,0.64%,9.94%,39.60%,43.16%
Silver USD/t.oz,41.699,0.881,-2.07%,1.33%,9.70%,44.42%,38.20%
Copper USD/Lbs,4.5543,0.0835,-1.80%,0.26%,2.14%,14.45%,8.19%
Steel CNY/T,3095.00,18.00,0.59%,1.74%,-1.93%,-6.50%,1.91%
Lithium CNY/T,73150,300,0.41%,-1.93%,-11.56%,-2.53%,0.90%
Iron Ore CNY CNY/T,805.00,1.50,0.19%,-0.31%,4.27%,3.34%,19.26%
Platinum USD/t.oz,1363.60,36.6,-2.61%,-2.36%,2.90%,52.56%,40.52%
HRC Steel USD/T,799.04,0.01,0.00%,-0.74%,-3.96%,12.70%,13.66%
Iron Ore USD/T,105.30,0.12,-0.11%,-0.47%,3.62%,1.63%,14.99%
Silicon CNY/T,8945.00,65.00,0.73%,9.02%,4.50%,-20.84%,-28.61%
Scrap Steel USD/T,338.00,1.00,0.30%,-1.17%,-2.59%,%,-5.98%
Titanium CNY/KG,49.00,0.00,0.00%,0.02%,-0.02%,10.11%,11.36%
Soybeans USd/Bu,1043.55,6.20,-0.59%,1.78%,2.23%,4.54%,2.91%
Wheat USd/Bu,528.48,5.52,-1.03%,2.62%,5.12%,-4.17%,-8.21%
Lumber USD/1000 board feet,566.60,5.90,-1.03%,-2.98%,-5.25%,3.01%,10.12%
Palm Oil MYR/T,4448.00,3.00,0.07%,0.79%,-2.46%,0.09%,15.59%
Cheese USD/Lbs,1.8071,0.0019,-0.11%,-0.02%,2.15%,-4.94%,-21.60%
Milk USD/CWT,17.64,0.04,0.23%,-0.11%,1.26%,-5.72%,-24.29%
Rubber USD Cents / Kg,174.70,0.50,0.29%,0.34%,1.98%,-11.50%,-9.43%
Orange Juice USd/Lbs,254.04,14.91,-5.54%,0.03%,5.67%,-48.94%,-48.80%
Coffee USd/Lbs,382.13,31.70,-7.66%,-3.85%,11.21%,19.23%,46.31%
Cotton USd/Lbs,65.776,0.332,-0.50%,0.45%,-0.80%,-3.79%,-5.19%
Rice USD/cwt,11.6005,0.1395,-1.19%,-0.08%,-7.82%,-17.29%,-24.99%
Canola CAD/T,626.72,14.08,-2.20%,-0.24%,-3.83%,2.96%,7.84%
Oat USd/Bu,320.7700,1.7700,0.55%,0.87%,-4.82%,-2.94%,-9.71%
Wool AUD/100Kg,1319.00,0.00,0.00%,2.17%,6.46%,14.30%,20.02%
Sugar USd/Lbs,15.52,0.38,-2.40%,-2.32%,-4.51%,-19.56%,-26.56%
Cocoa USD/T,7350.80,20.20,-0.27%,-1.57%,-8.65%,-36.10%,-5.51%
Tea INR/Kgs,192.23,4.49,2.39%,2.39%,-3.16%,13.03%,-19.05%
Sunflower Oil INR/10 kg,1352.90,9.60,0.71%,0.57%,1.24%,6.66%,21.88%
Rapeseed EUR/T,470.50,3.00,-0.63%,0.64%,-0.95%,-7.75%,1.19%
Barley INR/T,2322.00,31.00,-1.32%,-1.38%,-1.23%,-4.23%,-1.74%
Butter EUR/T,5480.00,27.00,-0.49%,-7.90%,-20.58%,-24.94%,-31.82%
Potatoes EUR/100KG,8.20,0.30,3.80%,1.23%,-3.53%,-71.92%,-73.55%
Corn USd/BU,426.7593,2.7407,-0.64%,2.34%,11.43%,-6.92%,3.39%
Bitumen CNY/T,3449.00,9.00,0.26%,0.03%,0.20%,-6.51%,8.87%
Cobalt USD/T,33335,0,0.00%,0.00%,0.00%,37.18%,37.18%
Lead USD/T,2013.38,4.40,0.22%,1.29%,1.86%,3.14%,-1.18%
Aluminum USD/T,2684.05,30.50,-1.12%,2.13%,3.80%,5.20%,5.82%
Tin USD/T,34881,242,0.70%,2.56%,3.50%,19.94%,9.50%
Zinc USD/T,2939.95,41.85,-1.40%,1.71%,5.70%,-1.29%,1.87%
Nickel USD/T,15445,0,0.00%,1.81%,1.81%,0.95%,-4.85%
Molybdenum CNY/Kg,512.50,2.50,-0.49%,-2.39%,2.52%,9.28%,6.77%
Palladium USD/t.oz,1153.00,35.50,-2.99%,-3.68%,3.78%,29.70%,10.49%
Rhodium USD/t oz.,7050,50,-0.70%,-1.40%,-6.93%,54.10%,50.00%
Phosphorus CNY/T,1025.00,0.00,0.00%,0.01%,0.02%,-4.63%,-8.05%
Polyethylene CNY/T,7195.00,14.00,-0.19%,-0.14%,-1.33%,-15.58%,-9.59%
Polyvinyl CNY/T,4852.00,3.00,0.06%,2.30%,-1.72%,-1.50%,-5.03%
Polypropylene CNY/T,6916.00,6.00,-0.09%,0.71%,-1.71%,-6.26%,-5.96%
Synthetic Rubber CNY/T,12250.00,8.33,-0.07%,-0.27%,0.00%,-17.83%,-22.63%
Soda Ash CNY/T,1188.00,0.00,0.00%,0.17%,-3.73%,-22.25%,-30.36%
Neodymium CNY/T,785000,0,0.00%,0.01%,13.38%,57.95%,50.96%
Sulfur CNY/T,2644.33,0.00,0.00%,-0.38%,1.02%,55.76%,91.02%
Tellurium CNY/Kg,585.00,0.00,0.00%,-0.01%,-3.29%,-9.30%,-20.41%
Urea USD/T,397.50,0.00,0.00%,1.27%,-9.76%,17.78%,26.39%
Di-ammonium USD/T,760.00,0.00,0.00%,-0.33%,-5.00%,31.60%,37.18%
Magnesium CNY/T,17650,50,-0.28%,-1.40%,-3.55%,3.82%,-6.61%
Gallium CNY/Kg,1665.00,30.00,1.83%,3.74%,3.74%,-19.76%,-35.34%
Germanium CNY/Kg,14400,0,0.00%,-0.02%,-0.70%,-17.95%,-20.22%
Manganese CNY/mtu,29.85,0.20,0.67%,0.71%,0.34%,3.83%,-2.93%
Indium CNY/Kg,2525,0,0.00%,0.00%,-3.81%,-0.79%,-14.55%
Kraft Pulp CNY/T,5014.00,34.00,-0.67%,2.91%,-4.06%,-14.50%,-10.14%
Feeder Cattle USd/Lbs,355.4453,2.8797,-0.80%,0.64%,1.88%,35.01%,46.20%
Live Cattle USd/Lbs,231.4313,2.0187,-0.86%,0.12%,-2.24%,20.80%,29.66%
Lean Hogs USd/Lbs,97.3205,0.0545,-0.06%,0.51%,7.98%,19.71%,18.61%
Beef BRL/15KG,307.05,0.85,-0.28%,-1.49%,0.00%,-3.26%,19.45%
Poultry BRL/Kgs,7.98,0.22,2.84%,7.69%,8.42%,-3.86%,6.12%
Eggs US USD/Dozen,2.01,0.08,-3.96%,-4.94%,-9.24%,-65.43%,-32.38%
Eggs CH CNY/T,3063.00,53.00,-1.70%,1.02%,-1.70%,-13.01%,-22.14%
Salmon NOK/KG,64.45,6.44,-9.08%,-9.08%,-14.91%,-31.31%,-14.06%
CRB Index Index Points,380.91,2.29,0.60%,2.46%,4.14%,6.75%,15.16%
LME Index Index Points,4357.20,5.20,-0.12%,2.83%,4.40%,11.56%,6.72%
GSCI Index Points,553.03,5.48,-0.98%,0.57%,3.20%,0.62%,4.62%
SSE Consume Commodity Index Index Points,8954.42,14.25,-0.16%,-0.20%,6.01%,13.68%,36.43%
Containerized Freight Index Points,1398.11,0.00,0.00%,-3.21%,-4.25%,-43.17%,-44.32%
Nuclear Energy Index USD,44.70,0.34,0.77%,5.42%,14.21%,66.98%,77.80%
Solar Energy Index USD,42.82,0.79,1.88%,-0.21%,1.98%,27.10%,2.88%
EU Carbon Permits EUR,77.51,0.76,0.99%,0.79%,7.92%,6.18%,20.47%
Wind Energy Index USD,18.74,0.11,0.59%,-0.69%,-1.52%,26.62%,6.24%
United Kingdom GBP/MWh,74.71,0.78,1.06%,-2.26%,1.85%,-27.08%,5.97%
Germany EUR/MWh,82.89,0.00,0.00%,0.51%,10.74%,-28.38%,3.86%
France EUR/MWh,59.60,1.50,2.58%,-0.67%,-1.32%,-14.67%,-14.86%
Italy EUR/MWh,109.61,1.12,-1.01%,-9.38%,-1.15%,-20.44%,-2.56%
Spain EUR/MWh,86.01,13.46,18.55%,66.82%,-11.04%,-36.69%,-5.40%
