Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d
IIIV,IIIV251017P00030000,Put,2025-10-17,30.0,0.9478574205404753,0.0,2.2,0,8,31.44,31.51,31.450000762939453,0.6333044482421876,2025-10-17,0.13141683778234087,31.65032983852548,-0.05355118831213083,,0.6667864385799975,0.4071606296612992,,-0.3311972312704168,1.0456950310913882,0.4071606296612992,0.021786254238513103,0.34932154002948373,0.0,0.38936842727113957
IIIV,IIIV260116P00030000,Put,2026-01-16,30.0,0.9379275951718195,2.4,4.4,0,1,31.44,31.51,31.450000762939453,0.5388229711914063,2026-01-16,0.3805612594113621,31.98541140534871,-0.06408252360364391,0.4391282893531314,0.7147605048596163,0.5769889108043665,0.27563221550648487,-0.36016888108401446,1.481858492862792,0.5769889108043665,0.12669500956489552,,0.0,0.38936842727113957
IIIV,IIIV250919C00035000,Call,2025-09-19,35.0,1.1094228247364673,0.0,0.6,12,10,31.44,31.51,31.450000762939453,0.5727581787109376,2025-09-19,0.05475701574264202,31.547935755075088,0.10383990237405481,,0.5911470927883351,0.45086345374663567,,0.1758014406765671,1.1579353182446752,0.45086345374663567,0.011130888647465828,0.00969206363343252,,0.38936842727113957
IIIV,IIIV250919P00030000,Put,2025-09-19,30.0,0.9509338497741149,0.0,0.95,15,17,31.44,31.51,31.450000762939453,0.5219774365234374,2025-09-19,0.05475701574264202,31.547935755075088,-0.05031077745320339,,0.5606265794617369,0.3753840181208997,,-0.2687259791647605,0.9640843782628998,0.3753840181208997,0.0077159841785402845,,0.0,0.38936842727113957
IIIV,IIIV260417C00035000,Call,2026-04-17,35.0,1.082785427964161,1.4,3.7,0,5,31.44,31.51,31.450000762939453,0.5040332800292968,2026-04-17,0.6297056810403833,32.3240404756892,0.07953682093210117,0.24034028373381108,0.4745579715373315,0.35874238471661246,0.2342176878035204,0.4454934359851397,0.9213443093751399,0.35874238471661246,0.08104066441121768,0.005776546043571485,,0.38936842727113957
IIIV,IIIV260116C00035000,Call,2026-01-16,35.0,1.0942488610337893,0.9,3.0,2,43,31.44,31.51,31.450000762939453,0.5564009204101563,2026-01-16,0.3805612594113621,31.98541140534871,0.0900681562236143,0.25328393104955504,0.5356570752687205,0.39800596947327754,0.2823731442191655,0.403588455803108,1.0221834683995146,0.39800596947327754,0.0602842340625723,0.0,,0.38936842727113957
IIIV,IIIV251017C00030000,Call,2025-10-17,30.0,0.9478574205404753,2.25,2.75,2,147,31.44,31.51,31.450000762939453,0.42774009765625,2025-10-17,0.13141683778234087,31.65032983852548,-0.05355118831213083,0.2851863702218793,0.40928945675719686,0.34824767132887063,0.12410308653531754,0.6869797865597832,0.8943911394396798,0.34824767132887063,0.01593776631930758,0.34932154002948373,0.0,0.38936842727113957
