Ticker,OI,Vol
DUK,90181.0,4949.0
MGPI,1267.0,202.0
AFRM,482629.0,68277.0
RWT,32868.0,665.0
TTEK,18609.0,3023.0
AEIS,3836.0,1230.0
CRNC,51703.0,3716.0
LAZR,280195.0,11032.0
GWRE,6094.0,1266.0
CNP,32433.0,2292.0
INSG,5544.0,1153.0
OPEN,3649561.0,1237176.0
RUN,857603.0,59590.0
NRG,66133.0,7331.0
INSM,87630.0,11627.0
SEDG,266088.0,10684.0
BBIO,69581.0,3982.0
JD,2333317.0,345897.0
BMY,631741.0,35439.0
SSRM,67080.0,2855.0
IQ,605019.0,12511.0
SIRI,413019.0,10606.0
GVA,2386.0,547.0
FOUR,43956.0,4663.0
EQX,316949.0,3918.0
LIVN,1266.0,221.0
PSN,11099.0,1614.0
MGNI,96153.0,5064.0
TTWO,83402.0,10605.0
PPL,42258.0,1365.0
EZPW,13770.0,1261.0
XIFR,194179.0,6031.0
HOPE,238.0,8.0
CAKE,21264.0,1276.0
PRO,6303.0,770.0
TEVA,736455.0,40151.0
HUBS,14788.0,2534.0
RKLB,1012642.0,154248.0
IONS,38346.0,2378.0
LITE,59824.0,6198.0
EXAS,47383.0,1983.0
REXR,21443.0,3990.0
ABNB,293409.0,20436.0
GKOS,2792.0,392.0
MODG,38326.0,781.0
ENPH,473275.0,45032.0
BTU,289559.0,29522.0
LI,430979.0,39370.0
MIDD,1039.0,165.0
NBR,15250.0,784.0
CVX,481854.0,33414.0
ZD,2924.0,657.0
JPM,708700.0,49905.0
BKNG,29181.0,7918.0
CBRL,56306.0,4540.0
CTO,2040.0,112.0
ENOV,8175.0,359.0
BXMT,76187.0,1397.0
VRNT,20678.0,2131.0
ZTO,41626.0,1124.0
GEO,367089.0,7352.0
PLUG,1507353.0,120932.0
RH,82584.0,11956.0
PMT,70153.0,1336.0
SPR,40459.0,3653.0
STWD,138826.0,12171.0
HCAT,7173.0,151.0
CYRX,26602.0,482.0
NMFC,1732.0,205.0
KOS,185929.0,5270.0
MARA,2639460.0,459945.0
KHC,405928.0,32879.0
SMTC,30479.0,3032.0
CHTR,78432.0,8814.0
GH,53670.0,10824.0
XMTR,7607.0,1194.0
VECO,2227.0,1048.0
PEGA,7892.0,1135.0
TGT,782592.0,83141.0
CNK,120897.0,10688.0
INVA,2193.0,204.0
SATS,412001.0,33787.0
NVAX,338487.0,13687.0
UPST,474252.0,152143.0
TRIP,169451.0,17535.0
NEO,24837.0,3883.0
V,351802.0,23208.0
KPTI,21974.0,704.0
VSH,4073.0,447.0
SNAP,2161984.0,189962.0
GPN,84768.0,4134.0
WEC,17101.0,992.0
COLL,300.0,70.0
INN,522.0,219.0
DDOG,309307.0,14439.0
GCI,15669.0,724.0
ON,266592.0,12194.0
WOLF,1957265.0,502404.0
LAC,262898.0,108071.0
GBX,2995.0,675.0
PEB,1359.0,1653.0
CMPO,24334.0,2232.0
BAND,3772.0,364.0
ALRM,924.0,75.0
GES,45143.0,1179.0
MKSI,3909.0,3386.0
FUBO,664425.0,42189.0
LNT,2702.0,334.0
UPWK,53885.0,3130.0
BB,407279.0,116958.0
HRTG,8302.0,655.0
TSLA,7863896.0,2591886.0
PSEC,122598.0,10465.0
GRPN,132767.0,9303.0
BL,8145.0,3620.0
BURL,35222.0,2286.0
POST,2318.0,226.0
LYFT,1119495.0,56785.0
HASI,18388.0,356.0
RTX,171846.0,9765.0
WDC,405008.0,40095.0
NVCR,31810.0,2127.0
ARRY,91751.0,7223.0
INDI,116288.0,3145.0
AKAM,80576.0,2299.0
MCS,548.0,361.0
XRX,231994.0,8930.0
RCL,104442.0,18221.0
HOUS,53066.0,1351.0
FE,68487.0,20674.0
BABA,1696587.0,288141.0
F,3307405.0,113002.0
AORT,503.0,126.0
BKD,36235.0,5841.0
CNMD,911.0,132.0
IMAX,6215.0,747.0
JOYY,6293.0,339.0
PENN,127230.0,7023.0
FRPT,37882.0,2309.0
IIIV,706.0,24.0
PRGS,30949.0,1233.0
HLX,2559.0,372.0
VAC,2736.0,886.0
CFLT,323605.0,15054.0
WK,2570.0,277.0
QD,23593.0,280.0
SENS,94575.0,1162.0
U,970855.0,240238.0
NCLH,368085.0,15320.0
SPCE,302955.0,23454.0
RGEN,10321.0,1463.0
MMM,132215.0,7550.0
MTSI,2974.0,819.0
DDD,86521.0,8627.0
MOMO,41295.0,821.0
AVDL,60482.0,971.0
NVMI,17427.0,4431.0
MIRM,2433.0,419.0
RPD,39997.0,6672.0
OPK,52616.0,1877.0
PCT,338150.0,14245.0
ARAY,8661.0,471.0
SMCI,2315663.0,226376.0
TCOM,59259.0,2008.0
PANW,613186.0,49409.0
SOFI,3680057.0,305468.0
NICE,103535.0,4376.0
MRK,660554.0,60809.0
SPB,6576.0,765.0
PD,37890.0,2147.0
HCI,5831.0,419.0
IART,572.0,73.0
CSGS,68.0,30.0
DXCM,165852.0,19288.0
VRM,3560.0,998.0
WELL,23486.0,3430.0
CSIQ,83046.0,7594.0
SHAK,40662.0,4256.0
UNIT,30035.0,1088.0
CYTK,86596.0,2822.0
XERS,13535.0,393.0
EQT,276157.0,26325.0
VERX,14612.0,506.0
AMZN,4212524.0,940687.0
FIVN,78328.0,10690.0
