Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDNGN,1490.080,4.060,-0.27%,-0.50%,-3.05%,-3.50%,-7.68%,Sep/23
USDZAR,17.2552,0.0695,-0.40%,-0.45%,-1.91%,-8.43%,0.00%,21:31
USDZMW,23.5800,0.2450,-1.03%,1.09%,0.51%,-15.80%,-11.12%,Sep/23
USDEGP,48.1500,0.0100,-0.02%,0.15%,-0.56%,-5.20%,-1.05%,Sep/23
USDDZD,129.185,0.329,-0.25%,-0.02%,-0.38%,-4.54%,-2.31%,Sep/23
USDAOA,921.163,2.513,0.27%,0.27%,0.27%,-0.16%,-1.98%,Sep/23
USDMAD,9.03780,0.02110,0.23%,0.87%,0.10%,-10.67%,-6.57%,Sep/23
USDSDG,601.500,1.279,0.21%,0.23%,0.18%,0.45%,0.46%,Sep/23
USDKES,129.150,0.050,-0.04%,0.00%,-0.04%,0.23%,0.20%,Sep/23
USDETB,145.7950,0.6048,-0.41%,0.61%,3.94%,14.26%,21.42%,Sep/23
USDTZS,2465.00,2.50,-0.10%,-0.40%,-0.11%,1.65%,-9.74%,Sep/23
USDTND,2.89880,0.00270,-0.09%,0.68%,-0.18%,-9.09%,-5.19%,Sep/23
USDLYD,5.41500,0.00960,0.18%,0.16%,-0.21%,10.43%,14.00%,Sep/23
USDGHS,12.25000,0.05000,-0.41%,0.00%,11.36%,-16.67%,-22.22%,Sep/23
USDCDF,2855.00,0.00,0.00%,-0.87%,-1.64%,-0.05%,0.53%,Sep/22
USDUGX,3503.18,3.03,0.09%,-0.03%,-1.61%,-4.61%,-5.34%,Sep/23
USDMZN,63.9100,0.0000,0.00%,0.00%,0.47%,0.01%,0.06%,Sep/23
USDBWP,14.1851,0.0004,0.00%,0.41%,-1.56%,1.57%,8.52%,Sep/23
USDXAF,556.252,10.208,-1.80%,-1.45%,-0.58%,-13.12%,-5.66%,Sep/23
USDNAD,17.2624,0.0833,-0.48%,-0.46%,-1.96%,-8.33%,-0.45%,Sep/23
USDSSP,4559.256,0.703,0.02%,0.16%,0.59%,17.41%,44.99%,Sep/22
USDMUR,45.5500,0.0000,0.00%,0.64%,-1.21%,-2.67%,-0.70%,Sep/23
USDMGA,4465.00,59.53,1.35%,1.90%,1.95%,-4.85%,-1.76%,Sep/23
USDRWF,1447.50,3.33,-0.23%,-0.03%,1.11%,5.71%,7.21%,Sep/23
USDGNF,8676.50,1.00,0.01%,0.04%,0.08%,0.87%,0.62%,Sep/23
USDMRO,39.9000,0.1200,-0.30%,-0.10%,-0.52%,0.33%,0.40%,Sep/23
USDSLL,23126.4,204.6,-0.88%,0.00%,-0.72%,1.09%,2.68%,Sep/23
USDXOF,556.500,1.500,-0.27%,0.18%,-0.53%,-11.21%,-5.60%,Sep/23
USDMWK,1733.670,0.000,0.00%,0.00%,0.00%,0.00%,-0.08%,Sep/23
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/23
USDSZL,17.3300,0.0012,0.01%,-0.07%,-0.64%,-7.91%,-0.06%,Sep/23
USDBIF,2985.00,0.02,0.00%,0.02%,0.07%,0.94%,3.11%,Sep/23
USDLSL,17.2624,0.0833,-0.48%,-0.46%,-0.95%,-8.33%,-0.45%,Sep/23
USDLRD,178.500,0.000,0.00%,0.28%,-10.97%,-3.25%,-10.75%,Sep/22
USDCVE,93.7291,0.1372,-0.15%,0.28%,-1.55%,-12.14%,-5.45%,Sep/23
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,0.20%,Sep/23
USDSCR,14.2519,0.7995,-5.31%,-3.41%,-5.33%,0.01%,20.46%,Sep/23
USDSOS,571.500,0.000,0.00%,0.00%,0.00%,0.62%,0.62%,Sep/23
USDGMD,73.3750,0.0000,0.00%,0.00%,0.69%,1.70%,4.37%,Sep/23
USDKMF,418.000,0.570,-0.14%,0.48%,-1.10%,-11.81%,-5.42%,Sep/23
USDSTD,20.9534,0.0205,-0.10%,0.47%,-0.87%,-12.35%,-6.04%,Sep/23
USDZIG,26.575,0.004,0.01%,-0.53%,-0.70%,3.01%,90.02%,Sep/23
