Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitumen CNY/T,3399.00,12.00,0.35%,-1.19%,-3.93%,-7.86%,4.36%,Sep/23
Cobalt USD/T,34550,0,0.00%,3.64%,3.64%,42.18%,42.18%,Sep/22
Lead USD/T,2008.28,6.30,0.31%,-0.03%,0.95%,2.88%,-3.68%,Sep/23
Aluminum USD/T,2642.15,8.20,-0.31%,-2.67%,0.15%,3.55%,3.37%,Sep/23
Tin USD/T,34017,155,-0.45%,-1.80%,-0.53%,16.97%,5.33%,Sep/22
Zinc USD/T,2891.50,10.15,-0.35%,-3.03%,2.97%,-2.92%,-3.92%,Sep/23
Nickel USD/T,15340,140,0.92%,-0.68%,1.72%,0.26%,-8.20%,Sep/23
Molybdenum CNY/Kg,507.50,5.00,-0.98%,-1.46%,-2.39%,8.21%,6.28%,Sep/23
Palladium USD/t.oz,1221.00,24.00,2.01%,2.73%,13.16%,37.35%,14.97%,Sep/23
Rhodium USD/t oz.,7025,0,0.00%,-1.06%,-5.07%,53.55%,47.89%,Sep/23
Phosphorus CNY/T,1025.00,0.00,0.00%,0.00%,-0.01%,-4.63%,-8.05%,Sep/23
Polyethylene CNY/T,7073.00,34.00,-0.48%,-1.89%,-3.79%,-17.01%,-11.33%,Sep/23
Polyvinyl CNY/T,4819.00,48.00,-0.99%,-0.62%,-1.63%,-2.17%,-6.66%,Sep/23
Polypropylene CNY/T,6782.00,39.00,-0.57%,-2.02%,-3.38%,-8.08%,-8.33%,Sep/23
Synthetic Rubber CNY/T,12108.33,8.34,-0.07%,-1.22%,-1.16%,-18.78%,-26.28%,Sep/23
Soda Ash CNY/T,1188.00,0.00,0.00%,0.17%,-2.94%,-22.25%,-28.43%,Sep/23
Neodymium CNY/T,785000,0,0.00%,0.00%,-0.07%,57.95%,47.42%,Sep/23
Sulfur CNY/T,2641.00,0.00,0.00%,-0.13%,0.89%,55.57%,88.96%,Sep/23
Tellurium CNY/Kg,595.00,10.00,1.71%,1.71%,1.69%,-7.75%,-19.05%,Sep/23
Urea USD/T,389.00,5.00,-1.27%,-2.14%,-10.98%,15.26%,23.49%,Sep/22
Di-ammonium USD/T,755.00,0.00,0.00%,-0.66%,-3.82%,30.74%,36.53%,Sep/22
Magnesium CNY/T,17700,0,0.00%,0.00%,-3.28%,4.12%,-5.35%,Sep/23
Gallium CNY/Kg,1665.00,0.00,0.00%,1.83%,3.74%,-19.76%,-35.34%,Sep/23
Germanium CNY/Kg,14250,0,0.00%,-1.04%,-1.03%,-18.80%,-23.18%,Sep/23
Manganese CNY/mtu,29.85,0.00,0.00%,0.67%,0.64%,3.83%,-2.93%,Sep/23
Indium CNY/Kg,2525,0,0.00%,0.00%,-3.81%,-0.79%,-13.68%,Sep/23
Kraft Pulp CNY/T,4982.00,2.00,0.04%,-1.31%,-2.01%,-15.04%,-12.23%,Sep/23
