Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
South Africa,9.0650,0.0500,-0.17%,-0.50%,0.03%,0.22%,Sep/23
Zambia,19.5000,0.0000,-0.01%,-0.02%,-2.66%,-6.88%,Sep/23
Kenya,13.4300,0.1530,-0.15%,-0.12%,-1.06%,-3.62%,Sep/23
Nigeria,16.6400,0.0010,0.01%,0.96%,-5.10%,-2.83%,Sep/22
