Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
Japan,1.6600,0.0003,0.06%,0.04%,0.57%,0.85%,Sep/23
India,6.4720,0.0270,-0.02%,-0.11%,-0.32%,-0.30%,Sep/23
China,1.8780,0.0030,0.00%,0.09%,0.20%,-0.19%,Sep/23
Singapore,1.8080,0.0090,0.04%,-0.05%,-1.05%,-0.78%,Sep/23
South Korea,2.8220,0.0080,0.03%,-0.03%,-0.05%,-0.19%,Sep/23
Taiwan,1.3800,0.0200,0.00%,-0.05%,-0.29%,-0.13%,Sep/23
Thailand,1.3150,0.0450,0.04%,0.01%,-0.96%,-1.19%,Sep/22
Vietnam,3.7070,0.0000,0.02%,0.03%,0.59%,0.95%,Sep/23
Hong Kong,3.1290,0.0010,0.09%,0.06%,-0.68%,0.33%,Sep/23
Indonesia,6.3530,0.0200,0.02%,0.03%,-0.64%,-0.09%,Sep/23
Israel,4.2080,0.0270,0.10%,0.09%,-0.26%,-0.93%,Sep/22
Malaysia,3.4280,0.0100,0.02%,0.03%,-0.39%,-0.34%,Sep/23
Pakistan,11.9930,0.0000,0.00%,0.01%,-0.17%,-0.78%,Sep/23
Philippines,5.9750,0.0050,0.02%,-0.04%,-0.24%,0.24%,Sep/23
