Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
JP225,45494,448,0.99%,1.32%,6.27%,14.03%,19.91%,Sep/22
SHANGHAI,3822,7,-0.18%,-1.04%,-1.59%,14.02%,33.48%,Sep/23
CSI 300,4520,3,-0.06%,-0.08%,1.13%,14.86%,34.84%,Sep/23
SHANGHAI 50,2920,3,-0.09%,-0.96%,-2.35%,8.74%,24.12%,Sep/23
CH50,15056.41,39.89,0.27%,-0.27%,0.17%,11.42%,26.43%,Sep/23
SENSEX,82102,58,-0.07%,-0.34%,0.57%,5.07%,-3.31%,Sep/23
DSE Broad,5347,10,0.19%,-2.94%,-0.77%,2.51%,-7.45%,Sep/23
JCI,8125,85,1.06%,2.10%,2.50%,14.76%,4.46%,Sep/23
TASI,10876,68,0.63%,4.31%,-0.26%,-9.64%,-11.35%,Sep/22
Taiwan Stock Market Index,26247,367,1.42%,2.41%,8.11%,13.95%,17.01%,Sep/23
ADX General,10109,27,-0.27%,0.45%,-0.95%,7.33%,6.85%,Sep/23
SET 50,824,5,-0.61%,-2.40%,-0.16%,-9.04%,-10.85%,Sep/23
FKLCI,1604,0,0.01%,-0.51%,0.07%,-2.36%,-4.00%,Sep/23
STI,4303,5,0.12%,-0.81%,1.08%,13.60%,18.77%,Sep/23
TA-125,3031,50,-1.63%,-3.23%,-2.76%,24.89%,51.13%,Sep/21
HK50,26159,185,-0.70%,-1.06%,1.27%,30.40%,37.68%,Sep/23
PSEi,6119,96,-1.55%,-0.49%,-0.43%,-6.28%,-17.68%,Sep/23
KSE 100,157945,390,0.25%,1.13%,6.13%,37.19%,93.84%,Sep/23
KASE,7119,36,0.51%,-0.32%,5.49%,27.63%,36.98%,Sep/23
QE,11175,47,-0.42%,0.48%,-1.31%,5.71%,6.52%,Sep/23
HNX,273.01,1.22,-0.44%,-2.14%,2.41%,20.04%,16.51%,Sep/23
VN,1635,1,0.05%,-2.72%,1.32%,29.09%,28.06%,Sep/23
MSM 30,5090,9,-0.17%,-0.23%,1.71%,11.22%,7.93%,Sep/23
ASPI,21283,56,0.26%,3.22%,3.44%,33.48%,87.78%,Sep/23
Blom,1980,36,-1.80%,4.76%,1.80%,-21.36%,-5.16%,Sep/23
ASE,3020,20,-0.65%,-1.73%,1.52%,21.33%,26.48%,Sep/23
LSX Composite,1441,5,-0.36%,-0.35%,0.09%,25.26%,46.49%,Sep/23
MSE 20,48865,215,-0.44%,-0.48%,0.53%,-4.74%,1.83%,Sep/23
DFM General,5959,68,-1.13%,-0.68%,-2.88%,15.51%,33.56%,Sep/23
Kuwait All Share,8808.80,14.06,0.16%,-0.09%,1.83%,19.64%,23.08%,Sep/22
JPVIX,24.47,0.42,1.75%,1.41%,0.91%,12.30%,-8.08%,Sep/22
NIFTY 50,25170,33,-0.13%,-0.28%,0.81%,6.45%,-2.97%,Sep/23
TEDPIX,2523000.00,0.00,0.00%,0.00%,-2.55%,-9.51%,20.82%,Sep/03
Estirad,1947.60,4.38,0.23%,0.77%,0.67%,-1.93%,-3.83%,Sep/23
