Company,Price,Chg,%Chg,YoY
Generac GNRC,166.77,19.09,-10.27%,10.79%
Enphase Energy ENPH,37.36,3.14,-7.75%,-67.96%
Vistra Corp VST,204.24,13.68,-6.28%,81.71%
Synopsys SNPS,489.99,24.80,-4.82%,-3.32%
Regeneron Pharmaceuticals REGN,567.89,27.79,-4.67%,-45.70%
Oracle ORCL,314.05,14.10,-4.30%,89.58%
Air Products & Chemicals APD,276.58,10.91,-3.79%,-6.49%
