Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United Kingdom,4.6830,0.0338,0.04%,-0.01%,0.11%,0.74%,Sep/23
Germany,2.7445,0.0036,0.05%,-0.01%,0.38%,0.61%,Sep/23
Russia,14.4800,0.0600,0.34%,0.67%,-0.74%,-1.20%,Sep/23
Italy,3.5713,0.0030,0.06%,-0.05%,0.05%,0.09%,Sep/23
France,3.5629,0.0050,0.07%,0.06%,0.37%,0.65%,Sep/23
Switzerland,0.2330,0.0070,-0.06%,-0.12%,-0.02%,-0.26%,Sep/23
Turkey,29.4200,0.1800,2.18%,2.37%,4.34%,5.04%,Sep/23
Finland,3.1170,0.0030,0.04%,-0.04%,0.36%,0.51%,Sep/23
Lithuania,3.6470,0.0010,0.06%,0.04%,0.42%,0.21%,Sep/23
Netherlands,2.9113,0.0062,0.05%,-0.02%,0.32%,0.47%,Sep/23
Norway,4.0540,0.0270,0.04%,0.05%,0.20%,0.59%,Sep/23
Poland,5.4970,0.0140,0.06%,0.06%,-0.37%,0.09%,Sep/23
Portugal,3.1570,0.0050,0.06%,-0.03%,0.32%,0.45%,Sep/23
Romania,7.4000,0.0000,0.00%,0.02%,0.03%,0.66%,Sep/23
Slovakia,3.5150,0.0020,0.03%,-0.07%,0.31%,0.29%,Sep/23
Slovenia,3.0820,0.0160,0.05%,-0.08%,0.06%,0.16%,Sep/23
Spain,3.2930,0.0040,0.04%,-0.07%,0.23%,0.36%,Sep/23
Sweden,2.6550,0.0050,0.12%,0.19%,0.33%,0.71%,Sep/23
Greece,3.4280,0.0070,0.05%,-0.03%,0.23%,0.26%,Sep/23
Hungary,6.8500,0.0300,-0.17%,-0.27%,0.31%,0.53%,Sep/23
Iceland,6.7740,0.0420,-0.08%,-0.20%,-0.12%,-0.19%,Sep/23
Ireland,2.9944,0.0010,0.05%,-0.02%,0.36%,0.49%,Sep/23
Austria,3.0437,0.0174,0.04%,-0.04%,0.27%,0.40%,Sep/23
Belgium,3.2896,0.0047,0.06%,-0.04%,0.31%,0.52%,Sep/23
Croatia,3.0670,0.0000,0.00%,-0.08%,0.11%,-0.16%,Sep/22
Czech Republic,4.4440,0.0370,0.10%,0.18%,0.30%,0.70%,Sep/23
Denmark,2.5760,0.0016,0.04%,-0.03%,0.49%,0.53%,Sep/23
Euro area,3.21,0.01,0.05%,-0.03%,0.25%,0.32%,Sep/22
