Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDJPY,147.603,0.128,-0.09%,0.80%,-0.15%,-6.21%,3.25%,21:31
USDCNY,7.11222,0.00276,-0.04%,0.14%,-0.64%,-3.07%,1.61%,21:31
USDINR,88.8050,0.5017,0.57%,1.05%,1.36%,3.77%,6.22%,Sep/23
USDKRW,1393.16,2.01,0.14%,1.04%,0.19%,-5.76%,5.13%,Sep/23
USDIDR,16655.0,66.0,0.40%,1.49%,2.34%,2.39%,10.01%,Sep/23
USDSAR,3.75080,0.00030,0.01%,0.00%,-0.04%,-0.15%,-0.02%,Sep/23
USDTWD,30.3520,0.1280,0.42%,0.94%,-0.37%,-7.47%,-4.31%,Sep/23
USDIRR,42050.0,0.0,0.00%,0.00%,0.11%,0.12%,0.12%,Sep/22
USDAED,3.67300,0.00000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/23
USDTHB,31.8560,0.0960,0.30%,0.62%,-1.89%,-7.21%,-2.27%,Sep/23
USDMYR,4.19850,0.00400,-0.10%,-0.15%,-0.21%,-6.11%,1.11%,Sep/23
USDSGD,1.28267,0.00079,0.06%,0.54%,-0.28%,-6.10%,0.00%,21:31
USDILS,3.34439,0.00040,0.01%,0.71%,-1.00%,-8.06%,-10.84%,Sep/23
USDHKD,7.77577,0.00636,0.08%,-0.06%,-0.48%,0.12%,-0.09%,21:31
USDPHP,57.2650,0.3340,0.59%,0.74%,1.00%,-1.41%,2.38%,Sep/23
USDPKR,281.500,0.000,0.00%,0.02%,-0.46%,1.12%,1.31%,Sep/23
USDIQD,1310.00,0.05,0.00%,0.00%,-0.01%,0.08%,-0.03%,Sep/23
USDKZT,544.300,1.040,0.19%,0.71%,1.70%,3.76%,13.73%,Sep/23
USDQAR,3.64000,0.00470,-0.13%,-0.15%,-0.13%,-0.12%,-0.11%,Sep/23
USDVND,26420.0,2.5,0.01%,0.14%,0.27%,3.69%,7.44%,Sep/23
USDBDT,121.7000,0.0500,-0.04%,-0.04%,-0.04%,2.27%,1.81%,Sep/23
USDOMR,0.38500,0.00020,0.06%,0.06%,0.06%,0.00%,0.01%,Sep/23
USDAZN,1.70000,0.00000,0.00%,0.00%,0.00%,0.30%,0.00%,Sep/23
USDLKR,302.450,0.050,0.02%,0.13%,0.20%,3.16%,-0.21%,Sep/23
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%,Sep/22
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/23
USDUZS,12200.0,57.1,-0.47%,-0.69%,-0.63%,-5.43%,-4.43%,Sep/23
USDMOP,8.01350,0.00600,0.07%,-0.08%,-0.45%,0.12%,-0.11%,Sep/23
USDTMT,3.51000,0.01050,0.30%,0.30%,0.30%,0.44%,0.00%,Sep/23
USDLBP,89542.53,7.47,-0.01%,-0.01%,0.61%,0.05%,-0.01%,Sep/23
USDYER,239.450,0.070,0.03%,-0.04%,-0.25%,-3.86%,-4.22%,Sep/23
USDBHD,0.37710,0.00010,0.01%,0.02%,0.02%,0.00%,0.05%,Sep/23
USDAFN,68.5000,0.8300,1.23%,1.93%,0.07%,-2.63%,-0.78%,Sep/23
USDNPR,141.937,0.637,0.45%,0.74%,2.56%,3.62%,6.00%,Sep/23
USDBND,1.28340,0.00160,0.12%,0.59%,0.08%,-5.99%,-0.44%,Sep/23
USDKHR,4007.00,0.00,0.00%,0.05%,1.03%,-0.25%,-1.14%,Sep/23
USDGEL,2.70800,0.01600,-0.59%,-0.02%,0.48%,-3.80%,-0.62%,Sep/23
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/22
USDMNT,3613.00,16.00,0.44%,0.44%,0.44%,5.64%,6.86%,Sep/23
USDLAK,21665.0,0.0,0.00%,0.07%,1.08%,-0.18%,-1.90%,Sep/23
USDAMD,382.850,0.600,-0.16%,0.22%,1.33%,-3.21%,-1.16%,Sep/23
USDTJS,9.3429,0.0821,-0.87%,-0.71%,-1.08%,-13.89%,-12.14%,Sep/23
USDKGS,87.4500,0.0000,0.00%,0.00%,0.09%,0.52%,3.83%,Sep/23
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%,Sep/23
USDKWD,0.30520,0.00000,0.01%,0.09%,-0.14%,-1.01%,0.03%,Sep/23
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.06%,Sep/23
