Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitcoin,112080,647,-0.57%,-4.07%,-1.20%,20.11%,74.27%,21:32
BTCETH,26.9361,0.1083,0.40%,3.84%,13.46%,-3.85%,11.14%,Sep/23
BTCEUR,94755.1,772.2,-0.81%,-3.72%,-0.13%,5.19%,64.88%,Sep/23
BTCGBP,82781.2,635.6,-0.76%,-3.27%,1.07%,11.06%,72.82%,Sep/23
BTCAUD,169682.8,"1,095.0",-0.64%,-2.86%,-0.19%,12.55%,82.20%,Sep/23
BTCCAD,154884.1,964.3,-0.62%,-3.51%,1.42%,15.45%,79.44%,Sep/23
BTCCNY,796261,"5,789",-0.72%,-4.05%,0.95%,16.30%,76.87%,Sep/23
BTCJPY,16522879,"130,394",-0.78%,-3.41%,1.44%,12.53%,79.73%,Sep/23
BTCNZD,191454.6,636.9,-0.33%,-1.87%,1.61%,14.76%,89.09%,Sep/23
BTCCHF,88564.2,762.9,-0.85%,-3.55%,-0.31%,4.60%,63.64%,Sep/23
BTCMXN,2054654,"14,686",-0.71%,-3.84%,-0.21%,5.61%,65.38%,Sep/23
BTCINR,9942164,"12,008",-0.12%,-3.17%,2.98%,24.51%,84.91%,Sep/23
BTCBRL,591447,"10,019",-1.67%,-4.43%,-0.83%,2.49%,68.63%,Sep/23
BTCRUB,9408414,"18,381",-0.20%,-3.21%,5.80%,-11.16%,57.65%,Sep/23
BTCKRW,156117889,"702,277",-0.45%,-3.09%,1.88%,13.18%,83.19%,Sep/23
BTCIDR,1864610525,"5,417,678",-0.29%,-2.75%,3.98%,22.84%,91.50%,Sep/23
BTCTRY,4627380,"33,983",-0.73%,-3.91%,2.49%,40.35%,110.90%,Sep/23
BTCSAR,419921,"2,867",-0.68%,-4.18%,1.56%,19.80%,74.04%,Sep/23
BTCSEK,1043835,"10,931",-1.04%,-3.14%,-1.21%,1.11%,61.03%,Sep/23
BTCNGN,166847096,"1,582,824",-0.94%,-4.65%,-1.49%,15.80%,60.74%,Sep/23
BTCPLN,403503,"3,007",-0.74%,-3.51%,-0.14%,4.69%,65.07%,Sep/23
BTCARS,153070664,"5,902,621",-3.71%,-10.85%,2.22%,59.12%,146.59%,Sep/23
BTCNOK,1106283,"10,978",-0.98%,-2.94%,-0.88%,4.14%,65.55%,Sep/23
BTCTWD,3396939,"10,122",-0.30%,-3.31%,1.19%,10.98%,66.52%,Sep/23
BTCIRR,4740170350,"108,909,500",-2.25%,-2.36%,-2.20%,20.95%,78.11%,Sep/22
