Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6665.74,27.76,-0.41%,0.89%,3.52%,13.33%,16.27%,Sep/23
US30,46347,33,-0.07%,1.29%,2.35%,8.94%,9.81%,Sep/23
US100,24630,131,-0.53%,1.47%,5.14%,17.22%,23.49%,Sep/23
JP225,45494,448,0.99%,1.32%,6.27%,14.03%,19.91%,Sep/22
GB100,9223,3,-0.04%,0.30%,-0.46%,12.85%,11.36%,Sep/23
DE40,23611,84,0.36%,1.21%,-2.73%,18.60%,24.29%,Sep/23
FR40,7872,42,0.54%,0.69%,0.37%,6.66%,3.52%,Sep/23
IT40,41942,476,-1.12%,-1.32%,-2.97%,22.69%,23.79%,Sep/23
ES35,15158,76,0.50%,-0.03%,-0.70%,30.73%,28.06%,Sep/23
ASX200,8784,27,-0.30%,-1.05%,-2.10%,7.66%,7.89%,Sep/23
SHANGHAI,3822,7,-0.18%,-1.04%,-1.59%,14.02%,33.48%,Sep/23
SENSEX,82102,58,-0.07%,-0.34%,0.57%,5.07%,-3.31%,Sep/23
TSX,29816,143,-0.48%,1.71%,5.84%,20.57%,24.48%,Sep/23
MOEX,2759,17,0.64%,-1.58%,-4.46%,-4.32%,-3.95%,Sep/23
IBOVESPA,146509,"1,400",0.96%,1.70%,6.15%,21.80%,10.86%,Sep/23
IPC,62368,364,0.59%,1.25%,6.63%,25.87%,16.24%,Sep/23
NL25,935,4,0.43%,2.54%,2.58%,6.38%,3.03%,Sep/23
CH20,12103,24,-0.19%,0.70%,-0.85%,4.32%,0.45%,Sep/23
SAALL,106693,730,0.69%,1.72%,3.61%,26.87%,24.12%,Sep/23
STI,4303,5,0.12%,-0.81%,1.08%,13.60%,18.77%,Sep/23
HK50,26159,185,-0.70%,-1.06%,1.27%,30.40%,37.68%,Sep/23
NZX 50,13137,5,-0.04%,-0.74%,0.44%,0.20%,6.77%,Sep/23
EU50,5477,35,0.64%,1.95%,0.61%,11.87%,10.85%,Sep/23
