Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDCAD,1.38334,0.00081,0.06%,0.68%,-0.18%,-3.78%,3.07%,21:31
USDMXN,18.3496,0.0014,0.01%,0.33%,-1.80%,-12.00%,-5.02%,21:31
USDBRL,5.27740,0.05820,-1.09%,-0.37%,-2.50%,-14.67%,-3.23%,Sep/23
DXY,97.251,0.09,-0.09%,0.63%,-1.20%,-10.36%,-2.99%,21:31
USDARS,1367.506,42.744,-3.03%,-6.97%,0.60%,32.60%,41.64%,21:31
USDCOP,3862.00,12.00,0.31%,-0.14%,-4.07%,-12.34%,-6.91%,Sep/23
USDCLP,948.700,7.250,-0.76%,0.11%,-1.61%,-4.60%,4.17%,Sep/23
USDPEN,3.50250,0.00050,0.01%,0.69%,0.86%,-6.70%,-7.12%,Sep/23
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/22
USDDOP,61.9000,0.0200,0.03%,-0.76%,0.32%,1.66%,2.53%,Sep/23
USDGTQ,7.66000,0.00000,0.00%,0.00%,-0.10%,-0.58%,-0.94%,Sep/23
USDURY,39.8399,0.0149,0.04%,-0.91%,0.65%,-8.75%,-4.48%,Sep/23
USDCRC,504.200,0.500,-0.10%,0.05%,0.14%,-0.49%,-2.91%,Sep/23
USDPAB,1.00010,0.00010,0.01%,0.01%,-1.13%,0.01%,-0.02%,Sep/23
USDBOB,6.91210,0.02290,-0.33%,-0.11%,1.14%,-0.33%,-0.01%,Sep/23
USDPYG,7114.87,2.37,0.03%,-0.30%,-0.74%,-8.93%,-8.61%,Sep/23
USDSVC,8.75240,0.00240,-0.03%,-0.02%,1.14%,0.03%,0.00%,Sep/23
USDTTD,6.77910,0.00220,0.03%,-0.08%,0.94%,0.19%,-0.40%,Sep/23
USDHNL,26.2450,0.0053,0.02%,0.09%,0.19%,3.67%,5.53%,Sep/23
USDJMD,160.258,0.048,0.03%,-0.13%,1.08%,3.59%,1.52%,Sep/23
USDNIO,36.7000,0.1000,-0.27%,-0.27%,0.84%,0.27%,-0.20%,Sep/23
USDHTG,130.892,0.042,0.03%,-0.09%,1.14%,0.54%,-0.99%,Sep/23
USDBSD,1.00030,0.00030,0.03%,0.03%,1.14%,0.03%,0.00%,Sep/23
USDSRD,39.0411,0.0192,0.05%,-0.75%,2.88%,10.15%,31.75%,Sep/22
USDGYD,208.800,0.500,-0.24%,-0.24%,-0.14%,-0.19%,-0.10%,Sep/23
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/22
USDVES,168.20450,0.00070,0.00%,4.03%,17.74%,224.11%,357.52%,Sep/23
