Company,Price,Chg,%Chg,YoY
Halliburton HAL,24.27,1.66,7.34%,-19.01%
McKesson MCK,741.32,44.32,6.36%,53.93%
Texas Pacific Land TPL,931.30,54.34,6.20%,-0.99%
Paramount Global PARA,19.73,1.12,6.02%,87.46%
Cardinal Health CAH,154.62,7.15,4.85%,40.33%
Cencora COR,301.99,13.20,4.57%,33.83%
Sempra Energy SRE,86.05,3.68,4.47%,3.66%
