Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
GB100,9223,3,-0.04%,0.30%,-0.46%,12.85%,11.36%,Sep/23
DE40,23611,84,0.36%,1.21%,-2.73%,18.60%,24.29%,Sep/23
FR40,7872,42,0.54%,0.69%,0.37%,6.66%,3.52%,Sep/23
IT40,41942,476,-1.12%,-1.32%,-2.97%,22.69%,23.79%,Sep/23
ES35,15158,76,0.50%,-0.03%,-0.70%,30.73%,28.06%,Sep/23
MOEX,2759,17,0.64%,-1.58%,-4.46%,-4.32%,-3.95%,Sep/23
NL25,935,4,0.43%,2.54%,2.58%,6.38%,3.03%,Sep/23
BIST 100,11310,158,-1.38%,1.13%,-1.46%,15.05%,12.76%,Sep/23
CH20,12103,24,-0.19%,0.70%,-0.85%,4.32%,0.45%,Sep/23
Stockholm,2671,24,0.89%,2.18%,0.10%,7.57%,3.13%,Sep/23
WIG,105867,542,0.51%,-0.08%,-2.45%,33.04%,27.05%,Sep/23
BE20,4700,8,-0.17%,-0.16%,-3.32%,10.20%,10.66%,Sep/23
Oslo,1909,20,1.04%,0.32%,-0.16%,16.06%,17.28%,Sep/23
ATX,4641,33,0.71%,1.39%,-2.48%,26.71%,29.28%,Sep/23
Copenhagen,1594,7,-0.42%,1.55%,-0.48%,-24.16%,-38.45%,Sep/23
Helsinki,11064,86,0.78%,0.12%,0.63%,16.77%,9.31%,Sep/23
Helsinki 25,5037,41,0.82%,0.15%,0.67%,16.72%,8.81%,Sep/23
ISEQ,11369,249,2.24%,0.86%,-2.76%,16.52%,14.04%,Sep/23
Athens General,2063,20,1.00%,1.47%,-2.51%,40.37%,41.88%,Sep/23
PSI Geral,5146,71,1.40%,1.25%,-0.64%,24.12%,10.02%,Sep/23
PSI,7812,93,1.20%,0.95%,-1.33%,22.49%,15.48%,Sep/23
PX,2300,3,-0.13%,0.96%,0.15%,30.70%,45.35%,Sep/23
BET,20779,131,0.63%,-0.06%,-0.15%,24.27%,18.05%,Sep/22
BUX,98805,485,-0.49%,-1.07%,-5.75%,24.55%,34.32%,Sep/23
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/23
SAX,270,0,0.00%,0.41%,-0.73%,-8.42%,-7.11%,Sep/23
LuxX,1642,6,-0.37%,0.49%,1.19%,25.96%,17.48%,Sep/23
CROBEX,3797,31,-0.80%,-1.08%,2.65%,19.00%,29.44%,Sep/23
SOFIX,1068,3,0.24%,-0.29%,-0.07%,19.64%,24.92%,Sep/23
SBITOP,2481,8,0.33%,-0.84%,1.63%,48.60%,53.97%,Sep/23
Vilnius,1235,0,0.00%,0.06%,0.84%,15.87%,22.89%,Sep/23
BELEX 15,1227,1,-0.06%,0.32%,2.30%,7.01%,9.35%,Sep/23
EU600,554.96,1.56,0.28%,0.76%,-0.69%,9.33%,6.78%,Sep/23
EU100,1643,8,0.50%,1.42%,1.48%,13.01%,10.45%,Sep/23
EU50,5477,35,0.64%,1.95%,0.61%,11.87%,10.85%,Sep/23
EU350,2244.44,3.08,-0.14%,-0.58%,-0.79%,8.86%,7.11%,Sep/22
SASX-10,1480,2,-0.11%,0.31%,-0.34%,20.15%,32.12%,Sep/23
CSE General,289,2,0.77%,-0.27%,-2.31%,34.12%,51.39%,Sep/23
Tallinn,1950,2,-0.12%,-0.70%,-3.83%,12.54%,15.79%,Sep/23
Riga,908,1,-0.15%,-0.85%,-0.82%,4.49%,2.52%,Sep/23
ICEX,2131,36,1.73%,0.17%,1.65%,-10.79%,4.23%,Sep/23
MBI 10,10457,10,-0.10%,0.15%,0.56%,2.51%,19.47%,Sep/23
MSE,3822,32,0.83%,1.20%,-0.24%,1.46%,0.57%,Sep/22
Monex,18083.97,50.10,-0.28%,-1.30%,2.06%,10.04%,16.34%,Sep/23
DE Mid,30305.62,151.91,0.50%,0.68%,-2.47%,18.43%,16.19%,Sep/23
DE Small,17008.73,63.86,0.38%,2.27%,-0.98%,24.05%,24.02%,Sep/23
Euro Stoxx Banks,231.89,1.04,0.45%,0.32%,-0.85%,58.78%,60.77%,Sep/23
