Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
NSE-All Share,140930,569,-0.40%,-0.44%,-0.36%,36.92%,42.98%,Sep/23
SAALL,106693,730,0.69%,1.72%,3.61%,26.87%,24.12%,Sep/23
SA40,99475,770,0.78%,2.03%,4.35%,31.96%,27.71%,Sep/23
EGX 30,35329,118,0.33%,1.40%,-1.35%,18.79%,14.44%,Sep/23
CFG 25,19770,186,-0.93%,0.63%,-1.14%,33.82%,39.29%,Sep/23
Nairobi 20,2917,15,0.50%,-2.94%,4.45%,45.08%,64.40%,Sep/23
Nairobi All Share,174,1,0.53%,-2.10%,2.29%,41.17%,63.45%,Sep/23
DSEI,2500,7,-0.29%,0.45%,-1.59%,16.85%,17.72%,Sep/23
TUN,12419,44,0.36%,1.68%,4.96%,24.77%,26.56%,Sep/23
GGSECI,7801,18,0.23%,4.48%,6.17%,59.57%,77.02%,Sep/23
SEMDEX,2456,1,0.06%,-0.85%,-0.14%,2.21%,6.79%,Sep/23
USE All Share,1432.98,2.98,-0.21%,-0.63%,1.63%,19.93%,33.95%,Sep/19
NSX Overall,1898,8,0.42%,-0.64%,4.55%,5.39%,0.46%,Sep/23
Gaborone,10611,0,0.00%,-0.01%,0.48%,5.59%,9.94%,Sep/23
ZSI Industrials,207.33,0.82,0.40%,0.01%,0.84%,-4.62%,-18.90%,Sep/22
