Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold USD/t.oz,3764.45,17.21,0.46%,1.97%,11.81%,43.44%,41.62%,Sep/23
Silver USD/t.oz,44.027,0.033,-0.07%,3.40%,14.15%,52.45%,36.94%,Sep/23
Copper USD/Lbs,4.5801,0.0095,-0.21%,-1.24%,2.54%,15.08%,2.52%,Sep/23
Steel CNY/T,3071.00,24.00,-0.78%,-0.20%,-1.89%,-7.22%,-2.01%,Sep/23
Lithium CNY/T,73850,0,0.00%,1.37%,-10.48%,-1.60%,1.86%,Sep/23
Iron Ore CNY CNY/T,803.50,5.00,-0.62%,0.50%,2.55%,3.15%,14.87%,Sep/23
Platinum USD/t.oz,1482.10,57.90,4.07%,5.85%,11.30%,65.78%,50.10%,Sep/23
HRC Steel USD/T,826.05,2.95,-0.36%,1.98%,-0.11%,16.51%,10.29%,Sep/23
Iron Ore USD/T,105.49,0.00,0.00%,0.07%,3.83%,1.81%,14.81%,Sep/23
Silicon CNY/T,8890.00,40.00,-0.45%,0.11%,2.89%,-21.33%,-30.27%,Sep/23
Scrap Steel USD/T,338.50,0.00,0.00%,0.45%,-2.31%,%,-5.84%,Sep/22
Titanium CNY/KG,49.00,0.00,0.00%,0.00%,-0.02%,10.11%,11.36%,Sep/23
