Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Crude Oil USD/Bbl,63.672,1.392,2.23%,-1.31%,-1.74%,-11.22%,-11.02%,Sep/23
Brent USD/Bbl,67.886,1.316,1.98%,-0.85%,-1.33%,-9.05%,-9.69%,Sep/23
Natural gas USD/MMBtu,2.8619,0.0559,1.99%,-7.77%,1.96%,-21.22%,2.54%,Sep/23
Gasoline USD/Gal,2.0043,0.0264,1.33%,-2.02%,-6.81%,-0.40%,-1.32%,Sep/23
Heating Oil USD/Gal,2.3429,0.0506,2.21%,-2.11%,-0.20%,1.11%,7.27%,Sep/23
Coal USD/T,103.90,0.55,0.53%,2.36%,-6.65%,-17.05%,-25.52%,Sep/22
TTF Gas EUR/MWh,32.28,0.44,1.37%,-0.15%,-4.98%,-36.02%,-10.81%,Sep/23
UK Gas GBp/thm,80.5800,1.5300,1.94%,1.61%,-3.45%,-35.74%,-10.47%,Sep/23
Ethanol USD/Gal,1.9000,0.0100,0.53%,-5.24%,3.54%,12.43%,19.12%,Sep/23
Naphtha USD/T,562.72,2.37,0.42%,-0.62%,0.47%,-7.98%,-10.14%,Sep/23
Uranium USD/Lbs,80.3500,2.4500,3.15%,6.78%,7.71%,10.07%,1.26%,Sep/23
Propane USD/Gal,0.71,0.00,0.13%,-0.33%,4.22%,-8.57%,10.86%,Sep/23
Methanol CNY/T,2239.00,14.00,-0.62%,-1.97%,-2.99%,-19.08%,-6.63%,Sep/23
Coking Coal CNY/T,194.50,0.50,-0.26%,-0.77%,1.83%,-3.71%,0.78%,Sep/23
Germany Natural Gas THE EUR/MWh,33.70,0.40,1.19%,-0.83%,-4.15%,-32.43%,-5.72%,Sep/23
Urals Oil USD/Bbl,61.35,0.21,-0.34%,-1.46%,-3.48%,-10.45%,-10.92%,Sep/22
