Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Ether,4180.00,21.86,-0.52%,-7.30%,-12.62%,25.36%,57.34%,21:32
ETHBTC,0.0371176,0.0001571,-0.42%,-3.71%,-11.88%,3.99%,-10.04%,Sep/23
ETHEUR,3530.03,30.72,-0.86%,-6.96%,-6.29%,9.79%,48.86%,Sep/23
ETHGBP,3083.95,25.38,-0.82%,-6.52%,-5.16%,15.92%,56.04%,Sep/23
ETHAUD,6321.41,44.28,-0.70%,-6.13%,-6.35%,17.47%,64.50%,Sep/23
ETHCAD,5770.09,39.11,-0.67%,-6.76%,-4.83%,20.50%,62.01%,Sep/23
ETHCNY,29664.1,232.1,-0.78%,-7.27%,-5.28%,21.38%,59.69%,Sep/23
ETHJPY,615548,"5,198",-0.84%,-6.66%,-4.81%,17.45%,62.27%,Sep/23
ETHNZD,7132.50,27.66,-0.39%,-5.17%,-4.65%,19.77%,70.73%,Sep/23
ETHCHF,3299.39,30.25,-0.91%,-6.79%,-6.46%,9.17%,47.75%,Sep/23
ETHMXN,76544.6,589.4,-0.76%,-7.07%,-6.37%,10.23%,49.32%,Sep/23
ETHINR,370388,651,-0.18%,-6.42%,-3.37%,29.95%,66.95%,Sep/23
ETHBRL,22033.9,385.5,-1.72%,-7.64%,-6.95%,6.97%,52.25%,Sep/23
ETHRUB,348705,"2,676",-0.76%,-6.94%,-1.23%,-7.75%,41.61%,Sep/23
ETHKRW,5816055,"29,369",-0.50%,-6.34%,-4.40%,18.13%,65.40%,Sep/23
ETHIDR,69464674,"240,060",-0.34%,-6.02%,-2.44%,28.21%,72.90%,Sep/23
ETHTRY,172389.6,"1,361.3",-0.78%,-7.14%,-3.83%,46.48%,90.42%,Sep/23
ETHSAR,15643.8,115.5,-0.73%,-7.40%,-4.70%,25.04%,57.13%,Sep/23
ETHSEK,38887.3,428.8,-1.09%,-6.40%,-7.31%,5.53%,45.39%,Sep/23
ETHNGN,6215764,"62,410",-0.99%,-7.85%,-7.57%,20.86%,45.13%,Sep/23
ETHPLN,15032.2,120.3,-0.79%,-6.75%,-6.30%,9.26%,49.04%,Sep/23
ETHARS,5702533,"223,148",-3.77%,-13.84%,-4.09%,66.07%,122.64%,Sep/23
ETHNOK,41213.8,431.8,-1.04%,-6.20%,-7.00%,8.69%,49.48%,Sep/23
ETHTWD,126550.4,446.7,-0.35%,-6.56%,-5.05%,15.83%,50.35%,Sep/23
ETHIRR,176688411,"10,482,026",-5.60%,-7.19%,-11.89%,26.31%,58.77%,Sep/22
