Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6665.74,27.76,-0.41%,0.89%,3.52%,13.33%,16.27%,Sep/23
US30,46347,33,-0.07%,1.29%,2.35%,8.94%,9.81%,Sep/23
US100,24630,131,-0.53%,1.47%,5.14%,17.22%,23.49%,Sep/23
Ecuador General,1325,4,0.33%,0.47%,1.42%,12.39%,16.32%,Sep/19
TSX,29816,143,-0.48%,1.71%,5.84%,20.57%,24.48%,Sep/23
IBOVESPA,146509,"1,400",0.96%,1.70%,6.15%,21.80%,10.86%,Sep/23
IPC,62368,364,0.59%,1.25%,6.63%,25.87%,16.24%,Sep/23
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1815080,"4,041",0.22%,1.50%,-10.23%,-28.36%,2.28%,Sep/23
IBC,965,4,0.42%,-2.32%,23.46%,708.08%,909.50%,Sep/23
COLCAP,1871,0,0.00%,1.78%,1.16%,35.65%,40.19%,Sep/23
IGPA,45973,144,0.31%,0.86%,3.13%,36.48%,41.82%,Sep/23
BVPSI,542,10,1.94%,2.83%,5.63%,16.33%,22.84%,Sep/23
BSX,2757,0,0.00%,0.00%,-7.30%,10.36%,7.21%,Sep/12
JSE,318738,462,-0.14%,0.07%,1.58%,-5.08%,3.33%,Sep/23
US1000,3643.32,20.20,-0.55%,0.73%,3.41%,13.11%,16.37%,Sep/23
