Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y
BKNG,Booking Holdings Inc.,5570.64,5571.83,5604.43,5517.5,0.76,0.05,0.04,1.38,-0.6,0.66,0.14,1.28,,,,
AXON,"Axon Enterprise, Inc.",736.74,731.98,740.0,718.02,0.05,0.4,-1.17,-1.56,-1.33,-1.18,-2.16,-1.1,,,,
SPOT,Spotify Technology S.A.,715.57,719.16,727.0,710.67,0.66,6.83,0.12,4.28,0.9,5.1,0.62,7.18,,,,
TYL,"Tyler Technologies, Inc.",566.34,558.41,565.12,554.47,1.14,2.0,-1.36,1.07,-0.26,0.88,-0.68,1.11,,,,
HUBS,"HubSpot, Inc.",496.18,502.29,505.0,496.57,1.26,5.45,0.75,6.52,0.51,6.31,2.05,7.42,,,,
MSFT,Microsoft Corporation,501.39,498.41,502.25,497.71,0.66,0.18,0.04,-1.33,0.21,-0.74,0.54,0.18,SENIOR_NORE_14,8.18,12.06,20.76
ALNY,"Alnylam Pharmaceuticals, Inc.",460.0,482.13,484.21,455.3,0.59,3.18,5.96,7.86,4.58,6.54,0.54,3.13,,,,
CYBR,CyberArk Software Ltd.,468.5,469.49,471.2,465.66,1.23,5.12,0.15,3.6,0.21,3.56,0.62,5.12,,,,
CMI,Cummins Inc.,396.68,394.78,396.0,390.11,-0.72,0.97,-0.66,-0.11,-1.08,0.03,-1.06,-0.4,SENIOR_NORE,12.35,26.32,48.9
CMI,Cummins Inc.,396.68,394.78,396.0,390.11,-0.72,0.97,-0.66,-0.11,-1.08,0.03,-1.06,-0.4,SENIOR_NORE_14,12.35,26.32,48.9
PODD,Insulet Corporation,350.0,352.82,353.5,347.3,0.13,3.51,0.93,2.29,1.0,1.0,0.5,3.7,,,,
TSLA,"Tesla, Inc.",348.45,346.97,350.76,343.82,-1.75,6.16,0.16,5.35,-2.14,5.23,-0.3,5.6,SENIOR_NORE_14,24.5,45.62,70.22
RCL,Royal Caribbean Cruises Ltd.,349.95,345.31,353.72,345.21,-1.14,-1.56,-1.64,-2.48,-1.77,-1.28,-1.2,-0.88,SENIOR_NORE_14,24.49,50.22,72.76
RCL,Royal Caribbean Cruises Ltd.,349.95,345.31,353.72,345.21,-1.14,-1.56,-1.64,-2.48,-1.77,-1.28,-1.2,-0.88,SENIOR_NORE,60.0,103.58,152.63
V,Visa Inc.,341.69,343.99,346.32,341.49,-0.19,-2.18,0.49,-1.74,0.56,-1.1,0.15,-1.32,,,,
AVGO,Broadcom Inc.,349.55,336.67,350.98,335.83,1.98,20.81,-2.6,12.89,-0.9,17.5,-1.59,16.94,SENIOR_NORE,19.03,49.96,97.77
AVGO,Broadcom Inc.,349.55,336.67,350.98,335.83,1.98,20.81,-2.6,12.89,-0.9,17.5,-1.59,16.94,SENIOR_NORE_14,19.02,49.92,97.76
AVGO,Broadcom Inc.,349.55,336.67,350.98,335.83,1.98,20.81,-2.6,12.89,-0.9,17.5,-1.59,16.94,SENIOR_NORE_14,10.1,20.55,33.77
MDB,"MongoDB, Inc.",322.63,331.09,331.89,322.0,-1.11,4.07,2.41,4.02,1.44,2.57,0.42,4.38,,,,
MSTR,MicroStrategy Incorporated,330.23,328.53,331.96,324.45,0.65,-1.4,-0.42,-3.83,-0.34,-4.77,0.92,-2.15,,,,
COIN,"Coinbase Global, Inc.",303.77,318.78,319.39,303.77,0.63,1.27,5.49,5.01,4.17,2.89,2.23,2.83,,,,
IDCC,"InterDigital, Inc.",299.67,305.7,305.91,296.59,3.56,11.64,1.93,10.17,1.92,10.02,2.88,11.86,,,,
JPM,JPMorgan Chase & Co.,292.6,297.85,298.98,292.31,-0.78,-2.55,1.69,-0.62,0.85,-0.49,0.3,-0.74,SENIOR_NORE,20.22,28.94,38.68
JPM,JPMorgan Chase & Co.,292.6,297.85,298.98,292.31,-0.78,-2.55,1.69,-0.62,0.85,-0.49,0.3,-0.74,SENIOR_NORE_14,20.22,28.94,38.68
ZS,"Zscaler, Inc.",281.35,282.29,284.34,279.0,2.31,0.59,0.25,2.81,0.92,1.2,1.92,3.9,,,,
BURL,"Burlington Stores, Inc.",288.05,281.55,286.83,280.45,-1.17,0.07,-3.0,-2.73,-2.34,-1.16,-2.63,-1.08,,,,
NVMI,Nova Ltd.,270.38,277.22,281.16,268.27,1.93,10.8,1.35,16.89,2.29,14.33,1.13,14.12,,,,
CHTR,"Charter Communications, Inc.",262.65,263.35,264.19,259.02,2.82,0.06,-0.2,-0.4,0.03,-0.87,2.87,-0.98,SENIOR_NORE_14,51.75,117.53,191.14
CHTR,"Charter Communications, Inc.",262.65,263.35,264.19,259.02,2.82,0.06,-0.2,-0.4,0.03,-0.87,2.87,-0.98,SENIOR_NORE_14,37.57,90.49,157.81
CHTR,"Charter Communications, Inc.",262.65,263.35,264.19,259.02,2.82,0.06,-0.2,-0.4,0.03,-0.87,2.87,-0.98,SENIOR_NORE,37.57,90.49,157.81
CHTR,"Charter Communications, Inc.",262.65,263.35,264.19,259.02,2.82,0.06,-0.2,-0.4,0.03,-0.87,2.87,-0.98,SENIOR_NORE,50.04,120.51,198.89
IBM,International Business Machines Corporation,256.12,259.11,260.66,254.88,3.01,6.32,1.18,7.29,1.36,7.91,3.18,6.98,SENIOR_NORE,11.76,23.98,37.92
IBM,International Business Machines Corporation,256.12,259.11,260.66,254.88,3.01,6.32,1.18,7.29,1.36,7.91,3.18,6.98,SENIOR_NORE_14,11.05,22.42,36.28
GWRE,"Guidewire Software, Inc.",262.19,255.96,262.93,252.81,0.35,22.35,-2.26,17.7,-0.45,20.65,-2.57,18.08,,,,
TTWO,"Take-Two Interactive Software, Inc.",249.28,247.86,250.0,247.27,3.1,7.84,-0.37,2.87,-0.18,3.7,2.43,7.82,SENIOR_NORE_14,17.0,45.17,75.22
AMZN,"Amazon.com, Inc.",236.35,238.24,238.85,235.08,0.6,5.74,1.02,5.72,0.53,5.61,0.57,5.97,SENIOR_NORE_14,10.95,18.0,25.18
RH,RH,240.04,232.98,240.38,228.51,-4.86,9.66,-3.32,5.08,-5.01,7.36,-3.83,4.82,,,,
BA,Boeing Company (The),231.01,229.52,232.26,228.5,-0.3,-0.12,-0.62,-3.31,0.03,-2.55,0.18,-1.0,SENIOR_NORE,13.43,18.6,25.72
BA,Boeing Company (The),231.01,229.52,232.26,228.5,-0.3,-0.12,-0.62,-3.31,0.03,-2.55,0.18,-1.0,SENIOR_NORE_14,13.43,18.55,25.61
BA,Boeing Company (The),231.01,229.52,232.26,228.5,-0.3,-0.12,-0.62,-3.31,0.03,-2.55,0.18,-1.0,SENIOR_NORE,37.85,65.43,91.08
BA,Boeing Company (The),231.01,229.52,232.26,228.5,-0.3,-0.12,-0.62,-3.31,0.03,-2.55,0.18,-1.0,SENIOR_NORE_14,23.76,41.24,60.73
NET,"Cloudflare, Inc.",217.92,218.56,219.2,214.85,0.56,7.54,0.29,5.05,-0.81,5.03,-0.64,7.75,,,,
EXPE,"Expedia Group, Inc.",217.11,217.7,218.0,215.87,1.04,3.47,0.23,2.63,0.1,2.48,0.85,3.28,SENIOR_NORE_14,10.3,29.96,55.34
EXPE,"Expedia Group, Inc.",217.11,217.7,218.0,215.87,1.04,3.47,0.23,2.63,0.1,2.48,0.85,3.28,SENIOR_NORE,11.21,31.44,57.43
ABBV,AbbVie Inc.,209.53,210.42,210.71,209.12,-0.69,-0.29,0.3,-0.71,-0.61,-0.69,0.73,0.06,SENIOR_NORE_14,10.56,28.2,47.14
ASND,Ascendis Pharma A/S,206.65,202.9,206.65,202.31,1.43,5.7,-1.13,1.88,-0.73,1.5,0.04,4.17,,,,
GTLS,"Chart Industries, Inc.",199.54,199.34,199.76,199.13,0.1,0.33,-0.18,0.13,-0.03,0.29,0.09,0.3,,,,
PANW,"Palo Alto Networks, Inc.",197.69,197.55,198.13,195.77,1.28,5.57,0.09,3.69,0.12,3.41,0.5,5.06,,,,
PI,"Impinj, Inc.",199.77,195.34,200.0,189.89,4.05,10.09,-2.71,5.17,-0.63,7.56,-0.65,7.12,,,,
SE,Sea Limited,189.98,192.67,192.9,187.7,-1.69,4.6,1.1,7.77,-1.08,6.07,-1.18,6.35,,,,
STX,Seagate Technology Holdings plc,189.02,191.59,192.02,188.0,-0.51,14.97,1.24,12.37,0.26,12.46,0.44,14.73,SENIOR_NORE_14,31.05,76.64,147.13
STX,Seagate Technology Holdings plc,189.02,191.59,192.02,188.0,-0.51,14.97,1.24,12.37,0.26,12.46,0.44,14.73,SENIOR_NORE_14,21.0,67.2,135.5
IRTC,"iRhythm Technologies, Inc.",186.59,186.39,187.57,184.77,2.96,11.54,-0.36,8.95,0.13,9.05,1.96,10.46,,,,
NTRA,"Natera, Inc.",167.63,176.37,176.56,167.6,0.84,0.95,5.36,4.15,4.94,3.99,1.33,1.62,,,,
HCI,"HCI Group, Inc.",174.25,174.76,175.19,172.25,-0.46,4.79,-0.08,3.07,-2.93,3.3,-0.54,4.5,,,,
LYV,"Live Nation Entertainment, Inc.",170.86,170.3,170.86,168.24,4.22,3.99,0.53,2.92,0.71,3.2,2.65,3.09,,,,
WELL,Welltower Inc.,169.02,168.85,169.62,168.16,0.72,0.55,-0.3,0.66,-0.8,0.21,0.72,0.71,,,,
WIX,Wix.com Ltd.,151.75,167.04,167.46,151.49,0.83,9.35,9.12,21.63,5.03,19.82,2.92,10.77,,,,
LRN,"Stride, Inc.",164.86,166.11,166.5,163.35,2.72,2.52,1.03,2.7,1.16,2.05,2.57,2.41,,,,
CABO,"Cable One, Inc.",163.5,162.23,162.48,156.99,0.62,2.22,-0.95,2.44,-1.37,0.42,-1.21,-0.1,,,,
AMD,"Advanced Micro Devices, Inc.",152.04,155.82,156.04,151.95,0.15,-4.03,2.91,-4.0,2.23,-3.91,1.83,-2.98,SENIOR_NORE,15.9,29.6,42.83
AMD,"Advanced Micro Devices, Inc.",152.04,155.82,156.04,151.95,0.15,-4.03,2.91,-4.0,2.23,-3.91,1.83,-2.98,SENIOR_NORE_14,12.76,24.48,35.93
CVX,Chevron Corporation,154.91,154.85,156.99,154.6,0.65,-3.47,0.55,-4.31,1.26,-3.01,1.13,-3.0,SENIOR_NORE_14,11.63,25.24,38.64
CVX,Chevron Corporation,154.91,154.85,156.99,154.6,0.65,-3.47,0.55,-4.31,1.26,-3.01,1.13,-3.0,SENIOR_NORE,10.89,23.04,36.54
AEIS,"Advanced Energy Industries, Inc.",154.24,154.76,155.63,151.95,-0.43,5.72,0.21,6.37,-0.51,5.45,-0.67,5.45,,,,
MMM,3M Company,154.15,153.08,153.93,151.55,-0.3,0.13,-0.6,-0.77,-0.68,-0.36,-0.3,-0.1,SENIOR_NORE_14,13.71,40.99,50.84
NRG,"NRG Energy, Inc.",148.5,152.26,152.42,147.82,-0.15,4.38,3.05,4.93,1.86,4.94,2.1,5.01,SENIOR_NORE,42.08,86.44,140.88
NRG,"NRG Energy, Inc.",148.5,152.26,152.42,147.82,-0.15,4.38,3.05,4.93,1.86,4.94,2.1,5.01,SENIOR_NORE_14,46.89,93.52,134.31
NRG,"NRG Energy, Inc.",148.5,152.26,152.42,147.82,-0.15,4.38,3.05,4.93,1.86,4.94,2.1,5.01,SENIOR_NORE_14,35.14,66.69,98.4
RTX,RTX Corporation,153.64,151.75,153.7,150.61,-2.09,-2.88,-1.6,-3.96,-2.1,-3.11,-1.98,-3.68,SENIOR_NORE,3.94,9.18,15.08
RTX,RTX Corporation,153.64,151.75,153.7,150.61,-2.09,-2.88,-1.6,-3.96,-2.1,-3.11,-1.98,-3.68,SENIOR_NORE_14,3.76,8.97,14.96
LITE,Lumentum Holdings Inc.,149.02,151.73,152.65,148.01,-1.3,16.54,1.56,14.47,0.26,14.88,-0.28,18.41,,,,
MTN,"Vail Resorts, Inc.",151.49,147.39,152.5,147.03,-3.88,-7.08,-2.87,-8.87,-3.44,-6.48,-3.05,-8.4,,,,
INSM,Insmed Incorporated,146.88,147.2,149.08,145.27,1.65,3.8,0.35,1.31,1.48,1.75,0.73,3.76,,,,
BABA,Alibaba Group Holding Limited,145.4,147.1,148.0,144.65,3.95,8.13,4.18,6.17,4.8,6.61,4.24,8.71,,,,
SHOP,Shopify Inc.,144.5,143.44,146.6,142.85,-2.07,5.51,-1.9,3.16,-1.33,5.23,-0.85,7.08,,,,
NICE,NICE Ltd.,143.06,143.35,144.18,142.57,0.25,1.26,0.28,5.02,0.44,2.0,0.91,5.85,,,,
PEP,"PepsiCo, Inc.",141.18,143.1,143.63,141.1,-3.12,-9.45,0.98,-3.85,-1.43,-8.09,0.53,-5.15,SENIOR_NORE_14,7.44,17.64,34.51
DDOG,"Datadog, Inc.",136.48,140.46,140.68,136.48,0.14,1.49,2.95,4.28,2.75,3.75,1.36,3.39,,,,
AWK,"American Water Works Company, Inc.",139.53,140.09,140.6,138.73,-2.19,-2.42,0.05,-0.93,-1.84,-2.18,-0.21,-1.6,,,,
MIDD,Middleby Corporation,141.83,138.68,141.95,137.68,-1.95,5.16,-2.22,0.95,-2.89,3.1,-1.8,2.22,,,,
MTSI,"MACOM Technology Solutions Holdings, Inc.",130.31,129.79,131.43,129.45,-0.31,3.82,-0.35,-0.96,-0.9,0.06,0.1,4.29,,,,
JAZZ,Jazz Pharmaceuticals plc,129.86,128.53,130.18,127.54,0.62,2.07,-1.02,-0.87,-0.08,-0.6,0.37,0.58,,,,
NSIT,"Insight Enterprises, Inc.",127.69,126.74,128.1,125.75,-0.09,-0.9,-1.03,-0.54,-1.87,-0.73,-0.3,-0.46,,,,
PDD,PDD Holdings Inc.,125.14,126.06,128.0,124.52,-0.45,4.82,0.82,3.59,1.56,4.83,0.83,4.84,,,,
ABNB,"Airbnb, Inc.",124.12,123.81,124.78,123.61,-0.1,-3.35,-0.65,-2.96,-1.03,-3.44,0.45,-2.25,,,,
DUK,Duke Energy Corporation,120.25,120.38,121.02,119.93,-0.12,-1.8,0.17,-1.24,0.16,-1.43,0.14,-1.19,SENIOR_NORE,2.13,5.04,9.03
