Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank,Close 1d (%)_Color,Close 1w (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,OI 1d (%)_Color,OI 1w (%)_Color
NKE,74.15,74.26,73.71,74.58,"64,315",0.0,-0.19,37.97,36.63,-12.01,-2.98,-11.73,-34.78,"1,459,604",1.23,3.4,0.8382,2 of 11,2 of 11,#FFFFFF,#F87171,#F87171,#F87171,#F87171,#F87171,#10B981,#10B981
BURL,290.25,291.47,288.02,293.71,"5,498",0.0,0.27,36.99,39.86,14.47,9.43,-23.9,-4.13,"43,259",3.05,2.4,1.0128,6 of 11,6 of 11,#FFFFFF,#10B981,#10B981,#10B981,#F87171,#F87171,#10B981,#10B981
MMM,154.0,154.61,152.0,154.98,"6,714",0.0,-0.18,27.85,26.74,-3.34,-0.1,-5.42,-53.14,"163,579",0.96,2.09,0.9143,4 of 11,4 of 11,#FFFFFF,#F87171,#F87171,#F87171,#F87171,#F87171,#10B981,#10B981
FARO,,,,,N/A,,,,,,,,,N/A,,,,9 of 11,9 of 11,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
DNMR,0.35,0.35,0.35,0.35,287,0.0,0.0,0.0,379.8,0.36,2.5,0.0,0.0,"21,238",0.0,0.0,,7 of 11,7 of 11,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
UPHL,,,,,N/A,,,,,,,,,N/A,,,,9 of 11,9 of 11,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
SO,90.83,91.43,90.59,91.85,"5,569",0.0,-1.37,15.52,18.88,17.85,-17.46,-9.71,-29.08,"94,939",0.24,-1.92,0.8034,5 of 11,5 of 11,#FFFFFF,#F87171,#10B981,#F87171,#F87171,#F87171,#10B981,#F87171
MDRX,,,,,N/A,,,,,,,,,N/A,,,,9 of 11,9 of 11,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
UBER,94.36,91.38,91.38,94.56,"103,425",0.0,1.67,32.07,45.49,6.37,4.54,-27.16,30.98,"1,521,199",2.18,1.0,0.9586,1 of 11,1 of 11,#FFFFFF,#10B981,#10B981,#10B981,#F87171,#10B981,#10B981,#10B981
TPIC,,,,,N/A,,,,,,,,,N/A,,,,9 of 11,9 of 11,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
ETSY,58.2,54.25,54.15,58.33,"27,930",0.0,12.57,48.63,51.46,-41.99,-7.91,-40.42,-51.81,"354,398",3.92,2.26,0.945,3 of 11,3 of 11,#FFFFFF,#10B981,#F87171,#F87171,#F87171,#F87171,#10B981,#10B981
