Company,Price,Chg,%Chg,YoY
Arista Networks ANET,139.39,13.65,-8.92%,54.95%
Moderna MRNA,23.51,1.88,-7.40%,-65.50%
Charles River Laboratories CRL,152.89,6.85,-4.29%,-23.08%
Lennox International LII,544.48,22.80,-4.02%,-7.91%
Molina Healthcare MOH,180.88,7.56,-4.01%,-49.46%
Pfizer PFE,23.87,0.99,-3.98%,-18.39%
Royal Caribbean Cruises RCL,336.42,13.81,-3.94%,100.51%
