Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.0660,0.004,0.02%,-0.28%,-0.51%,0.44%,09:16
United Kingdom,4.6380,0.038,0.03%,-0.10%,0.07%,0.88%,09:16
Japan,1.6020,0.0004,0.03%,0.04%,0.51%,0.76%,Sep/14
Australia,4.2600,0.0260,-0.03%,-0.01%,-0.11%,0.43%,Sep/15
Germany,2.6880,0.0253,0.05%,-0.09%,0.33%,0.57%,09:15
Brazil,13.7970,0.0070,-0.14%,0.01%,-1.35%,1.82%,Sep/12
Russia,13.9700,0.1600,0.30%,0.20%,-1.25%,-1.51%,Sep/12
India,6.4920,0.0090,0.03%,0.03%,-0.30%,-0.30%,Sep/15
Canada,3.1890,0.0190,-0.08%,-0.22%,-0.05%,0.28%,Sep/12
Italy,3.5150,0.0324,0.02%,-0.07%,0.00%,0.04%,09:15
France,3.4860,0.016,0.01%,0.03%,0.29%,0.66%,09:15
South Africa,9.2050,0.1300,-0.33%,-0.44%,0.17%,0.38%,Sep/15
Switzerland,0.2460,0.0050,-0.02%,-0.10%,-0.01%,-0.17%,Sep/15
Mexico,8.5640,0.1700,-0.16%,-0.39%,-1.85%,-0.68%,Sep/12
Netherlands,2.8560,0.0299,0.04%,-0.09%,0.26%,0.45%,09:16
New Zealand,4.3370,0.0448,-0.02%,-0.12%,-0.09%,0.25%,Sep/15
Portugal,3.0970,0.031,0.03%,-0.08%,0.26%,0.39%,09:15
South Korea,2.8190,0.0070,-0.03%,-0.01%,-0.05%,-0.16%,Sep/15
Spain,3.2490,0.036,0.03%,-0.08%,0.19%,0.33%,09:15
Greece,3.3780,0.021,0.04%,-0.07%,0.17%,0.25%,09:16
Turkey,30.4200,0.1000,0.03%,1.09%,3.23%,3.45%,Sep/12
Finland,3.0610,0.037,0.04%,-0.09%,0.30%,0.48%,09:16
Lithuania,3.5940,0.0140,0.02%,0.04%,0.37%,0.25%,Sep/15
Norway,4.0020,0.0060,0.09%,0.08%,0.15%,0.77%,Sep/15
Poland,5.4700,0.0450,0.02%,0.03%,-0.40%,0.18%,Sep/15
Romania,7.4700,0.12,0.00%,0.25%,0.26%,0.70%,09:16
Slovakia,3.4900,0.0150,0.04%,-0.06%,0.29%,0.29%,Sep/15
Slovenia,3.0150,0.0180,0.01%,-0.08%,-0.01%,0.13%,Sep/15
Sweden,2.5260,0.0040,0.08%,0.10%,0.20%,0.64%,Sep/15
Hungary,7.1000,0.0400,-0.10%,0.06%,0.56%,0.81%,Sep/12
Iceland,6.8850,0.0000,-0.03%,-0.08%,-0.01%,-0.08%,Sep/15
Ireland,2.9210,0.042,0.04%,-0.09%,0.29%,0.42%,09:15
Austria,2.9890,0.0328,0.03%,-0.08%,0.22%,0.37%,09:16
Belgium,3.2310,0.0216,0.02%,-0.07%,0.25%,0.52%,09:16
Croatia,3.0680,0.0000,-0.04%,-0.08%,0.11%,-0.18%,Sep/12
Czech Republic,4.3160,0.0460,-0.01%,0.00%,0.18%,0.63%,Sep/15
Denmark,2.5280,0.0165,0.05%,-0.09%,0.44%,0.47%,09:16
Euro area,3.14,0.01,-0.06%,-0.06%,0.19%,0.32%,Sep/11
Chile,5.6000,0.0100,0.00%,0.03%,-0.24%,0.34%,Sep/12
Colombia,11.2690,0.0690,-0.25%,-0.51%,-0.30%,1.69%,Sep/12
China,1.8660,0.0490,0.08%,0.10%,0.19%,-0.17%,Sep/15
Singapore,1.7920,0.0220,-0.04%,-0.10%,-1.07%,-0.63%,Sep/15
Taiwan,1.3700,0.0000,-0.01%,-0.02%,-0.30%,-0.11%,Sep/15
Thailand,1.2650,0.0250,0.02%,-0.18%,-1.01%,-1.30%,Sep/11
Vietnam,3.6900,0.0050,0.03%,0.14%,0.57%,0.89%,Sep/15
Hong Kong,3.0960,0.0640,0.04%,0.05%,-0.71%,0.44%,Sep/15
Indonesia,6.3310,0.0120,-0.09%,-0.06%,-0.67%,-0.23%,Sep/15
Israel,4.0690,0.0490,-0.07%,-0.16%,-0.40%,-0.75%,Sep/11
Malaysia,3.4190,0.0000,0.01%,0.04%,-0.40%,-0.34%,Sep/12
Pakistan,11.9980,0.0030,0.00%,0.01%,-0.16%,-1.21%,Sep/15
Philippines,5.9540,0.0210,-0.01%,-0.06%,-0.27%,-0.10%,Sep/15
Zambia,19.5100,0.0000,0.00%,-0.02%,-2.65%,-6.88%,Sep/12
Kenya,13.2770,0.0000,-0.16%,-0.12%,-1.06%,-3.62%,Sep/12
Nigeria,16.6320,0.0000,0.01%,0.96%,-5.11%,-3.22%,Sep/12
