Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6591.41,7.12,0.11%,1.49%,2.22%,12.08%,17.03%,09:18
US30,45951,117,0.25%,0.94%,2.30%,7.99%,10.38%,09:18
US100,24067,25,-0.11%,1.28%,1.49%,14.54%,23.91%,09:18
JP225,44768,396,0.89%,4.07%,3.45%,12.22%,22.38%,Sep/12
GB100,9275,9,-0.09%,0.55%,1.25%,13.45%,12.01%,09:18
DE40,23781,82,0.35%,-0.17%,-2.25%,19.38%,27.56%,09:18
FR40,7902,77,0.98%,2.12%,0.19%,7.02%,6.03%,09:18
IT40,42759,193,0.45%,2.45%,0.24%,25.03%,27.33%,09:18
ES35,15361,53,0.34%,2.37%,0.69%,32.45%,32.61%,09:18
ASX200,8815,50,-0.57%,-0.43%,-1.65%,8.00%,8.50%,09:18
SHANGHAI,3861,10,-0.26%,0.88%,3.55%,15.18%,42.07%,Sep/15
SENSEX,81820,85,-0.10%,1.27%,0.67%,4.71%,-1.41%,09:18
TSX,29284,124,-0.42%,0.80%,4.61%,18.42%,24.25%,Sep/12
MOEX,2813,27,-0.96%,-3.79%,-4.75%,-2.50%,2.44%,09:18
IBOVESPA,142272,879,-0.61%,-0.26%,4.09%,18.28%,5.48%,Sep/12
IPC,61799,245,0.40%,2.18%,5.68%,24.73%,18.81%,Sep/12
NL25,912,3,0.35%,0.81%,1.68%,3.80%,1.82%,Sep/15
CH20,12187,7,-0.06%,-1.05%,0.92%,5.02%,1.48%,09:18
SAALL,104239,219,-0.21%,1.45%,3.08%,23.98%,27.13%,09:18
STI,4337,7,-0.17%,0.66%,3.57%,14.50%,21.47%,Sep/15
HK50,26445,57,0.22%,3.19%,5.06%,31.86%,51.83%,09:18
NZX 50,13208,20,-0.15%,-0.55%,1.83%,0.74%,3.97%,Sep/15
EU50,5429,38,0.70%,1.17%,-0.16%,10.82%,12.39%,09:18
BIST 100,10815,443,4.28%,3.48%,-1.07%,9.99%,12.90%,09:18
Stockholm,2644,8,0.31%,0.08%,0.63%,6.41%,4.45%,09:18
WIG,107064,651,0.61%,-0.44%,-2.60%,34.53%,31.02%,09:18
BE20,4799,23,0.49%,0.11%,-0.19%,12.54%,13.06%,Sep/15
Oslo,1905,7,0.37%,1.56%,1.43%,15.81%,17.27%,Sep/15
ATX,4648,3,0.06%,1.10%,-1.53%,26.89%,29.01%,Sep/12
Copenhagen,1559,11,0.71%,0.95%,-0.16%,-25.82%,-43.87%,Sep/15
Helsinki,11108,8,0.07%,0.91%,2.98%,17.21%,12.59%,09:18
Helsinki 25,5054,2,-0.04%,0.74%,3.25%,17.07%,12.09%,09:18
ISEQ,11482,51,0.44%,0.69%,-2.15%,17.67%,18.84%,Sep/15
Athens General,2059,4,-0.20%,2.04%,-1.61%,40.08%,44.61%,Sep/15
PSI Geral,5110,12,0.24%,0.41%,-0.87%,23.24%,8.78%,09:17
PSI,7769,21,0.27%,0.20%,-1.41%,21.83%,14.41%,Sep/15
PX,2290,2,-0.11%,0.25%,-1.11%,30.12%,45.28%,Sep/15
BET,20831,179,0.87%,0.29%,-1.63%,24.58%,19.80%,Sep/12
BUX,101200,"1,084",-1.06%,-1.92%,-3.38%,27.57%,38.62%,Sep/12
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/12
SAX,270,1,0.55%,0.00%,-3.54%,-8.40%,-7.08%,Sep/12
LuxX,1621,0,-0.03%,2.20%,3.15%,26.16%,18.99%,09:17
CROBEX,3869,18,0.46%,2.49%,4.02%,21.26%,31.22%,Sep/15
SOFIX,1078,2,-0.20%,-0.75%,2.50%,20.71%,24.44%,Sep/12
SBITOP,2513,1,-0.02%,0.28%,2.53%,50.48%,56.51%,Sep/15
Vilnius,1231,2,-0.13%,-0.07%,1.36%,15.84%,23.56%,09:17
