Commodity,Price,Day,Weekly,Monthly,YTD,YoY,Date
Crude Oil USD/Bbl,62.865,0.305,0.49%,0.94%,0.23%,-12.37%,-10.34%
Brent USD/Bbl,67.099,0.184,0.28%,1.62%,0.73%,-10.12%,-7.78%
Natural gas USD/MMBtu,2.9583,0.0031,0.10%,-4.29%,2.33%,-18.60%,24.63%
Gasoline USD/Gal,1.9900,0.0048,0.24%,1.58%,-5.14%,-1.05%,0.73%
Heating Oil USD/Gal,2.3111,0.0191,0.83%,-0.03%,3.16%,-0.26%,9.97%
Coal USD/T,100.70,0.20,-0.20%,-6.37%,-9.93%,-19.60%,-26.98%
TTF Gas EUR/MWh,32.17,0.46,-1.41%,-2.71%,2.86%,-36.25%,-6.24%
UK Gas GBp/thm,78.5005,1.6446,-2.05%,-3.10%,2.00%,-37.39%,-3.57%
Ethanol USD/Gal,1.9850,0.0400,2.06%,1.28%,13.75%,17.46%,18.86%
Naphtha USD/T,564.52,3.40,0.61%,2.15%,2.51%,-7.68%,-8.68%
Uranium USD/Lbs,75.7000,0.7000,-0.92%,-0.66%,4.13%,3.70%,-4.96%
Propane USD/Gal,0.71,0.00,0.24%,1.52%,4.66%,-9.04%,11.09%
Methanol CNY/T,2297.00,67.00,3.00%,2.18%,0.17%,-16.99%,-4.37%
Coking Coal CNY/T,188.25,0.50,0.27%,-0.13%,-5.16%,-6.81%,0.67%
Germany Natural Gas THE EUR/MWh,34.37,0.31,0.91%,1.43%,0.45%,-31.07%,-4.51%
Urals Oil USD/Bbl,62.90,1.92,3.15%,6.57%,2.08%,-8.19%,-6.97%
Gold USD/t.oz,3644.98,2.61,0.07%,0.24%,9.37%,38.87%,41.06%
Silver USD/t.oz,42.178,0.018,0.04%,2.04%,10.95%,46.07%,37.18%
Copper USD/Lbs,4.5845,0.0029,0.06%,1.89%,2.83%,15.23%,8.94%
Steel CNY/T,3062.00,16.00,0.53%,0.16%,-2.98%,-7.49%,0.82%
Lithium CNY/T,72450,0,0.00%,-3.09%,-12.40%,-3.46%,-0.07%
Iron Ore CNY CNY/T,797.50,1.50,0.19%,0.63%,3.30%,2.37%,18.15%
Platinum USD/t.oz,1401.50,4.9,0.35%,1.18%,5.81%,56.87%,42.22%
HRC Steel USD/T,796.04,11.00,-1.36%,-1.48%,-4.32%,12.28%,14.05%
Iron Ore USD/T,105.43,0.25,0.24%,0.90%,3.33%,1.76%,14.27%
Silicon CNY/T,8780.00,55.00,0.63%,4.15%,2.57%,-22.30%,-29.93%
Scrap Steel USD/T,340.00,2.50,0.74%,-0.87%,-2.86%,%,-5.42%
Titanium CNY/KG,49.00,0.00,0.00%,0.00%,-0.02%,10.11%,11.36%
Soybeans USd/Bu,1041.02,4.18,-0.40%,2.72%,1.99%,4.29%,3.64%
Wheat USd/Bu,520.84,0.93,-0.18%,3.04%,3.60%,-5.56%,-9.96%
Lumber USD/1000 board feet,586.50,15.00,2.62%,9.63%,-3.30%,6.63%,17.40%
Palm Oil MYR/T,4445.00,0.00,0.00%,-0.96%,-2.52%,0.02%,16.57%
Cheese USD/Lbs,1.8030,0.0011,0.06%,-0.39%,1.75%,-5.16%,-22.72%
Milk USD/CWT,17.59,0.01,0.06%,-0.40%,1.15%,-5.99%,-24.25%
Rubber USD Cents / Kg,173.10,0.70,-0.40%,-3.13%,1.05%,-12.31%,-8.17%
Orange Juice USd/Lbs,249.96,1.79,0.72%,4.41%,0.83%,-49.76%,-48.10%
Coffee USd/Lbs,410.64,0.85,0.21%,3.19%,19.46%,28.08%,59.39%
Cotton USd/Lbs,64.956,0.011,-0.02%,0.59%,-1.70%,-5.01%,-8.43%
Rice USD/cwt,11.5054,0.1546,-1.33%,1.41%,-8.58%,-17.97%,-24.80%
Canola CAD/T,636.45,0.62,-0.10%,1.46%,-2.34%,4.56%,12.73%
Oat USd/Bu,318.2443,0.7577,-0.24%,6.97%,-5.57%,-3.71%,-12.39%
Wool AUD/100Kg,1291.00,30.00,2.38%,0.00%,4.20%,11.87%,18.33%
Sugar USd/Lbs,15.95,0.15,0.93%,2.07%,-1.82%,-17.30%,-16.98%
Cocoa USD/T,7522.82,102.82,1.39%,5.77%,-6.27%,-34.43%,-2.93%
Tea INR/Kgs,192.23,4.49,2.39%,2.39%,-3.16%,13.03%,-19.05%
Sunflower Oil INR/10 kg,1342.20,2.70,0.20%,-1.00%,1.64%,5.82%,34.80%
Rapeseed EUR/T,473.46,0.71,0.15%,2.93%,-0.32%,-7.17%,3.55%
Barley INR/T,2353.00,9.50,0.41%,0.66%,0.00%,-2.95%,2.15%
Butter EUR/T,5583.00,5.00,-0.09%,-7.26%,-19.36%,-23.53%,-28.88%
Potatoes EUR/100KG,8.10,0.00,0.00%,8.00%,-8.99%,-72.26%,-73.09%
Corn USd/BU,425.3969,2.6160,-0.61%,5.56%,11.07%,-7.22%,3.57%
Bitumen CNY/T,3393.00,6.00,0.18%,-0.64%,-1.42%,-8.02%,7.10%
Cobalt USD/T,33335,0,0.00%,0.00%,0.00%,37.18%,37.18%
Lead USD/T,2008.98,9.45,-0.47%,0.96%,1.67%,2.95%,-1.42%
Aluminum USD/T,2683.70,16.2,-0.60%,2.63%,3.77%,5.16%,6.12%
Tin USD/T,34975,277,0.80%,1.93%,3.69%,20.26%,9.97%
Zinc USD/T,2950.95,2.15,0.07%,2.68%,6.16%,-0.86%,0.23%
