Company,Price,Chg,%Chg,YoY
Warner Bros Discovery WBD,18.87,2.70,16.70%,122.52%
Realty Income O,322.30,28.05,9.53%,414.12%
Paramount Global PARA,18.79,1.33,7.62%,77.52%
Tesla TSLA,398.69,2.75,0.69%,71.98%
Micron Technology MU,157.23,6.66,4.42%,72.27%
NRG Energy NRG,164.84,6.92,4.38%,103.55%
Palantir Technologies PLTR,171.43,7.07,4.30%,381.68%
