Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
EURUSD,1.17408,0.0008,0.07%,-0.24%,0.62%,13.34%,5.49%
GBPUSD,1.35865,0.00391,0.29%,0.25%,0.58%,8.52%,2.84%
AUDUSD,0.66577,0.00235,0.35%,0.91%,2.51%,7.56%,-1.39%
NZDUSD,0.59598,0.00185,0.31%,0.24%,0.60%,6.54%,-3.82%
USDJPY,147.362,0.258,-0.17%,-0.01%,-0.38%,-6.35%,4.66%
USDCNY,7.12367,0.00202,0.03%,0.02%,-0.88%,-2.91%,0.37%
USDCHF,0.79583,0.00014,-0.02%,0.37%,-1.44%,-12.30%,-5.78%
USDCAD,1.38320,0.00044,-0.03%,0.26%,0.21%,-3.80%,1.80%
USDMXN,18.4250,0.0137,0.07%,-1.20%,-1.86%,-11.61%,-4.10%
USDINR,88.1970,0.0804,-0.09%,0.23%,1.01%,3.06%,5.14%
USDBRL,5.35180,0.00350,-0.07%,-1.24%,-1.57%,-13.46%,-2.77%
USDRUB,83.0471,0.9529,-1.13%,0.59%,3.36%,-26.90%,-9.23%
USDKRW,1387.60,5.44,-0.39%,0.18%,-0.08%,-6.12%,5.32%
DXY,97.523,0.027,-0.03%,0.07%,-0.66%,-10.11%,-3.17%
USDTRY,41.3331,0.0014,0.00%,0.26%,1.14%,16.98%,21.46%
USDSEK,9.31492,0.02433,0.26%,-0.39%,-2.55%,-15.80%,-8.48%
USDPLN,3.61661,0.00419,-0.12%,0.19%,-0.63%,-12.43%,-5.82%
USDNOK,9.84375,0.00431,0.04%,-1.26%,-3.53%,-13.53%,-7.03%
USDZAR,17.3477,0.0411,-0.24%,-0.82%,-1.52%,-7.96%,-1.52%
USDDKK,6.35757,0.00173,-0.03%,0.21%,-0.61%,-11.69%,-5.18%
USDSGD,1.28181,0.00024,0.02%,-0.06%,-0.21%,-6.14%,-1.07%
USDILS,3.33853,0.00703,0.21%,0.66%,-1.11%,-8.22%,-10.63%
USDHKD,7.77675,0.00108,0.01%,-0.20%,-0.56%,0.13%,-0.20%
USDCLP,954.350,0.510,-0.05%,-1.67%,-1.04%,-4.03%,3.39%
USDPKR,283.936,0.021,0.01%,0.20%,0.67%,2.00%,2.06%
USDCZK,20.7141,0.0276,0.13%,0.19%,-1.17%,-14.84%,-8.32%
USDHUF,331.916,0.763,-0.23%,-0.64%,-1.87%,-16.44%,-6.31%
USDRON,4.31230,0.0047,-0.11%,0.00%,-0.54%,-10.25%,-3.50%
USDUAH,41.2291,0.0209,-0.05%,-0.05%,-0.29%,-1.95%,-0.68%
USDBYR,3.38730,0.00110,-0.03%,0.11%,1.69%,3.71%,3.46%
USDRSD,99.798,0.023,-0.02%,0.22%,-0.63%,-11.68%,-5.09%
USDBAM,1.66540,0.00140,-0.08%,0.19%,-0.67%,-11.81%,-5.27%
USDISK,121.965,0.085,-0.07%,0.05%,-0.56%,-12.25%,-10.87%
USDALL,82.550,0.030,0.04%,-0.13%,-0.90%,-12.93%,-8.02%
USDMKD,52.4300,0.0900,-0.17%,-0.07%,-0.52%,-11.03%,-5.17%
USDMDL,16.6350,0.1350,0.82%,0.21%,0.21%,-9.01%,-4.31%
USDBGN,1.66580,0.00060,-0.04%,0.17%,-0.64%,-11.83%,-5.22%
USDARS,1454.238,0.415,-0.03%,2.19%,12.49%,41.05%,51.40%
