Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y
BKNG,Booking Holdings Inc.,5564.0,5474.81,5564.0,5375.2,0.0,0.06,0.0,-1.82,0.0,-0.45,0.0,-1.27,,,,
AXON,"Axon Enterprise, Inc.",736.66,747.55,750.96,734.26,0.0,1.5,0.0,2.38,0.0,2.7,0.0,2.12,,,,
SPOT,Spotify Technology S.A.,720.78,704.09,724.0,700.0,0.0,3.83,0.0,0.03,0.0,2.31,0.0,0.84,,,,
TYL,"Tyler Technologies, Inc.",557.01,545.91,558.39,543.95,0.0,0.71,0.0,-1.5,0.0,0.7,0.0,-0.45,,,,
MSFT,Microsoft Corporation,502.98,500.37,503.23,496.74,0.0,-0.26,0.0,-1.5,0.0,-0.97,0.0,-1.27,SENIOR_NORE_14,8.18,12.06,20.76
HUBS,"HubSpot, Inc.",500.0,489.18,508.38,488.41,0.0,8.11,0.0,5.36,0.0,8.34,0.0,7.81,,,,
ALNY,"Alnylam Pharmaceuticals, Inc.",478.5,469.31,480.05,461.47,0.0,6.47,0.0,3.48,0.0,4.74,0.0,3.21,,,,
CYBR,CyberArk Software Ltd.,470.7,468.85,480.59,465.04,0.0,3.45,0.0,2.35,0.0,3.92,0.0,3.44,,,,
CMI,Cummins Inc.,396.15,405.27,405.85,395.86,0.0,0.95,0.0,1.08,0.0,1.07,0.0,1.33,SENIOR_NORE_14,12.35,26.32,48.9
CMI,Cummins Inc.,396.15,405.27,405.85,395.86,0.0,0.95,0.0,1.08,0.0,1.07,0.0,1.33,SENIOR_NORE,12.35,26.32,48.9
AVGO,Broadcom Inc.,351.52,369.57,372.97,350.55,0.0,15.23,0.0,20.74,0.0,20.79,0.0,15.98,SENIOR_NORE_14,10.1,20.55,33.77
AVGO,Broadcom Inc.,351.52,369.57,372.97,350.55,0.0,15.23,0.0,20.74,0.0,20.79,0.0,15.98,SENIOR_NORE,19.03,49.96,97.77
AVGO,Broadcom Inc.,351.52,369.57,372.97,350.55,0.0,15.23,0.0,20.74,0.0,20.79,0.0,15.98,SENIOR_NORE_14,19.02,49.92,97.76
TSLA,"Tesla, Inc.",350.7,347.79,356.32,346.07,0.0,4.33,0.0,2.74,0.0,5.14,0.0,4.4,SENIOR_NORE_14,24.5,45.62,70.22
RCL,Royal Caribbean Cruises Ltd.,346.81,341.5,347.1,331.22,0.0,-2.16,0.0,-5.15,0.0,-4.29,0.0,-6.32,SENIOR_NORE,60.0,103.58,152.63
RCL,Royal Caribbean Cruises Ltd.,346.81,341.5,347.1,331.22,0.0,-2.16,0.0,-5.15,0.0,-4.29,0.0,-6.32,SENIOR_NORE_14,24.49,50.22,72.76
V,Visa Inc.,342.61,338.12,342.61,336.44,0.0,-2.32,0.0,-3.67,0.0,-2.84,0.0,-3.64,,,,
PODD,Insulet Corporation,350.68,337.61,350.93,330.0,0.0,2.14,0.0,-2.56,0.0,0.53,0.0,-3.48,,,,
MDB,"MongoDB, Inc.",333.49,334.87,344.8,333.21,0.0,7.03,0.0,3.98,0.0,6.86,0.0,8.89,,,,
MSTR,MicroStrategy Incorporated,332.61,326.45,340.0,321.96,0.0,0.79,0.0,-0.35,0.0,2.24,0.0,1.32,,,,
COIN,"Coinbase Global, Inc.",321.26,315.34,328.67,312.53,0.0,6.39,0.0,2.78,0.0,6.79,0.0,4.17,,,,
JPM,JPMorgan Chase & Co.,296.7,300.54,301.54,295.4,0.0,-1.1,0.0,-1.08,0.0,-0.95,0.0,-0.97,SENIOR_NORE_14,20.22,28.94,38.68
