Rank,Ticker,Normalized 3m,Normalized 6m,Normalized 1y,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Realised Volatility 30d (%),Realised Volatility 60d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Weighted IV 1d (%),Weighted IV 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts,One_Yr_ATM_Rel_Error_Call (%),P90_Rel_Error_Call (%),One_Yr_ATM_Rel_Error_Put (%),P90_Rel_Error_Put (%)
1,SATS,34.98120274789955,36.847235738843295,35.80281292099258,69.4000015258789,71.80999755859375,73.58000183105469,68.91999816894531,0.0,-12.218563535314466,0.0,-6.788685481284166,0.0,-7.677631913364216,0.0,-8.106669108072918,170.3554711862298,135.37352590142788,137.74992315093957,0.5037815259211877,0.7545101381623043,43.71996651172716,137.74992315093957,73.61690383620272,99.75062344139651,99.84003359235389,108.99788959837176,97.02264348121469,63.669366234016444,60.3047952681293,-26.102280913608585,-4.330144449271005,50.04623946411676,-5.014553532243691,-11.787908380738136,-56.86965992255699,-35.35503114605939,74.08055691692311,38800.0,-19.9257042616861,-30.83285795778665,476890.0,2.6234185999969872,10.115659657200386,535.0,0.6852173010074281,63.09343808542215,N/A,26.577932618891708
2,CABO,74.17264502691829,148.14278709680607,197.07962450171013,171.4600067138672,172.83999633789062,179.0050048828125,171.9250030517578,0.0,8.443492538094134,0.0,-2.723996250226288,0.0,0.7173854644255057,0.0,8.207199544171452,67.42410380675817,66.87062550666717,110.42700601527817,0.5037815259212186,0.6945941020706775,36.70167711571595,110.4270060152782,59.51609339628717,99.75062344139651,96.99287948814845,90.0634907207627,79.45440063201747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,IONS,61.15743169402996,53.800884146698905,69.24963524333866,61.43999862670898,61.16999816894531,62.09000015258789,60.86000061035156,0.0,-3.909915629800626,0.0,-4.481578241024293,0.0,-3.2941384910043134,0.0,-3.073738297555131,93.7273073718988,71.27974152327803,58.93794839989563,0.503781525922413,1.2607352352935361,30.08016609986112,59.48707904769438,40.06037344206204,99.75062344139651,99.90274914228469,55.33809679639625,50.35582574135855,53.790540982831516,N/A,N/A,N/A,46.73069093293828,N/A,N/A,-41.838203451332326,-40.84774156801636,5.147407417064116,3440.0,76.59137577002053,23.741007194244602,58557.0,-0.027316340293309205,3.7416954557533884,113.0,N/A,551.167291932865,N/A,N/A
4,INVA,108.3591378193296,89.1124933210809,100.82560248549781,19.540000915527344,19.3799991607666,19.65999984741211,19.299999237060547,0.0,-1.611277366514394,0.0,-0.2573399054237809,0.0,-1.5769738575316112,0.0,0.9942366333890588,30.08559773873602,26.923293822715017,23.847967764878383,0.5037815259223767,0.5767613459907963,15.440603111454768,23.917816198139715,19.150027824822374,99.50124688279301,97.16914704887697,20.85776464271451,19.80738807970867,54.92591974607524,68.58259179594681,-4.121224248253146,43.33583342998098,N/A,N/A,N/A,-14.748969639266141,13.985498547326866,-31.077951981196854,175.0,2.3391812865497075,-2.2346368715083798,2283.0,0.0,0.13157894736842105,16.0,N/A,N/A,N/A,N/A
5,TPIC,4145.454515898537,3036.363574788599,15890.908760866892,0.0274000000208616,0.0274999998509883,0.0307000000029802,0.0260000005364418,0.0,-11.61290171398208,0.0,-14.062504547473454,0.0,-12.285714650640735,0.0,-10.344823156610481,522.8430931435967,379.7604628493336,305.0502837325245,0.503781525921228,1.0607444483611859,87.01433444203191,305.25910425315186,134.20192641931328,99.5,99.97866444389372,240.12117308566215,222.0176287996016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,OPEN,5.239961060011334,11.753183576887679,21.5475028351028,9.010000228881836,10.210000038146973,10.869999885559082,8.765000343322754,0.0,18.396847185348104,0.0,-2.946771921363573,0.0,1.588785788077698,0.0,18.12668804850732,258.1033180400981,238.86678930434613,203.27706194805808,0.5037815259212114,0.4953064102922398,66.58193053153748,205.00188744957973,91.83210976046158,99.25187032418953,99.99317667620318,162.60606277623597,143.2689596759526,163.91031191921238,N/A,N/A,N/A,183.39044619501348,-0.3680732620662521,9.46351460154359,-23.711265864441554,-3.3209983201979916,39.3667500288457,1046307.0,-49.38611177356398,-68.94553231803741,3663270.0,5.915446208575887,20.155354046768903,302.0,N/A,151.60687830652753,N/A,29.866819573688776
7,GPRO,39.30735995075573,36.4069281963727,58.0086608905378,2.3499999046325684,2.309999942779541,2.5799999237060547,2.220000028610229,0.0,42.85713871613405,0.0,15.49999713897705,0.0,27.722769706298994,0.0,35.365856583809155,140.66244118018437,135.46529838432738,115.38047844985552,0.5037815259211228,-0.9609922933143145,49.35301959073333,118.38808617517782,69.20635953720499,98.75311720698254,99.85247816272309,103.13109796532612,93.95157812892208,157.60377504345595,N/A,N/A,N/A,N/A,N/A,N/A,-3.553635999245293,-14.886950973831583,-42.22329659360044,27069.0,25.19193414115253,-34.0873672932697,264779.0,0.4209823680447834,13.62296327129634,60.0,N/A,0.5520339252372393,N/A,37.96556715072101
8,MNKD,69.94434275161942,96.84600963812659,123.56215236336514,5.380000114440918,5.389999866485596,5.539999961853027,5.380000114440918,0.0,-3.928567748896867,0.0,-0.5535093982667058,0.0,-2.37885857875812,0.0,0.3731339632150389,93.2492798358844,73.87850831155363,64.8655849798332,0.5037815259219366,0.6273455515726836,32.88638227152269,64.90982788483433,44.72066978978831,98.75311720698254,97.66500539681287,52.33745633665102,48.13318005820135,72.97957404962368,N/A,N/A,N/A,59.85627803428909,5.8428845706517105,-2.988677043266351,-5.737619648103975,-3.322649582420111,-8.113989069790478,4006.0,58.716323296354986,70.90443686006826,91667.0,0.06440485547113789,-0.9476573305670816,55.0,N/A,67.96755347698873,N/A,11.51637236567685
9,ETSY,92.64269356143654,74.41438700953971,89.07951328187373,59.45000076293945,60.619998931884766,62.0,59.18999862670898,0.0,-0.022196673950309744,0.0,1.7284758796097164,0.0,0.8130081300813009,0.0,0.9207111454068778,58.66208529073438,52.45809086940477,49.1563316982079,0.5037815259213914,0.8693869820322377,37.28757008718876,51.84004671749417,44.48633954107257,96.00997506234414,91.74611762706174,48.37328471897674,45.86591632677882,67.92772500149071,65.28512566283989,13.908351970623198,18.553708357364545,46.30580138058556,-14.141833650121674,-15.690263966912571,-3.634520994733613,24.935413342997474,-18.771393303282814,31752.0,3.20148210745279,-63.403333256494776,392534.0,2.92653124369056,7.541204576338052,337.0,1.7351349132766407,56.33380334190843,17.740532287583104,26.517473596460672
10,MLAB,146.72683758617907,191.33084157196674,192.38668417153033,65.51000213623047,65.1500015258789,68.19999694824219,64.80999755859375,0.0,10.249081378242074,0.0,3.265178900473527,0.0,5.982903753555494,0.0,10.157952774254337,66.90010656877128,86.08960570114579,72.1169084820837,0.5037815259206604,1.418014989324565,44.725821963349496,74.42259421403212,55.245094856622714,95.76059850374065,99.7573439071146,63.96562021141279,61.56336262451798,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
