Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
EURUSD,1.17634,0.00306,0.26%,-0.05%,0.82%,13.56%,5.70%
GBPUSD,1.36024,0.0055,0.41%,0.37%,0.70%,8.65%,2.97%
AUDUSD,0.66703,0.00361,0.54%,1.10%,2.71%,7.76%,-1.21%
NZDUSD,0.59686,0.00273,0.46%,0.40%,0.77%,6.71%,-3.66%
USDJPY,147.350,0.265,-0.18%,-0.01%,-0.38%,-6.35%,4.66%
USDCNY,7.11759,0.00410,-0.06%,-0.07%,-0.97%,-3.00%,0.28%
USDCHF,0.79458,0.00139,-0.17%,0.22%,-1.59%,-12.43%,-5.92%
USDCAD,1.37789,0.00575,-0.42%,-0.12%,-0.17%,-4.16%,1.42%
USDMXN,18.3632,0.0474,-0.26%,-1.55%,-2.21%,-11.93%,-4.44%
USDINR,88.1220,0.1554,-0.18%,0.15%,0.93%,2.97%,5.05%
USDBRL,5.31680,0.03850,-0.72%,-1.88%,-2.22%,-14.03%,-3.41%
USDRUB,83.0000,1.0000,-1.19%,0.64%,3.41%,-26.87%,-9.19%
USDKRW,1386.02,7.02,-0.50%,0.05%,-0.21%,-6.24%,5.19%
DXY,97.336,0.214,-0.22%,-0.12%,-0.85%,-10.28%,-3.35%
USDTRY,41.2889,0.0456,-0.11%,0.15%,1.04%,16.85%,21.33%
USDSEK,9.27000,0.02059,-0.22%,-0.87%,-3.01%,-16.21%,-8.92%
USDPLN,3.60998,0.0094,-0.26%,0.00%,-0.83%,-12.60%,-6.00%
USDNOK,9.82699,0.0135,-0.14%,-1.42%,-3.68%,-13.67%,-7.18%
USDZAR,17.3492,0.0396,-0.23%,-0.83%,-1.53%,-7.96%,-1.53%
USDDKK,6.34533,0.01397,-0.22%,0.02%,-0.80%,-11.86%,-5.36%
USDSGD,1.28031,0.00126,-0.10%,-0.18%,-0.32%,-6.25%,-1.18%
USDILS,3.34873,0.01720,0.52%,0.97%,-0.81%,-7.94%,-10.36%
USDHKD,7.77835,0.00270,0.03%,-0.18%,-0.54%,0.15%,-0.18%
USDCLP,951.520,3.340,-0.35%,-1.96%,-1.33%,-4.31%,3.08%
USDPKR,281.450,2.465,-0.87%,-0.67%,-0.21%,1.10%,1.17%
USDCZK,20.6725,0.014,-0.07%,-0.01%,-1.37%,-15.02%,-8.51%
USDHUF,331.011,1.668,-0.50%,-0.91%,-2.14%,-16.66%,-6.56%
USDRON,4.30330,0.0137,-0.32%,-0.21%,-0.75%,-10.45%,-3.71%
