Company,Price,Chg,%Chg,YoY
Realty Income O,320.80,26.55,9.02%,411.72%
Seagate Technology STX,211.17,15.07,7.68%,107.68%
Albemarle ALB,81.04,5.06,6.66%,-9.39%
Western Digital WDC,102.42,4.76,4.87%,59.83%
Alphabet GOOGL,251.93,11.13,4.62%,58.37%
Arista Networks ANET,145.43,6.04,4.33%,61.81%
