Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.0440,0.0260,0.00%,-0.30%,-0.53%,0.42%,Sep/15
United Kingdom,4.6350,0.0410,0.03%,-0.11%,0.07%,0.87%,Sep/15
Japan,1.6020,0.0004,0.03%,0.03%,0.51%,0.76%,Sep/15
Australia,4.2350,0.0010,-0.05%,-0.04%,-0.13%,0.41%,Sep/15
Germany,2.6789,0.0344,0.04%,-0.10%,0.32%,0.56%,Sep/15
Brazil,13.6980,0.1250,-0.29%,-0.09%,-1.45%,1.69%,Sep/15
Russia,14.0900,0.1200,0.47%,0.62%,-1.13%,-1.46%,Sep/15
India,6.4790,0.0040,0.01%,0.02%,-0.31%,-0.29%,Sep/15
Canada,3.1750,0.0140,-0.03%,-0.32%,-0.06%,0.31%,Sep/15
Italy,3.5056,0.0418,0.01%,-0.08%,-0.01%,0.03%,Sep/15
France,3.4852,0.0168,0.01%,0.03%,0.29%,0.66%,Sep/15
South Africa,9.2000,0.1350,-0.34%,-0.45%,0.17%,0.38%,Sep/15
Switzerland,0.2850,0.0440,0.02%,-0.06%,0.03%,-0.13%,Sep/15
Mexico,8.5640,0.1700,-0.16%,-0.39%,-1.85%,-0.68%,Sep/12
Netherlands,2.8665,0.0194,0.06%,-0.08%,0.27%,0.46%,Sep/15
New Zealand,4.3370,0.0448,-0.02%,-0.12%,-0.09%,0.25%,Sep/15
Portugal,3.0960,0.0320,0.03%,-0.08%,0.26%,0.39%,Sep/15
South Korea,2.8190,0.0070,-0.03%,-0.01%,-0.05%,-0.16%,Sep/15
Spain,3.2310,0.0540,0.01%,-0.10%,0.17%,0.31%,Sep/15
Greece,3.3720,0.0270,0.04%,-0.07%,0.17%,0.25%,Sep/15
Turkey,29.9300,0.4900,1.52%,3.00%,5.06%,4.85%,Sep/15
Finland,3.0650,0.0330,0.04%,-0.08%,0.31%,0.48%,Sep/15
Lithuania,3.5900,0.0180,0.02%,0.04%,0.36%,0.24%,Sep/15
Norway,4.0000,0.0080,0.08%,0.08%,0.15%,0.77%,Sep/15
Poland,5.4970,0.0180,0.05%,0.06%,-0.37%,0.20%,Sep/15
Romania,7.6000,0.0100,-0.13%,0.12%,0.13%,0.57%,Sep/15
Slovakia,3.4940,0.0110,0.05%,-0.05%,0.30%,0.30%,Sep/15
Slovenia,3.0340,0.0010,0.02%,-0.06%,0.00%,0.14%,Sep/15
Sweden,2.5290,0.0070,0.08%,0.10%,0.20%,0.64%,Sep/15
Hungary,7.0700,0.0300,-0.08%,0.03%,0.53%,0.78%,Sep/15
Iceland,6.8590,0.0260,-0.04%,-0.16%,-0.04%,-0.09%,Sep/15
Ireland,2.9381,0.0249,0.06%,-0.08%,0.30%,0.43%,Sep/15
Austria,2.9935,0.0283,0.03%,-0.08%,0.22%,0.37%,Sep/15
Belgium,3.2230,0.0296,0.01%,-0.07%,0.24%,0.51%,Sep/15
Croatia,3.0680,0.0000,-0.04%,-0.08%,0.11%,-0.18%,Sep/12
Czech Republic,4.3330,0.0290,0.00%,0.01%,0.19%,0.65%,Sep/15
Denmark,2.5310,0.0135,0.05%,-0.09%,0.44%,0.47%,Sep/15
Euro area,3.18,0.04,0.03%,0.04%,0.22%,0.35%,Sep/12
Chile,5.6000,0.0100,0.00%,0.03%,-0.24%,0.34%,Sep/12
Colombia,11.2900,0.0210,-0.21%,-0.46%,-0.28%,1.73%,Sep/15
China,1.8660,0.0490,0.08%,0.10%,0.19%,-0.17%,Sep/15
Singapore,1.7860,0.0160,-0.04%,-0.10%,-1.08%,-0.64%,Sep/15
Taiwan,1.3700,0.0000,-0.01%,-0.02%,-0.30%,-0.11%,Sep/15
Thailand,1.2650,0.0250,0.02%,-0.18%,-1.01%,-1.30%,Sep/11
Vietnam,3.6900,0.0050,0.03%,0.14%,0.57%,0.89%,Sep/15
Hong Kong,3.0960,0.0640,0.04%,0.05%,-0.71%,0.44%,Sep/15
Indonesia,6.3350,0.0160,-0.09%,-0.06%,-0.66%,-0.23%,Sep/15
Israel,4.1100,0.0410,0.03%,-0.04%,-0.36%,-0.79%,Sep/15
Malaysia,3.4190,0.0000,0.01%,0.04%,-0.40%,-0.34%,Sep/12
Pakistan,11.9980,0.0030,-0.01%,0.02%,-0.16%,-1.59%,Sep/15
Philippines,5.9540,0.0210,-0.01%,-0.06%,-0.27%,-0.10%,Sep/15
Zambia,19.5100,0.0000,0.00%,-0.02%,-2.65%,-6.88%,Sep/15
Kenya,13.4300,0.1530,-0.16%,-0.12%,-1.06%,-3.62%,Sep/15
Nigeria,16.6320,0.0000,0.01%,0.96%,-5.11%,-3.22%,Sep/12
