Crypto,Price,Day,Weekly,Monthly,YTD,YoY,MarketCap,Date
Bitcoin,115273,144,-0.12%,2.84%,-1.87%,23.56%,97.89%,"$2,300,974M"
Ether,4512.45,98.72,-2.14%,4.73%,2.01%,35.50%,96.48%,"$691,336M"
Binance,920.8,4.8,-0.51%,4.84%,9.82%,31.94%,72.40%,"$127,991M"
Cardano,0.85986,0.02918,-3.28%,-0.52%,-6.58%,2.24%,161.00%,"$30,823M"
Solana,233.9154,6.5099,-2.71%,9.53%,23.54%,24.02%,77.90%,"$126,760M"
Ripple,2.98893,0.04398,-1.45%,0.59%,-3.83%,44.11%,409.94%,"$178,637M"
Polkadot,4.15,0.17,-3.89%,2.79%,4.88%,-37.11%,-0.97%,"$6,722M"
Avalanche,29.85,0.37,1.26%,18.31%,22.89%,-15.99%,27.02%,"$12,463M"
Polygon,0.26,0.02,-5.67%,-6.39%,8.23%,-43.04%,-31.82%,$503M
Cosmos,4.52,0.12,-2.67%,-0.70%,-1.24%,-26.86%,13.53%,"$2,110M"
Dai,0.99971,0.00000,0.00%,0.00%,-0.01%,-0.04%,-0.03%,"$5,365M"
Litecoin,113.448,1.792,-1.56%,0.59%,-6.22%,10.48%,81.20%,"$8,652M"
Uniswap,9.13,0.29,-3.06%,-4.44%,-17.13%,-30.87%,42.52%,"$5,761M"
Algorand,0.23,0.01,-3.71%,-1.76%,-11.05%,-31.59%,86.30%,"$2,034M"
Bitcoin Cash,593.40,8.29,-1.38%,0.81%,0.86%,36.76%,90.27%,"$11,813M"
Stellar,0.37894,0.01126,-2.89%,0.34%,-11.23%,14.36%,299.53%,"$12,075M"
Monero,304.884,20.824,7.33%,14.49%,5.63%,58.20%,78.96%,"$5,593M"
Chainlink,23.6181,0.5213,-2.16%,2.51%,4.33%,18.61%,124.00%,"$15,891M"
Tether,1.00,0.00,-0.01%,0.02%,-0.04%,0.22%,0.03%,"$170,267M"
USD Coin,1.00,0.00,-0.01%,-0.01%,-0.01%,-0.02%,-0.01%,"$73,145M"
Sui,3.50,0.18,-5.01%,0.06%,-7.19%,-15.06%,236.25%,"$12,296M"
Toncoin,3.15,0.03,-0.94%,1.71%,-8.95%,-42.79%,-42.59%,"$8,084M"
Tron,0.3444,0.004,-1.16%,4.05%,-0.92%,35.33%,131.62%,"$32,565M"
Ethena USDe,1.00,0.00,0.02%,0.03%,0.01%,0.25%,0.23%,"$12,118M"
Hedera,0.24,0.01,-2.11%,4.13%,-6.60%,-12.30%,376.32%,"$9,945M"
BTCETH,25.4271,0.3973,1.59%,-2.27%,-4.25%,-9.24%,0.25%,Sep/15
BTCEUR,98066.5,897.1,-0.91%,2.94%,-1.59%,8.86%,87.33%,Sep/15
