Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6617.32,33.03,0.50%,1.88%,2.60%,12.50%,17.47%,22:35
US30,45872,38,0.08%,0.78%,2.14%,7.82%,10.21%,22:35
US100,24298,205,0.85%,2.26%,2.47%,15.64%,25.10%,22:35
JP225,44768,396,0.89%,4.07%,3.45%,12.22%,22.38%,Sep/12
GB100,9277,6,-0.07%,0.60%,1.30%,13.51%,12.06%,Sep/15
DE40,23749,51,0.21%,-0.24%,-2.33%,19.29%,27.46%,Sep/15
FR40,7897,72,0.92%,2.10%,0.16%,6.99%,6.01%,Sep/15
IT40,43054,487,1.14%,3.19%,0.97%,25.94%,28.25%,Sep/15
ES35,15395,87,0.57%,2.62%,0.94%,32.77%,32.93%,Sep/15
ASX200,8853,12,-0.13%,0.04%,-1.19%,8.50%,9.01%,Sep/15
SHANGHAI,3861,10,-0.26%,0.88%,3.55%,15.18%,42.07%,Sep/15
SENSEX,81786,119,-0.15%,1.24%,0.63%,4.67%,-1.45%,Sep/15
TSX,29431,147,0.50%,1.39%,5.40%,19.02%,24.17%,Sep/15
MOEX,2812,28,-0.98%,-3.76%,-4.72%,-2.47%,2.46%,Sep/15
IBOVESPA,143547,"1,275",0.90%,1.24%,4.53%,19.34%,6.24%,Sep/15
IPC,62102,303,0.49%,2.39%,6.49%,25.34%,18.80%,Sep/15
NL25,919,10,1.13%,1.60%,2.47%,4.61%,2.61%,Sep/15
CH20,12144,50,-0.41%,-1.37%,0.60%,4.68%,1.16%,Sep/15
SAALL,104675,217,0.21%,1.85%,3.49%,24.47%,27.64%,Sep/15
STI,4338,6,-0.13%,0.69%,3.61%,14.54%,21.51%,Sep/15
HK50,26447,58,0.22%,3.17%,5.04%,31.84%,51.80%,Sep/15
NZX 50,13196,32,-0.24%,-0.64%,1.74%,0.65%,3.87%,Sep/15
EU50,5442,51,0.94%,1.47%,0.13%,11.14%,12.72%,Sep/15
BIST 100,10967,594,5.73%,4.95%,0.34%,11.56%,14.50%,Sep/15
Stockholm,2637,2,0.08%,-0.11%,0.45%,6.21%,4.26%,Sep/15
WIG,107484,"1,071",1.01%,-0.04%,-2.21%,35.07%,31.54%,Sep/15
BE20,4765,11,-0.23%,-0.61%,-0.91%,11.72%,12.25%,Sep/15
Oslo,1908,10,0.53%,1.72%,1.59%,15.99%,17.46%,Sep/15
ATX,4646,2,-0.05%,-0.02%,-2.79%,26.83%,29.23%,Sep/15
Copenhagen,1566,18,1.14%,1.39%,0.27%,-25.50%,-43.62%,Sep/15
