Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts,One_Yr_ATM_Rel_Error_Call (%),P90_Rel_Error_Call (%),Restricted_P90_Rel_Error_Call (%),One_Yr_ATM_Rel_Error_Put (%),P90_Rel_Error_Put (%),Restricted_P90_Rel_Error_Put (%),Skew_90_Moneyness_3m,Skew_80_Moneyness_3m,Skew_70_Moneyness_3m,Skew_90_Moneyness_Vol_3m,Skew_80_Moneyness_Vol_3m,Skew_70_Moneyness_Vol_3m,ATM_12m_3m_Ratio,IV_Slope_Call_90_3m,IV_Slope_Put_90_3m,IV_Slope_Call_80_3m,IV_Slope_Put_80_3m,IV_Slope_Call_70_3m,IV_Slope_Put_70_3m
1,LAC,Lithium Americas Corp.,7.369999885559082,207.90765367966864,125.09415662975664,3.2701589854284334,120.04367243616996,54.95668280983597,125.09415662975663,74.99380860141213,100.0,99.99890401700723,102.7459937277087,98.34873692691356,1.444239837064016,8.94986282341876,-98.24519806077421,1.4369272348931272,-1.879406909013092,,1.315390178017079,-13.823823165870241,-98.35282148648517,123.64991679269262,108071.0,-57.87001302052877,,262898.0,40.7633080967628,,52.0,0.4662134486809265,6.419055780047231,6.884656226968066,,,,,,,,,,,,,,,,
2,OPEN,Opendoor Technologies Inc.,9.09000015258789,252.98060374379045,208.38019599082412,0.1408512552851766,2.480638958622995,66.58193053153752,208.38019599082412,93.4987353389756,99.75124378109453,99.98120547377376,165.91035857822786,145.6798872930476,1.625432889679922,-24.668874031296212,-99.24347519003501,1.5214113365835968,-6.366611293240293,,1.8034374350932132,12.544746864056252,-99.02023278672551,206.7547631011442,1237176.0,-17.393615174443607,,3649561.0,4.419985928787304,,314.0,6.14159703670177,30.576537005764717,13.602519105413265,9.25922835958873,21.240990286990968,13.510284300177034,1.0891941039572504,1.1571724354028514,1.232175699020989,0.9663436487875446,0.9637562960081923,0.9610387742545338,1.1239561416005994,0.104414599439162,0.3948777513517743,0.1324881751916806,0.3909178917623768,0.1656222055208545,0.3864295673365325
3,INVA,"Innovava, Inc.",18.56999969482422,23.660379688592617,25.01518451689528,0.7755497737564109,3.5829677804765008,15.44060311145478,25.015184516895445,19.176817633476627,99.75124378109453,99.01508535198853,21.60835900543228,20.09847765706536,0.5917507975359296,-6.635617455292884,-99.08153808912178,,,,,,,24.423433719359352,204.0,0.9900990099009901,,2193.0,0.136986301369863,,9.0,,,,,,,,,,,,,,,,,,,
4,GPRO,"GoPro, Inc.",2.200000047683716,155.68528527709367,121.7286463935477,0.4874097398416376,4.920512814112508,49.35301959073334,121.72864639354772,70.03632949189549,99.75124378109453,99.90665931832898,107.39487482093168,97.07342147127704,1.405455081126509,,-99.13992521877307,1.2225552292804784,,,,,,120.3231913124212,10687.0,-25.003508771929823,,245304.0,-0.15588940399776952,,78.0,29.769147941692403,32.50043134098901,26.505897235976025,27.97072797984744,,,1.104555478109131,1.183773041820994,1.2663075572123514,0.9324075788770668,0.9021479322943552,0.8740190919491148,1.2013703679173924,0.5473809393580775,1.090127290889975,0.6540832193179802,1.355099984901853,0.7971314874191116,1.6555516996414887
5,TPIC,"TPI Composites, Inc.",0.0340000018477439,480.7613727958525,308.24189607934994,0.0,0.6214678221875319,87.01433444203181,308.2418960793501,136.36185302710177,99.75062344139651,99.945166568601,242.2318452092139,223.7879213014072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MNKD,MannKind Corporation,5.329999923706055,82.16519436324933,65.33194681575065,-0.025977454621593087,0.3250153603574396,32.88638227152267,65.41310654227689,44.85578585228971,99.25373134328358,97.65116702565744,52.54210151351791,48.3754591368375,0.7670035507816687,19.229256961978546,-99.00931758815315,0.6003598979384467,-4.865781860198108,,0.564039630121803,,-99.00261788028223,64.56494326496899,5725.0,10.585281050801623,,84519.0,0.27049151154927575,,55.0,3.537872145227652,54.15139856431591,32.79818790796965,,,,,,,,,,,,,,,,
7,PRO,"PROS Holdings, Inc.",22.93000030517578,106.80482447004802,72.62274855573537,-0.193375737872121,46.94335055373504,34.24184389479257,73.08989190301367,47.391774773374884,99.25373134328358,99.98003648813196,64.4375468679122,60.78658206493296,0.7309404383672288,,-98.94332459761426,0.7309404383672288,,-99.15335842855961,,,,71.89180811736814,770.0,0.0,,6303.0,0.17482517482517482,,19.0,,,,,,,,,,,,,,,,,,,
8,HOUS,Anywhere Real Estate Inc.,10.420000076293944,121.03226026921853,84.88639825962235,0.009164789280463444,34.48301801708353,58.025102779894276,86.06145232040312,65.15591465491215,99.25373134328358,99.99987299066849,78.6149501999017,73.61379595410813,0.7136453843065507,7.683524382833541,-99.04774922214474,0.7271766046874069,10.327967902580943,-99.1256244457493,0.6458571060576743,-2.139612619822625,-99.05706840909,84.17275287531581,1351.0,27.0931326434619,,53066.0,-0.2106134115611719,,33.0,35.099217164383525,,,,,,,,,,,,,,,,,,
9,MLAB,"Mesa Laboratories, Inc.",64.13999938964844,62.69898011971869,74.22156257688451,-0.12293366262010129,1.8749098409245755,44.725819165078384,74.42259945248412,55.535706644492834,98.75621890547264,99.82835057746858,64.93614428982436,62.52606862107183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SATS,EchoStar Corporation,73.13999938964844,170.90477444842853,137.66568750201358,-0.05916702303222376,-0.08158532565386113,43.719966511727186,137.77809420885362,74.31020738447484,98.00995024875621,99.70953322520548,108.94690014431372,96.66605622948872,0.7067885066406581,-65.61933076113576,-99.52121356851275,0.7512700945598948,-69.89123440427079,-99.07939084845655,,,,136.95889899537292,33787.0,-22.90473474044495,,412001.0,2.0868281055258078,,501.0,2.752424889135458,29.60994370980353,29.803479991240927,0.9922596719490796,28.58833889112172,59.48634636034864,1.0948243894819023,1.1930896705374627,1.2975053705063415,1.0795673682278268,1.0923040433889537,1.10470508331112,0.996270176743964,-0.0036779092812966,0.151046133642918,-0.0037062830610112,0.1580607847366799,-0.0037384473859647,0.1660183950678018
11,IONS,"Ionis Pharmaceuticals, Inc.",62.970001220703125,91.39868671250332,58.79258276560368,-0.07769605686129055,-0.24534481389265717,30.08016609986111,59.48707904769436,40.35325864760409,97.76119402985076,99.77256802639786,55.25517303273253,50.21341610039304,0.5039057987722984,-5.86677754422174,-99.4551446032632,0.4878928422279364,-12.542735960186882,,0.500556270702003,17.034671135472063,,58.28867696683138,2378.0,-2.3408624229979464,,38346.0,0.432152117545376,,106.0,0.4265197865610258,12.450251734324604,12.355112060622558,1.0884979344762835,9.43095410684016,6.317802954775532,,,,,,,1.0217551005254812,0.0186566480586541,-0.154486175557883,0.0240867514458009,-0.4143998578208241,0.0302443261091522,-0.6775434682893822
